 	papa	tisse	les	nasses	dans	le	lieu	qu'	il	a	aménagé	derrière	la	maison	</S>
d	0.956881	0.0136631	0.00783993	0.00171311	0.00759308	0.00211488	0.00347477	0.00326487	0.00174882	0.000906828	0.000112574	1.67343e-05	0.000483705	6.044e-05	0.00012647
a	0.850165	0.141791	0.00269442	0.000574271	0.000568064	0.000607329	0.000581133	0.000457779	0.00069078	0.0012208	5.95197e-05	0.000146082	0.000223456	2.98234e-05	0.000190088
a	0.955048	0.03354	0.00263129	0.000640805	0.000838753	0.000535945	0.000628583	0.000623533	0.000401665	0.00144499	0.000290286	0.000756558	0.000241801	3.67089e-05	0.0023412
d	0.658434	0.106611	0.0486159	0.0229839	0.00953359	0.00651732	0.00260034	0.0020553	0.00256198	0.0145417	0.00598825	0.00107668	0.000552836	0.000120013	0.117807
á	0.11146	0.66608	0.0820034	0.0189453	0.016276	0.00745752	0.00385887	0.00245651	0.00421892	0.0070179	0.00384135	0.00188854	0.00169713	0.00141417	0.0713842
l	0.0707484	0.214363	0.184579	0.0187284	0.0309416	0.0142382	0.00847308	0.0199815	0.021134	0.0399599	0.00842546	0.00220278	0.00963842	0.00185317	0.354733
á	0.0195696	0.294939	0.19874	0.022124	0.047644	0.0248727	0.0116116	0.0252679	0.0338729	0.0299486	0.0127395	0.00401309	0.0177214	0.0156252	0.241311
a	0.0456414	0.496974	0.123499	0.0545454	0.0257154	0.0207811	0.0177605	0.023419	0.0323488	0.0278484	0.0260898	0.018904	0.00988402	0.0194179	0.0571712
t	0.0527777	0.668414	0.104766	0.0939637	0.00839882	0.00539893	0.00220301	0.00159586	0.0027668	0.0154194	0.0151869	0.0164448	0.00117925	0.00158676	0.00989856
ó	0.029591	0.623815	0.0667689	0.180127	0.0104754	0.00914733	0.00398923	0.00200518	0.00377101	0.0151126	0.0163039	0.0180106	0.00114034	0.000462168	0.0192804
n	0.0212398	0.696728	0.0575192	0.146239	0.00906315	0.00652652	0.00643187	0.00198483	0.00205926	0.00981989	0.0168991	0.0129151	0.000523152	0.000114232	0.0119364
g	0.0720785	0.495225	0.157649	0.142444	0.0500638	0.0233806	0.0178626	0.00311507	0.00327077	0.00672142	0.00802911	0.00451507	0.00102785	0.000716682	0.0138998
á	0.0166839	0.471969	0.11192	0.202967	0.0509249	0.0325054	0.0714443	0.011633	0.00392098	0.00111757	0.00700807	0.00375413	0.0027147	0.00111811	0.0103189
i	0.00151769	0.0163282	0.138117	0.117467	0.280739	0.109391	0.152723	0.10758	0.0388153	0.0131203	0.0147722	0.00140619	0.00514804	0.0016057	0.0012701
k	0.00457887	0.0108338	0.0987174	0.273001	0.14933	0.198914	0.080924	0.0320379	0.0306527	0.0421166	0.0638071	0.00757691	0.00214453	0.00298394	0.0023817
ω	0.0010296	0.00912134	0.0226329	0.579615	0.0435681	0.111002	0.104104	0.011567	0.00780068	0.0203664	0.0769391	0.00830443	0.000977539	0.000228691	0.00274308
n	0.000285594	0.0183233	0.0258042	0.346028	0.04193	0.0912888	0.184703	0.0303021	0.0170971	0.0200128	0.196385	0.0116115	0.00318165	0.000531028	0.0125161
y	0.00747036	0.0408292	0.132117	0.336016	0.0723646	0.102244	0.0829492	0.0375049	0.0232391	0.0232096	0.0415462	0.0318034	0.00478821	0.00203953	0.0618787
í	0.0024014	0.0219814	0.146352	0.213398	0.099131	0.124107	0.151603	0.0468078	0.0207632	0.0214218	0.0200979	0.0198861	0.00767719	0.00286119	0.101511
s	0.000174741	0.00112181	0.0486336	0.015186	0.0908261	0.09225	0.0890167	0.332466	0.175069	0.0820688	0.0417446	0.0038207	0.0114972	0.000575942	0.0155487
e	0.000455407	0.00863835	0.0141343	0.015284	0.034424	0.104379	0.201647	0.15606	0.122307	0.0586554	0.0485626	0.0444366	0.0665577	0.097359	0.0271
k	0.000163951	0.00175071	0.00996876	0.00316787	0.0240201	0.0443367	0.0736963	0.267554	0.316289	0.159852	0.0212351	0.0090792	0.0396944	0.0120636	0.0171289
w	0.00122687	0.0120697	0.0170816	0.0670551	0.0250272	0.0918389	0.0846695	0.0391286	0.0957079	0.202184	0.236994	0.0673538	0.010283	0.00442512	0.0449546
έ	0.000152007	0.00678277	0.00836579	0.0372203	0.0236284	0.0670211	0.11219	0.0594834	0.100636	0.0911843	0.263188	0.0954328	0.0608879	0.0312426	0.0425848
m	4.8408e-05	0.005045	0.00815292	0.0220197	0.018434	0.0464204	0.0635496	0.109606	0.116854	0.0851166	0.214491	0.0853279	0.0825293	0.0181622	0.124243
b	1.13266e-05	0.000172658	0.00370208	0.00448754	0.0132944	0.0660289	0.0912787	0.135303	0.0971899	0.0804542	0.210482	0.0109045	0.16391	0.0320585	0.0907224
έ	4.60653e-05	0.00272384	0.0098082	0.0214393	0.0237219	0.0557548	0.227665	0.096354	0.0534145	0.0267986	0.249177	0.0628015	0.111412	0.0383305	0.0205535
</S>	2.8552e-05	0.000615051	0.00682132	0.00250867	0.00943135	0.0127095	0.0154372	0.117967	0.0905554	0.0538438	0.104204	0.0281487	0.30751	0.0293717	0.220848
