 	il	est	parti	au-devant	</S>
w	0.966845	0.0323419	7.93599e-05	0.000714006	1.96353e-05
a	0.992324	0.00317386	2.37847e-05	0.00445035	2.82725e-05
á	0.204175	0.747581	0.0444736	0.00198936	0.00178124
m	0.0590099	0.639904	0.234457	0.030274	0.036355
i	0.00545692	0.167314	0.770195	0.0190166	0.0380175
d	0.000933872	0.0398545	0.942336	0.00685729	0.010018
z	3.71162e-05	0.0103282	0.98107	0.00197379	0.00659051
w	0.0011919	0.0264459	0.970241	0.000241451	0.0018799
á	0.0124181	0.122828	0.760116	0.0115808	0.0930564
b	0.000615667	0.00731638	0.0447437	0.86603	0.0812945
o	0.00367276	0.00570753	0.0669734	0.884246	0.0394005
s	0.000978622	0.00732537	0.0108193	0.845416	0.135461
ó	0.000460083	0.01045	0.0703806	0.450889	0.46782
</S>	0.00568488	0.0228326	0.0328735	0.0717177	0.866891
