 	je	l'	ai	beaucoup	fait	courir	</S>
n	0.873736	0.0812261	0.0267345	0.0104536	0.00720336	0.000401841	0.000244453
g	0.981904	0.0103914	0.00542452	0.00162588	0.000149192	0.000470285	3.47165e-05
á	0.948902	0.0248993	0.0134222	0.00300288	0.000639523	0.00908436	4.96338e-05
í	0.0952372	0.354589	0.209606	0.162387	0.0597457	0.0492183	0.0692176
y	0.0155945	0.255437	0.288654	0.118843	0.179688	0.0470943	0.0946894
ú	0.0574362	0.355611	0.373665	0.0320089	0.0116917	0.112293	0.0572936
ú	0.0955431	0.376855	0.207323	0.159049	0.0706312	0.0607457	0.0298534
s	0.00444199	0.133043	0.385474	0.297262	0.085725	0.0473417	0.0467121
u	0.00525485	0.189745	0.153994	0.122979	0.0565589	0.309788	0.16168
w	0.0186734	0.145878	0.162267	0.225662	0.0463289	0.358469	0.0427214
a	0.00563653	0.0957317	0.255709	0.241799	0.259787	0.0757502	0.0655861
m	0.00421641	0.0583378	0.135856	0.19679	0.134213	0.241451	0.229136
b	0.000382349	0.014659	0.00936504	0.0655423	0.166407	0.45525	0.288394
á	0.000220171	0.0135848	0.00793116	0.0997448	0.194141	0.4146	0.269778
á	0.000631115	0.0133856	0.0221628	0.115232	0.132327	0.191	0.525262
n	0.00107612	0.0149769	0.024074	0.085822	0.161415	0.350845	0.361791
g	0.0110009	0.00693241	0.0076284	0.0166522	0.00988274	0.82722	0.120684
e	0.0144748	0.00387505	0.00821831	0.0101221	0.00516794	0.88818	0.0699615
</S>	6.37959e-05	0.00172609	0.00442729	0.0158803	0.00879573	0.240995	0.728112
