 	cette	rivière	a	un	débit	élevé	</S>
e	0.466826	0.504928	0.0171042	0.00615933	0.00436213	0.000341505	0.000278115
b	0.0589823	0.833133	0.0476363	0.0481729	0.00625256	0.00525958	0.000562908
a	0.0260192	0.908266	0.0120467	0.0315192	0.0206929	0.000232376	0.00122403
a	0.0180595	0.890271	0.0218445	0.0317898	0.013466	0.000155789	0.0244132
y	0.29499	0.210915	0.284544	0.019055	0.00761333	0.000229562	0.182653
é	0.295021	0.118118	0.252656	0.108451	0.0351361	0.0158887	0.174729
y	0.385245	0.106452	0.090311	0.0734367	0.0557872	0.0730921	0.215676
é	0.230954	0.032398	0.167979	0.124447	0.0728479	0.240398	0.130976
e	0.197728	0.0261064	0.0870209	0.0738238	0.0822301	0.24514	0.287951
k	0.00793422	0.0151451	0.202356	0.231699	0.359221	0.0456286	0.138016
y	0.000561668	0.0033223	0.00798441	0.123613	0.852416	0.00580422	0.00629849
ε	0.00478125	0.00646564	0.0177968	0.153854	0.803693	0.00690096	0.00650833
l	0.0111339	0.00926227	0.0465958	0.290296	0.587622	0.00729678	0.0477929
έ	0.00464728	0.00249045	0.0457361	0.284887	0.624983	0.00833533	0.0289208
l	0.0263577	0.00778638	0.120121	0.162199	0.168561	0.202764	0.31221
a	0.0281157	0.0238506	0.0863327	0.185998	0.195111	0.111797	0.368794
p	0.0143493	0.00494144	0.0149782	0.026925	0.0804829	0.542133	0.31619
á	0.00209452	0.00292324	0.00582302	0.0457841	0.12197	0.796208	0.0251965
m	0.00047329	0.000933699	0.00218704	0.0423054	0.286661	0.637839	0.0296007
i	0.0030826	0.00193908	0.0053103	0.0373379	0.174795	0.0647132	0.712822
</S>	0.0127766	0.00490482	0.0203765	0.0333603	0.0376063	0.0731555	0.81782
