 	les	mangues	immatures	provoquent	la	dysenterie	</S>
i	0.643023	0.183694	0.159122	0.00597074	0.00653961	0.00123193	0.000418922
b	0.360004	0.246072	0.374631	0.00184691	0.00808928	0.00443256	0.00492408
v	0.274826	0.108989	0.481969	0.0763787	0.0139695	0.0312204	0.0126482
u	0.152378	0.0736606	0.67064	0.0846048	0.00659857	0.00210393	0.0100138
l	0.181322	0.120978	0.692332	0.00180333	0.000522954	0.00119604	0.00184539
u	0.288951	0.212777	0.410895	0.00400359	0.00895639	0.00545268	0.0689646
b	0.433408	0.152826	0.190318	0.083013	0.082854	0.00795414	0.0496268
á	0.547218	0.0752796	0.0624295	0.0953693	0.0520306	0.0254778	0.142195
m	0.358456	0.106703	0.0871331	0.346596	0.0533015	0.0151278	0.0326832
b	0.298982	0.20852	0.0738588	0.26612	0.0930058	0.0179125	0.0416018
á	0.0917628	0.183999	0.423625	0.249033	0.012456	0.0140419	0.0250823
n	0.24315	0.156768	0.0829922	0.455976	0.0112768	0.00696985	0.0428679
g	0.230835	0.389512	0.212937	0.119086	0.00957023	0.00385809	0.0342013
é	0.0406604	0.309706	0.618721	0.0253778	0.00221295	0.000561236	0.00276005
b	0.100259	0.0507923	0.0539438	0.245229	0.425901	0.054043	0.0698325
í	0.231597	0.0371282	0.00750704	0.221107	0.116879	0.0677408	0.318041
i	0.242607	0.0218291	0.0125278	0.392263	0.188255	0.0867528	0.0557656
p	0.00550958	0.00374437	0.00321881	0.025573	0.488811	0.185852	0.287291
έ	0.00689251	0.00205301	0.0266411	0.00929192	0.408463	0.297627	0.249032
έ	0.059089	0.00634546	0.0179799	0.186842	0.299038	0.206725	0.223981
i	0.00987525	0.00348063	0.00570034	0.0220993	0.246242	0.481223	0.23138
n	0.00983475	0.00500489	0.00446713	0.028308	0.209409	0.462319	0.280657
y	0.0137564	0.0320641	0.0148463	0.0111198	0.106691	0.549107	0.272415
a	0.00347203	0.0322771	0.104471	0.0258384	0.0843411	0.550876	0.198724
a	0.000427091	0.000599077	0.00489994	0.00204202	0.0349214	0.468029	0.489082
</S>	0.0053954	0.0022237	0.00330921	0.00208504	0.0786115	0.353065	0.55531
