 	cessez	de	vous	entre-tuer	de	la	sorte	</S>
l	0.861925	0.0798711	0.025614	0.00876737	0.00910062	0.0100625	0.00339106	0.0012678
é	0.974501	0.0101274	0.000646566	0.00852674	0.00143731	0.00248552	0.00180288	0.000472132
y	0.355423	0.30923	0.0975561	0.0589667	0.0282791	0.0259416	0.043425	0.0811785
í	0.30071	0.222314	0.0657623	0.0172278	0.0047942	0.0251106	0.128217	0.235865
á	0.112388	0.26354	0.172366	0.0179375	0.00839291	0.0226265	0.0402398	0.362509
o	0.0418654	0.475381	0.254394	0.0518223	0.0637633	0.0484019	0.0185182	0.0458543
b	0.000844344	0.00349192	0.00742556	0.916514	0.0589533	0.00726688	0.00260822	0.00289599
o	8.88314e-05	0.000500497	0.00344948	0.976381	0.0162097	0.00265861	0.000319275	0.000392156
m	0.000216238	0.000653037	0.00583432	0.8568	0.117067	0.00720163	0.00627572	0.00595168
í	0.0125601	0.0704466	0.0337565	0.143958	0.505479	0.157845	0.0285942	0.0473603
n	0.0116596	0.239156	0.0855756	0.043208	0.370659	0.182173	0.0144253	0.0531432
á	0.0184321	0.0939833	0.345705	0.00450353	0.161915	0.165141	0.144418	0.0659014
n	0.00185419	0.0408866	0.0550423	0.0014445	0.348604	0.429822	0.073122	0.0492252
d	0.0148979	0.0289134	0.0649122	0.000471331	0.114015	0.187526	0.393035	0.19623
e	0.00234814	0.00296022	0.0053436	0.000243335	0.0379148	0.0821176	0.760393	0.108679
n	0.000455862	0.00319125	0.0019943	0.00160063	0.0464501	0.0974474	0.619983	0.228877
g	0.000697361	0.000721953	0.000503168	0.000570276	0.0873361	0.175392	0.384512	0.350267
e	0.00185342	0.00165757	0.000624368	0.000179866	0.0175551	0.0414984	0.735213	0.201418
y	0.000650579	0.00799709	0.00476682	0.000819903	0.119389	0.165793	0.22568	0.474903
é	0.0129402	0.043179	0.0108493	0.000783957	0.0988166	0.303513	0.295224	0.234694
</S>	0.00591476	0.0432798	0.0353812	0.00103249	0.0458692	0.174269	0.403336	0.290918
