 	les	juges	lui	ont	donné	raison	dans	ce	procès	</S>
a	0.548077	0.415848	0.0115414	0.00278617	0.00312039	0.00656618	0.00632896	0.00528805	0.000337611	0.000105818
k	0.0871475	0.698615	0.0185764	0.0250581	0.0340094	0.065798	0.0242516	0.016033	0.023144	0.00736714
á	0.0974716	0.473486	0.0448591	0.0245506	0.0862889	0.152591	0.0327272	0.0184066	0.0417027	0.0279162
n	0.0317788	0.272099	0.0726793	0.0497359	0.122296	0.156148	0.0383464	0.0160276	0.0953395	0.14555
i	0.526862	0.3064	0.0402157	0.0273997	0.0303879	0.0190869	0.0264704	0.00590438	0.00566012	0.011613
á	0.399926	0.218003	0.243933	0.0383733	0.0294977	0.0130014	0.0247146	0.0162034	0.00477989	0.0115682
s	0.104538	0.0646285	0.306101	0.241222	0.091904	0.0133905	0.0322081	0.0187048	0.00737272	0.119931
o	0.072478	0.0254208	0.320314	0.245756	0.0419288	0.00447662	0.0307192	0.0287351	0.0152466	0.214925
o	0.175076	0.00874175	0.37038	0.170449	0.0619413	0.00798888	0.0296653	0.032891	0.0152216	0.127646
s	0.019176	0.0109246	0.17319	0.361416	0.229174	0.0646695	0.0330753	0.0232462	0.0134465	0.0716819
i	0.0294733	0.00288092	0.190291	0.167381	0.169798	0.0531435	0.0811949	0.100702	0.0316357	0.173499
w	0.0261264	0.00776014	0.216955	0.231201	0.155655	0.0397444	0.0817677	0.0635726	0.0180143	0.159203
a	0.0212275	0.0349756	0.307073	0.118353	0.13456	0.0956628	0.102515	0.088999	0.027446	0.0691881
s	0.00689618	0.00982278	0.193532	0.269715	0.180848	0.121269	0.0774688	0.0513797	0.0193676	0.0697013
í	0.102094	0.00216051	0.123395	0.107488	0.0925139	0.0582509	0.176199	0.22645	0.0596504	0.0517982
b	0.0676362	0.0178067	0.113266	0.173661	0.12706	0.0891036	0.155394	0.155597	0.0710571	0.0294187
h	0.0318197	0.0569403	0.0488621	0.096239	0.136247	0.32732	0.105214	0.0414021	0.141201	0.0147555
ώ	0.0020041	0.0056403	0.0161	0.0208725	0.109556	0.688392	0.069786	0.0255787	0.0326273	0.0294437
ω	0.000981199	0.00109611	0.0368625	0.057033	0.210384	0.270581	0.206758	0.167204	0.0182742	0.030826
l	0.000942288	0.000420765	0.00711098	0.020964	0.0970319	0.142203	0.270841	0.334901	0.0693282	0.0562559
í	0.0109734	0.00193086	0.0246959	0.0640598	0.119181	0.0473431	0.132618	0.163845	0.165748	0.269605
í	0.007123	0.00261411	0.0218526	0.0387732	0.0414281	0.0189462	0.280143	0.350475	0.148113	0.0905311
t	0.00207514	0.00181796	0.0116411	0.0353745	0.0382656	0.0203364	0.196069	0.225839	0.319268	0.149314
i	0.000654094	0.000938197	0.00584893	0.0128026	0.106743	0.127848	0.0630262	0.120798	0.276724	0.284617
í	0.000742297	0.000288653	0.004902	0.0158762	0.0763357	0.0994677	0.0757143	0.0917611	0.201514	0.433398
b	0.002118	0.00144169	0.0177784	0.0206958	0.0263868	0.0137048	0.202239	0.277584	0.170899	0.267153
á	0.00856362	0.0162535	0.0168363	0.0164639	0.0359049	0.0582231	0.215324	0.138182	0.436225	0.058023
a	0.00530555	0.00401208	0.0141748	0.0120954	0.0290373	0.0344714	0.239988	0.156635	0.422485	0.0817951
</S>	0.000653809	0.000553294	0.006479	0.00933624	0.0152068	0.0113208	0.0768768	0.111432	0.237227	0.530914
