 	le	chef	a	décidé	de	le	chasser	du	village	</S>
o	0.89575	0.0828141	0.00809782	0.00373482	0.0034225	0.00259425	0.00122687	0.00219306	0.000139951	2.64448e-05
k	0.0332885	0.954337	0.00356492	0.00690355	0.000400611	0.000178624	0.000133298	0.000259543	0.000588845	0.000344718
o	0.00712653	0.990236	0.00017724	0.000622427	0.000404409	0.000156964	2.34362e-05	0.000242529	0.000269609	0.000740531
n	0.00215164	0.995527	0.000119903	0.00136201	0.000247312	6.9774e-05	1.64518e-05	0.000145717	0.000265663	9.47242e-05
d	0.0166288	0.97196	0.00127696	0.00091157	0.00123108	0.00120055	0.000305307	0.00318918	0.000861793	0.00243505
z	0.0467566	0.947269	0.00102068	0.000756028	0.000438425	0.000212013	0.000139808	0.000476198	0.000131487	0.00279971
i	0.0709395	0.908624	0.0012475	0.00111169	0.00113889	0.00085539	0.000586345	0.000864381	0.000349964	0.0142827
á	0.090804	0.0359514	0.799798	0.0475537	0.0113811	0.00370156	0.000383155	0.00357076	0.000116404	0.00674013
s	0.00583686	0.00424206	0.119182	0.783765	0.0675346	0.00683582	0.00347608	0.00143854	0.000686402	0.00700221
ó	0.000912837	0.000176465	0.0270703	0.939211	0.024669	0.00192026	0.00363383	0.000230381	3.30859e-06	0.00217305
í	0.00521007	0.000887376	0.0723791	0.752013	0.136734	0.0142459	0.00302999	0.00279402	0.000442821	0.0122636
i	0.0051217	0.000413342	0.080242	0.484213	0.304965	0.0882751	0.0146443	0.0113	0.00220555	0.00861997
t	0.00471275	0.00183028	0.0155793	0.12409	0.333878	0.275327	0.182783	0.0203174	0.0053854	0.0360967
u	0.00131495	0.000997796	0.00556004	0.0859926	0.457549	0.303803	0.0912651	0.0145265	0.0161881	0.0228024
r	0.00313542	0.000598803	0.00561531	0.0370135	0.347537	0.401407	0.073895	0.0251232	0.0646422	0.0410326
a	0.0057115	0.0017745	0.00628316	0.0519499	0.363469	0.41534	0.0172592	0.0644241	0.0304126	0.0433762
l	0.00179728	0.000106169	0.0249187	0.0413004	0.188963	0.265158	0.0425411	0.325935	0.0207595	0.0885212
á	0.00654612	0.00054809	0.0108354	0.0178369	0.145901	0.240875	0.0705917	0.171306	0.0415006	0.294059
w	0.00667557	0.000637377	0.00879687	0.00587806	0.0620366	0.153078	0.389982	0.127746	0.216949	0.02822
á	0.00775181	0.000303586	0.0139452	0.00962288	0.105074	0.297728	0.0822147	0.33171	0.0645724	0.0870782
p	0.00587432	0.000400017	0.00464389	0.00159794	0.0255653	0.0932489	0.217221	0.225564	0.243812	0.182073
o	0.000239152	0.000130997	8.35149e-05	0.000117607	0.00129757	0.00199877	0.00110372	0.0027787	0.986015	0.00623482
o	0.000165037	0.000106546	2.67371e-05	0.000181733	0.00124681	0.00285784	0.00261123	0.00562056	0.964155	0.0230284
</S>	0.02809	0.000554937	0.0245644	0.0423051	0.0760343	0.0688551	0.0237454	0.208784	0.0529499	0.474117
