 	la	reine	des	termites	est	blanche	</S>
m	0.917232	0.0477076	0.0196859	0.00257066	0.0122613	0.000488038	5.495e-05
b	0.0929287	0.724625	0.115561	0.0449272	0.0158364	0.000378973	0.0057419
ó	0.108745	0.853283	0.0263551	0.00998614	0.000686078	0.000445287	0.000499378
l	0.0188394	0.973946	0.00526479	0.00139225	0.000149865	4.67263e-05	0.000361189
o	0.201761	0.66225	0.0412051	0.0394081	0.00794764	0.00350968	0.0439182
m	0.27927	0.0361113	0.453719	0.051757	0.102522	0.0139607	0.0626605
b	0.457416	0.107135	0.152179	0.0220365	0.213008	0.0170533	0.0311728
o	0.18785	0.591332	0.127965	0.0407292	0.0101609	0.0058055	0.0361572
l	0.0343233	0.63605	0.0945464	0.187936	0.00999362	0.00198156	0.0351695
ó	0.281443	0.0795718	0.274095	0.268922	0.0498641	0.0110367	0.0350677
a	0.0494693	0.0015623	0.473463	0.0697386	0.34135	0.0169526	0.0474642
d	0.034209	0.00728052	0.296668	0.139698	0.294342	0.141811	0.0859913
i	0.00590106	0.00101233	0.0514598	0.033881	0.0601902	0.0289929	0.818563
p	0.00646947	0.00018003	0.0660697	0.0915849	0.175194	0.334777	0.325725
f	0.00109531	0.000356789	0.0125538	0.133909	0.0536801	0.659095	0.13931
u	0.00291454	0.00205169	0.0210403	0.0774325	0.0442304	0.553581	0.298749
ú	0.000940499	0.000252647	0.00373153	0.0159907	0.0136426	0.765396	0.200046
</S>	0.000193985	8.70794e-06	0.00906886	0.00906417	0.10326	0.283072	0.595331
