 	il	n'	y	a	personne	pour	pleurer	ce	voleur	</S>
e	0.234849	0.0941269	0.0845811	0.128781	0.353581	0.0740775	0.006609	0.0189302	0.00168238	0.00278206
b	0.0233325	0.313099	0.0317631	0.039772	0.198778	0.0621022	0.157968	0.0102144	0.144034	0.0189373
e	0.0363358	0.100652	0.0435683	0.0428617	0.143511	0.147604	0.251893	0.00520729	0.200024	0.0283427
m	0.0191103	0.156008	0.0685137	0.0560837	0.123837	0.147563	0.241966	0.0152061	0.0537589	0.117954
b	0.33628	0.0811102	0.0698156	0.0511207	0.0655354	0.166303	0.0373028	0.0172048	0.136709	0.0386186
e	0.0680168	0.0363204	0.0301054	0.0177399	0.0395937	0.272652	0.339525	0.0386995	0.0573525	0.0999947
y	0.0935832	0.0766985	0.272676	0.11222	0.084286	0.133596	0.0344096	0.145768	0.0130633	0.0336988
á	0.174364	0.0869184	0.177723	0.115983	0.0480377	0.0935388	0.0180939	0.198021	0.0348325	0.0524885
m	0.17857	0.0487693	0.115471	0.325536	0.0467378	0.0509242	0.00814426	0.154353	0.0564937	0.015001
ú	0.120587	0.0425175	0.0246751	0.0240801	0.0347158	0.0694981	0.0100648	0.0333956	0.568452	0.0720143
b	0.00587534	0.0438961	0.0284204	0.0396473	0.185438	0.217593	0.0370246	0.110535	0.248495	0.0830746
h	0.0232409	0.019497	0.0655538	0.126709	0.166559	0.148575	0.0292483	0.118901	0.0399931	0.261723
u	0.0363875	0.0244437	0.0926981	0.144063	0.0827818	0.245571	0.126961	0.0666819	0.0932338	0.087178
y	0.00496088	0.00752465	0.0793258	0.0685048	0.0274273	0.0852895	0.021673	0.468891	0.0257917	0.210612
é	0.0632696	0.051896	0.107964	0.140906	0.0389462	0.0855407	0.0177544	0.270934	0.123639	0.0991506
é	0.00681634	0.00722253	0.0729935	0.170243	0.0278952	0.0645804	0.0115314	0.33701	0.0290867	0.272621
m	0.00273546	0.0110236	0.0259484	0.0214075	0.00443712	0.0176654	0.0184827	0.626977	0.0427386	0.228584
i	0.00228122	0.00862677	0.0228256	0.0227038	0.0080143	0.0893944	0.0384458	0.494899	0.187681	0.125128
k	0.000744192	0.00347721	0.00541038	0.00223075	0.00441133	0.0211073	0.0726647	0.230341	0.172018	0.487595
á	0.000120117	0.00514269	0.00467735	0.00251945	0.00482845	0.0158369	0.531634	0.0759457	0.0638396	0.295456
m	0.000799418	0.00807961	0.0159548	0.0128992	0.0142677	0.0153623	0.117397	0.163369	0.305693	0.346178
b	0.00223734	0.00250153	0.00934864	0.00910159	0.00717992	0.0248512	0.0177609	0.128824	0.185306	0.612889
á	0.0111497	0.00333115	0.0124279	0.015266	0.0216423	0.0666208	0.0374245	0.0350138	0.099924	0.6972
a	0.0253663	0.0179428	0.0805988	0.100715	0.0385959	0.0601949	0.0117946	0.259083	0.193921	0.211788
l	0.0035162	0.0289446	0.0681936	0.0444399	0.00830611	0.0446537	0.0432389	0.408157	0.0706613	0.279889
e	0.00786324	0.0287384	0.0567413	0.0353919	0.00334293	0.0219651	0.0386615	0.248541	0.0271489	0.531605
i	0.000455201	0.00378545	0.0170003	0.00878204	0.00234855	0.0156705	0.0136326	0.492631	0.0278091	0.417885
</S>	0.00694836	0.0146227	0.0335619	0.0236162	0.0128977	0.0327522	0.0212656	0.242626	0.117578	0.494132
