 	en	ce	temps	là	ma	machine	était	encore	intacte	</S>
o	0.498857	0.327939	0.0795566	0.0428572	0.0194235	0.0187229	0.00367366	0.00591559	0.00194433	0.00110988
n	0.048098	0.177038	0.0891157	0.0831435	0.0231661	0.138926	0.131537	0.0683828	0.04962	0.190973
d	0.00591639	0.123528	0.200916	0.0568552	0.180012	0.127491	0.0505283	0.118113	0.0550489	0.0815921
i	0.126703	0.419733	0.215432	0.049711	0.0383812	0.0167528	0.0312377	0.00603453	0.0281643	0.0678502
e	0.0888402	0.475503	0.30044	0.0451305	0.0412659	0.00838432	0.00978837	0.0052019	0.0104607	0.0149852
m	0.159446	0.135729	0.300281	0.269983	0.0506078	0.01546	0.0269587	0.0107435	0.00423487	0.0265554
ú	0.220389	0.0781426	0.174333	0.266635	0.130278	0.0411178	0.0437953	0.00418243	0.00826719	0.0328591
u	0.0639808	0.0505629	0.133854	0.38141	0.0928944	0.0581509	0.100221	0.0103778	0.0128461	0.0957021
a	0.0512296	0.0332104	0.132545	0.475645	0.0634852	0.073589	0.0877871	0.00809454	0.00872991	0.0656838
s	0.00831174	0.00786729	0.0374593	0.184198	0.0468542	0.334015	0.179735	0.117042	0.0268437	0.057675
í	0.00299281	0.00515407	0.0318851	0.098684	0.0985152	0.250323	0.179261	0.243135	0.0214127	0.0686368
n	0.00564815	0.00813137	0.0414781	0.155703	0.190117	0.178351	0.0895319	0.124485	0.0112387	0.195315
i	0.00141518	0.00622852	0.0120173	0.00851173	0.41049	0.378492	0.0200458	0.133331	0.0243326	0.00513608
m	0.00851764	0.0125636	0.0829969	0.0954185	0.35749	0.104488	0.084663	0.158549	0.0264287	0.0688855
á	0.080599	0.0294944	0.0299437	0.0424583	0.0675466	0.0966189	0.226077	0.0303099	0.220252	0.176701
n	0.00949995	0.00698049	0.0140174	0.02608	0.295322	0.234961	0.0800927	0.109837	0.136837	0.0863717
g	0.000430435	0.00123296	0.00377825	0.000582841	0.259011	0.368929	0.0165184	0.148382	0.159777	0.0413584
á	0.000353581	0.00262076	0.00818182	0.00191169	0.241413	0.367021	0.0217995	0.142647	0.111827	0.102224
á	0.00332573	0.0023284	0.0148411	0.0192191	0.0575251	0.0602869	0.15191	0.116303	0.136121	0.43814
s	0.00155499	0.00297634	0.00911042	0.018478	0.0126736	0.0395511	0.0972778	0.339179	0.168146	0.311053
á	0.000947012	0.00109668	0.00230562	0.00275746	0.0127639	0.0290982	0.0728208	0.312123	0.0704621	0.495626
a	0.00174968	0.00100561	0.0042658	0.0130103	0.041269	0.0164028	0.0612238	0.17904	0.0530826	0.628951
ó	0.00247021	0.00133243	0.0036218	0.00983229	0.0148603	0.0391803	0.0436192	0.0870748	0.203532	0.594477
m	0.00656007	0.00942665	0.0183912	0.0436888	0.0113762	0.0140766	0.050559	0.18763	0.392475	0.265816
á	0.00425783	0.0207882	0.0312668	0.0401202	0.0108014	0.00586032	0.130608	0.022328	0.357228	0.376741
á	0.00143312	0.00117627	0.00464309	0.00972495	0.0028364	0.00145958	0.02405	0.018655	0.0377688	0.898253
m	0.00646108	0.00406109	0.0121778	0.0226748	0.0226913	0.0173767	0.0348096	0.264255	0.216313	0.399179
έ	0.00287784	0.0111651	0.0254967	0.0384914	0.00753477	0.00356492	0.0862066	0.0344584	0.394778	0.395426
n	0.000594572	0.00124046	0.00353785	0.00645085	0.0036485	0.00221832	0.0253346	0.0190482	0.0752512	0.862675
έ	0.00379944	0.00559318	0.00600979	0.00308084	0.0386843	0.0473755	0.0309984	0.0652492	0.375913	0.423296
</S>	0.000248362	0.00045517	0.00333605	0.00186953	0.00905795	0.00768343	0.0165999	0.0274761	0.0295448	0.903729
