 	il	y	a	des	fourmis	magnants	sur	le	chemin	de	notre	champ	</S>
a	0.121998	0.138757	0.190867	0.064824	0.144796	0.028338	0.0833554	0.0942545	0.0588526	0.0411974	0.0257144	0.00586009	0.00118555
s	0.0194415	0.0358814	0.0402298	0.0185274	0.0597944	0.737303	0.0239393	0.0154592	0.0175429	0.0113381	0.00931867	0.00802396	0.00320044
ú	0.00359533	0.0222723	0.0285929	0.022979	0.0527626	0.389545	0.0906553	0.161345	0.00326535	0.0253126	0.0572789	0.017563	0.124833
u	0.00273721	0.0166763	0.0307804	0.0173327	0.0463119	0.80968	0.0267956	0.0264687	0.00117906	0.00525041	0.00367837	0.00333634	0.00977243
á	0.0478308	0.0496742	0.0905915	0.181565	0.0704958	0.105839	0.155503	0.126717	0.0115257	0.0335478	0.0127548	0.00106253	0.112893
d	0.0141196	0.0104641	0.0723625	0.137957	0.0457404	0.0654813	0.19732	0.251525	0.0227434	0.0583507	0.0676933	0.00278544	0.0534575
i	0.000655877	0.000954123	0.0133915	0.0606007	0.0308687	0.107249	0.211442	0.173117	0.0010081	0.0499274	0.102125	0.00171908	0.246942
m	0.00478345	0.00662383	0.0199288	0.0969354	0.0235069	0.0338125	0.290602	0.237044	0.0213868	0.153975	0.0374837	0.00282519	0.0710921
á	0.0171552	0.00701609	0.0201474	0.188199	0.0126864	0.00398835	0.134464	0.0931496	0.00100618	0.0597483	0.238119	0.00470488	0.219616
k	0.00879417	0.00580606	0.0177651	0.092831	0.0238947	0.0101654	0.0856597	0.184366	0.0907072	0.154791	0.104952	0.0864204	0.133848
ó	0.000345587	0.00228398	0.00192626	0.00391766	0.00299562	0.0022555	0.0146596	0.0705886	0.716859	0.130763	0.00261719	0.0159318	0.0348555
ó	0.000652861	0.00755559	0.0107061	0.0121923	0.0136057	0.0032474	0.0134575	0.0603898	0.515272	0.205373	0.00216118	0.0245969	0.13079
y	0.00882367	0.00625353	0.0103746	0.0298322	0.0149354	0.00434113	0.0758892	0.0838117	0.120942	0.394549	0.08401	0.0160585	0.15018
a	0.0306957	0.0308732	0.0266424	0.0574628	0.027802	0.0107396	0.106462	0.0986402	0.0321258	0.190595	0.13506	0.0670603	0.185841
n	0.00368487	0.00216173	0.00463511	0.0187199	0.00519557	0.00235073	0.0103719	0.020473	0.0153883	0.0477117	0.569429	0.26571	0.0341682
g	0.000107388	0.000122518	0.000358042	0.00116543	0.000158254	0.000492551	0.00189465	0.00421358	0.000884546	0.01017	0.0656891	0.904234	0.0105098
o	3.07605e-05	6.74636e-05	0.000506306	0.000855926	0.000444432	0.00257667	0.00394926	0.00670231	0.000672273	0.00404121	0.0129772	0.95343	0.0137463
n	4.58552e-06	1.83629e-05	6.5363e-05	0.000351962	0.000243885	0.000749966	0.000786344	0.00287114	0.000992586	0.00215973	0.00616543	0.976622	0.00896874
d	0.00185286	0.00404354	0.00314951	0.00582321	0.00252648	0.00180691	0.0139311	0.0398647	0.0123691	0.12669	0.0281889	0.14586	0.613893
a	0.000612229	0.000652994	0.000668282	0.00179097	0.000632043	0.00351629	0.00579716	0.0147099	0.00211323	0.0108529	0.0150093	0.817279	0.126366
y	0.00628723	0.00854817	0.0226128	0.0416421	0.0167481	0.00433699	0.0780068	0.0883117	0.0233833	0.161228	0.221603	0.0888552	0.238437
á	0.0199953	0.0543063	0.030792	0.0308723	0.0412061	0.013106	0.0774781	0.0567529	0.0195209	0.255013	0.314591	0.0313683	0.0549979
b	0.00558168	0.00477345	0.00662155	0.00901207	0.00313212	0.000424074	0.00482127	0.00818872	0.0113015	0.0531459	0.803776	0.0446605	0.0445608
í	0.00272829	0.00360365	0.00484618	0.00508208	0.0014497	0.000145693	0.00552543	0.0117628	0.0132463	0.0422598	0.864376	0.0207569	0.0242175
s	0.00211412	0.00224785	0.0022169	0.00417735	0.000885958	1.24399e-05	0.00226561	0.00833352	0.0103261	0.0274648	0.828939	0.047263	0.0637538
í	0.000706711	0.000838104	0.00156509	0.00312533	0.00036443	4.00314e-05	0.00135453	0.0035428	0.000353378	0.0235365	0.747645	0.0449077	0.17202
</S>	0.000877192	0.00247292	0.00738923	0.00672977	0.00256153	0.000780416	0.00677602	0.0076662	0.00359926	0.0999225	0.243437	0.0356169	0.582171
