 	la	nourriture	est	trop	salée	</S>
í	0.709845	0.286176	0.00281937	0.000941182	0.000182971	3.49082e-05
p	0.111947	0.733816	0.0660805	0.0839913	0.00268446	0.00148086
é	0.00975121	0.206289	0.116847	0.362568	0.286539	0.0180069
n	0.0105801	0.154609	0.348573	0.418061	0.0586596	0.00951782
d	0.0822713	0.106052	0.361539	0.320059	0.0809973	0.0490806
í	0.15523	0.118515	0.304001	0.310533	0.0708585	0.0408626
o	0.358547	0.0659489	0.167367	0.140062	0.0543643	0.213711
k	0.00308131	0.0205899	0.144993	0.078397	0.691852	0.0610863
w	0.00111129	0.00820614	0.199615	0.196796	0.515526	0.0787459
á	0.00834044	0.0712804	0.192713	0.211965	0.273606	0.242095
</S>	0.0100931	0.0115743	0.0462599	0.0167811	0.0553677	0.859924
