 	le	constructeur	de	cette	maison	est	décédé	</S>
o	0.940304	0.0410508	0.00545842	0.00559324	0.0060891	0.00146951	1.2071e-05	2.24384e-05
t	0.0665928	0.89177	0.0178384	0.0047683	0.00604408	0.00263662	0.00422877	0.00612075
ó	0.0214503	0.853232	0.0781567	0.0306986	0.00219255	0.00160105	0.0095646	0.00310386
n	0.0169601	0.961667	0.00727772	0.00269999	0.000569932	0.000516242	0.00140768	0.00890114
g	0.283587	0.635281	0.0410864	0.0133481	0.00384368	0.000913483	0.00243144	0.0195091
i	0.547241	0.351922	0.0338381	0.0295818	0.0182307	0.00170508	0.00152778	0.0159539
n	0.105719	0.0225555	0.622432	0.140584	0.0514378	0.0459228	0.001218	0.0101308
d	0.0768949	0.0357488	0.133053	0.15253	0.524837	0.0212188	0.00290958	0.0528075
é	0.00517656	0.0166725	0.0266041	0.0723918	0.867863	0.000898075	0.00171157	0.00868261
e	0.031584	0.159349	0.0868015	0.133998	0.535432	0.0187466	0.00698321	0.0271063
y	0.043752	0.00799327	0.376165	0.161127	0.117141	0.274425	0.00385188	0.0155445
é	0.124242	0.00783839	0.438438	0.20672	0.0580701	0.068208	0.0394714	0.0570122
á	0.0650766	0.00303663	0.265213	0.212555	0.10006	0.237587	0.0252966	0.091176
m	0.0024847	0.00049607	0.0404234	0.0440311	0.0648014	0.795879	0.0180523	0.0338317
i	0.00449019	0.000132581	0.0708755	0.0621973	0.00484877	0.574289	0.226958	0.056208
w	0.00319937	0.000636241	0.0480353	0.0525505	0.0310078	0.337221	0.39674	0.13061
á	0.00226287	0.00263053	0.0518492	0.109647	0.0201599	0.0849316	0.533874	0.194645
a	0.00362198	0.000500536	0.0260244	0.110117	0.0310928	0.178096	0.274792	0.375756
</S>	0.00158187	0.000323003	0.0116159	0.0392574	0.0114369	0.464384	0.205946	0.265455
