 	un	enfant	doit	respecter	les	gens	</S>
m	0.904615	0.0757246	0.0126792	0.00394466	0.0011745	0.00180215	6.03446e-05
w	0.00382794	0.993432	0.000868682	0.000860293	0.000452662	7.33153e-05	0.000484833
á	0.00529432	0.99317	0.000255097	0.000433202	6.31987e-05	0.00075367	3.03003e-05
n	0.142107	0.854994	0.000769579	0.000577621	0.000210641	0.00083075	0.000510666
a	0.102639	0.513565	0.0241925	0.0264783	0.0100662	0.0070994	0.31596
k	0.801432	0.0248328	0.120877	0.016421	0.021711	0.00377233	0.0109542
á	0.115271	0.019533	0.58786	0.143808	0.0229903	0.0683479	0.04219
a	0.0417498	0.0174435	0.733217	0.100556	0.0236042	0.0306106	0.0528186
l	0.077227	0.00485773	0.497719	0.167969	0.09799	0.00862407	0.145613
á	0.0367141	0.0150459	0.325934	0.139677	0.0785222	0.0099689	0.394137
a	0.132515	0.0132836	0.345573	0.241951	0.113882	0.0134069	0.139389
d	0.0180541	0.00967876	0.186881	0.648783	0.0709951	0.00934904	0.0562588
u	0.00809309	0.00240889	0.0437728	0.626292	0.131992	0.0078739	0.179567
m	0.0786117	0.00625724	0.0771164	0.42466	0.373995	0.00257739	0.0367822
á	0.0262909	0.00308697	0.0919257	0.405925	0.335095	0.0183946	0.119283
b	0.00900612	0.00145552	0.0371221	0.120947	0.307362	0.285325	0.238782
a	0.00204773	0.000301733	0.0161515	0.0324557	0.0243004	0.916356	0.00838687
r	0.000142668	5.70689e-05	0.00560891	0.00823887	0.0117388	0.95741	0.0168033
e	0.00296716	0.00167371	0.0302754	0.191813	0.179208	0.315728	0.278335
</S>	0.00236763	0.000124145	0.0252338	0.0438937	0.256162	0.123722	0.548497
