 	son	boubou	lui	va	bien	</S>
o	0.423654	0.55593	0.0130039	0.00340909	0.00340416	0.000599054
k	0.0238462	0.968787	0.00221632	0.00243592	0.00194093	0.000774143
á	0.00480831	0.979635	0.00220301	0.00415294	0.00690058	0.00230009
n	0.00538165	0.965224	0.00552339	0.00854192	0.00651535	0.00881334
d	0.0999646	0.891611	0.00411522	0.00115359	0.000371749	0.00278434
á	0.157147	0.797478	0.0174091	0.00219825	0.000827282	0.0249402
m	0.334909	0.0713385	0.517795	0.0360821	0.00612941	0.0337459
á	0.615976	0.0122098	0.310852	0.0308311	0.00354434	0.0265867
w	0.660768	0.0334488	0.270888	0.0202927	0.00403211	0.0105706
a	0.139332	0.0225018	0.590251	0.155839	0.0248302	0.0672464
m	0.121477	0.00637234	0.721391	0.106184	0.0103869	0.0341887
ó	0.150665	0.00322001	0.316345	0.268504	0.0391078	0.222158
o	0.305503	0.0327032	0.21726	0.259319	0.135193	0.050022
k	0.00492503	0.00540127	0.0197521	0.50286	0.407409	0.0596532
o	0.00105457	0.0113525	0.0114347	0.475051	0.364588	0.136519
á	0.00182558	0.00788986	0.0283213	0.344008	0.503028	0.114927
l	0.0120678	0.00203475	0.0803367	0.128106	0.386123	0.391332
a	0.0181622	0.00257455	0.0400295	0.184218	0.351128	0.403888
w	0.0342277	0.00186668	0.14647	0.0888634	0.241963	0.486609
a	0.0549968	0.00913936	0.314809	0.193296	0.29344	0.134319
o	0.0247745	0.00150629	0.162473	0.0704801	0.254875	0.485891
b	0.00458674	0.0033775	0.0255206	0.277764	0.419148	0.269603
v	0.00132619	0.00383751	0.00946897	0.0915487	0.813803	0.0800159
έ	0.00455948	0.0019493	0.00750279	0.0437876	0.873073	0.069128
</S>	0.0195015	0.00108252	0.0130994	0.0179954	0.30287	0.645451
