 	cette	femme	faisait	danser	les	enfants	</S>
o	0.973548	0.0188092	0.000810335	0.000914591	0.00276874	0.00305672	9.21008e-05
y	0.0872646	0.895741	0.00545941	0.00433167	0.00201727	0.00334156	0.00184435
ú	0.957188	0.0273439	0.00310479	0.00945741	0.00177966	0.000590835	0.000535335
r	0.420122	0.0301566	0.0215134	0.268986	0.100746	0.0137637	0.144713
u	0.646156	0.0655993	0.0322008	0.100615	0.0570064	0.0387597	0.0596632
w	0.31234	0.33821	0.214084	0.0456308	0.0224705	0.00786145	0.0594033
ó	0.261304	0.0205373	0.198755	0.168308	0.081851	0.0281303	0.241114
á	0.0468395	0.0141624	0.704936	0.0906228	0.0322066	0.0150079	0.0962246
d	0.0126164	0.00942737	0.537009	0.237492	0.0881884	0.00238237	0.112884
z	0.0342734	0.0164712	0.395622	0.408259	0.0428285	0.001637	0.100909
e	0.771106	0.0436903	0.057413	0.121249	0.00367428	0.000788852	0.00207833
l	0.0306531	0.00584973	0.546407	0.235904	0.0805255	0.00730701	0.0933537
á	0.0114384	0.000884608	0.203284	0.151484	0.139247	0.00617374	0.487488
a	0.141325	0.00413993	0.13451	0.225281	0.177862	0.087778	0.229104
s	0.00757602	0.0210382	0.279778	0.28001	0.190989	0.0284119	0.192197
é	0.00231953	0.00443488	0.0125516	0.60192	0.301905	0.00157233	0.0752966
é	0.00760987	0.00086768	0.021998	0.573207	0.252592	0.00124818	0.142477
s	0.00126895	1.50923e-05	0.00352002	0.276637	0.640366	0.00447168	0.0737204
á	0.00995278	6.93942e-05	0.00247811	0.122472	0.583971	0.00514716	0.27591
a	0.0155576	0.000383204	0.00739881	0.188386	0.366466	0.373401	0.048407
n	0.00282166	0.000298386	0.00868167	0.0769397	0.51393	0.331565	0.0657637
d	0.0117966	0.000978507	0.00107204	0.407466	0.423599	0.0629204	0.0921673
z	0.000665077	0.000593815	0.00109547	0.217803	0.380263	0.139459	0.26012
é	0.000571384	0.0027458	0.0048351	0.23713	0.415684	0.125277	0.213757
s	0.000920387	0.000265342	0.00909765	0.120056	0.172769	0.0246537	0.672238
i	0.00378032	0.00106094	0.00381353	0.193208	0.264037	0.104573	0.429527
</S>	0.00280694	0.000123354	0.00805768	0.12217	0.124892	0.0521082	0.689842
