 	mes	petits	fils	m'	ont	prié	de	venir	partager	l'	héritage	de	leur	père	</S>
a	0.356607	0.578858	0.0448404	0.00323415	0.00583742	0.00189607	0.00296874	0.000277091	0.00116415	0.000932549	0.0019755	0.000957746	0.000408403	1.64542e-05	2.58015e-05
n	0.256587	0.556066	0.112053	0.00574923	0.0103483	0.00856028	0.0048905	0.00759254	0.0104818	0.00698271	0.0129677	0.00373896	0.00185963	0.000308146	0.00181411
d	0.6153	0.211356	0.025058	0.0181074	0.00998821	0.0238729	0.0146578	0.0479135	0.0048135	0.0115825	0.0114406	0.00313207	0.00101145	0.000258517	0.00150696
a	0.805551	0.135591	0.0101265	0.00301115	0.00126965	0.0132921	0.00321044	0.0122674	0.00106888	0.0025182	0.00303591	0.00072573	0.000195199	0.00113226	0.00700487
a	0.468764	0.336611	0.0484031	0.012711	0.0123002	0.038109	0.0135736	0.0297474	0.00309306	0.0129044	0.00848646	0.00173548	0.00120138	0.0010293	0.0113305
á	0.30286	0.14111	0.136188	0.0808237	0.100001	0.0704171	0.0269645	0.0142665	0.0127123	0.0190613	0.00543922	0.0277048	0.0160049	0.00306979	0.0433771
t	0.116255	0.0565108	0.0752057	0.0318081	0.105132	0.317918	0.0288991	0.05827	0.112804	0.0183396	0.0108519	0.00744573	0.00427689	0.00473856	0.0515451
í	0.0200499	0.0148271	0.0621802	0.0193951	0.135622	0.365612	0.0319893	0.123008	0.128497	0.0270148	0.0217216	0.00763476	0.00230523	0.00547146	0.0346729
n	0.115946	0.0545452	0.0196333	0.0428675	0.300396	0.0949989	0.0402623	0.0252934	0.104487	0.0228414	0.0171429	0.0103967	0.00599602	0.0169713	0.128222
d	0.133882	0.0826889	0.0326101	0.198441	0.15096	0.206368	0.0697522	0.0283324	0.0101823	0.0144867	0.0084487	0.00979687	0.0208019	0.0122897	0.0209594
i	0.150567	0.0853278	0.0438934	0.123556	0.0822249	0.14592	0.108959	0.156939	0.00775833	0.0229599	0.0155987	0.0133736	0.019731	0.0100244	0.0131668
o	0.0484812	0.0528154	0.0267423	0.459511	0.0918756	0.0301569	0.203035	0.0456488	0.00289976	0.0118762	0.00547033	0.00495954	0.00958153	0.00246755	0.00447795
b	0.0208817	0.00594235	0.0149135	0.0446823	0.155462	0.113119	0.130158	0.215434	0.232765	0.0205555	0.0327336	0.00561123	0.00107666	0.00246485	0.00419927
é	0.0069868	0.0121319	0.0132918	0.00298844	0.0163507	0.00825345	0.0468567	0.0120747	0.679768	0.0529632	0.122198	0.0125731	0.00336117	0.000754551	0.00944786
á	0.0113461	0.00481927	0.00869698	0.00518213	0.0484691	0.0529197	0.0555422	0.0286634	0.324914	0.0600178	0.0816997	0.014849	0.00122309	0.0028763	0.298781
n	0.00384784	0.00270221	0.00335996	0.290758	0.123772	0.101089	0.272317	0.122982	0.0263549	0.0194064	0.00458284	0.00882298	0.0124922	0.00168394	0.00582842
g	0.0790239	0.0108044	0.0022159	0.173979	0.0105213	0.109909	0.263047	0.276978	0.00458202	0.0237578	0.0190813	0.0105335	0.00672147	0.000899941	0.00794499
á	0.0741802	0.0369105	0.00241021	0.257558	0.0131355	0.0574704	0.105303	0.423079	0.00152481	0.0112561	0.0106067	0.00159327	0.00119103	0.000443459	0.0033383
m	0.00222571	0.000787135	0.0019801	0.0416329	0.0389051	0.0147212	0.254517	0.144631	0.156316	0.210745	0.0503013	0.0472186	0.0248721	0.0041361	0.00701091
í	0.00313614	0.00713313	0.0119652	0.0218064	0.0213184	0.00217555	0.0800825	0.0353909	0.137826	0.352296	0.0591818	0.0848109	0.0512946	0.00522089	0.126362
k	0.00127602	0.000924674	0.000795427	0.00382978	0.00638905	0.00118192	0.0252572	0.0102031	0.168098	0.284808	0.413734	0.0653223	0.00366984	0.00355612	0.0109539
a	0.000194751	7.68116e-05	8.58666e-05	7.32473e-05	0.000731075	0.000725533	0.00390524	0.00576167	0.411211	0.189089	0.306498	0.0608125	0.000390957	0.00426711	0.0161769
b	0.000220213	0.000139629	0.000224463	0.000693064	0.00245854	0.00615062	0.0068227	0.00467319	0.496294	0.160159	0.217155	0.0494079	0.00187253	0.00547444	0.0482553
h	0.00520757	0.000763471	0.000153616	0.000952028	0.0022659	0.00857916	0.0189811	0.00994863	0.390419	0.157004	0.175056	0.144428	0.0180409	0.00129161	0.0669094
a	0.00558203	0.00294652	0.000658335	0.00250315	0.00178705	0.00249231	0.0262015	0.00299259	0.129689	0.0922944	0.490716	0.144423	0.0420194	0.00873683	0.0469581
l	0.00127634	0.00037437	0.000225703	0.0029212	0.00113883	0.00150909	0.0202652	0.00662743	0.0406609	0.24108	0.224901	0.335725	0.0486128	0.0138337	0.0608489
é	0.0025042	0.000406118	9.22957e-05	0.00189466	0.00127665	0.00461847	0.0093188	0.0218108	0.0359293	0.137165	0.242687	0.213942	0.0463115	0.0619291	0.220114
k	0.000958536	0.000328055	7.07799e-05	0.00666189	0.00148396	0.00386068	0.022782	0.0102857	0.00584221	0.113541	0.169708	0.371591	0.156162	0.0634573	0.073266
á	0.000140673	0.000167372	6.18628e-05	0.000115241	0.000198489	0.00284492	0.00419087	0.00148856	0.0762657	0.110145	0.492304	0.172009	0.012923	0.0872881	0.0398571
o	0.000215472	0.000285109	9.22061e-05	0.00192119	0.00190222	0.014218	0.00674449	0.00345838	0.034496	0.0506474	0.11112	0.0820466	0.0321876	0.568205	0.09246
y	0.000119655	6.75788e-05	8.55614e-05	0.000944992	0.000505758	0.000262942	0.00166736	0.00169272	0.00341583	0.0387538	0.0442509	0.48066	0.233442	0.104645	0.0894849
é	0.00712866	0.00416121	0.000431585	0.00944758	0.0019812	0.00613046	0.02116	0.0178187	0.00409188	0.0601995	0.0465244	0.181511	0.153465	0.388269	0.0976809
é	0.00151585	0.000487365	8.70748e-05	0.00963477	0.00129158	0.00178232	0.0136037	0.00351364	0.00173827	0.0463401	0.0432918	0.25748	0.376652	0.0816782	0.160904
y	0.00126314	0.0014201	0.000713156	0.00699591	0.00192848	0.0102095	0.0116767	0.00792872	0.0221666	0.057576	0.0563418	0.225488	0.263307	0.0438262	0.289158
í	0.000585201	0.000188394	0.000325319	0.0023465	0.00128966	0.0311108	0.0215658	0.00642149	0.0049013	0.0267741	0.0244262	0.0722603	0.169559	0.246408	0.391838
í	9.96639e-05	4.26735e-05	2.1393e-05	0.000340671	0.000132264	0.00103494	0.00150313	0.000266453	0.00112556	0.00666644	0.00761984	0.0310409	0.045869	0.3009	0.603337
t	0.000352009	8.5286e-05	5.4352e-05	0.00474552	0.00161621	0.00220304	0.00777855	0.00218362	0.00155376	0.0171229	0.00973344	0.119046	0.316637	0.0524491	0.464439
á	0.00027158	0.000231905	5.79956e-05	0.000687599	0.000439531	0.00168369	0.00417232	0.000793312	0.00509267	0.0160724	0.0160722	0.0858198	0.106412	0.633864	0.128329
á	3.86019e-05	4.17193e-05	1.63875e-05	0.000875772	0.0002803	0.000522304	0.000602302	0.000259049	0.000720973	0.00389935	0.00549119	0.0333241	0.0493426	0.838472	0.0661135
y	0.000919032	0.000445962	0.00135752	0.0280749	0.0117564	0.00449485	0.0103561	0.00520351	0.00230886	0.0185433	0.0103363	0.177239	0.49891	0.0821689	0.147885
a	0.000178939	0.000114913	3.86502e-05	0.000788048	0.0003218	0.00272292	0.00621683	0.00187385	0.00376335	0.022346	0.0175982	0.117385	0.165085	0.252518	0.409048
b	0.00015861	0.00012214	2.78641e-05	0.00484377	0.000383535	0.000617605	0.00641198	0.000292402	0.000311291	0.00979899	0.00930567	0.125676	0.549282	0.136887	0.155881
á	0.00113262	0.00704145	0.00147101	0.0047183	0.000843903	0.00104779	0.0108784	0.000316346	0.00372125	0.019491	0.0247888	0.0503119	0.839075	0.0143381	0.0208238
a	0.000616033	0.00182658	0.000184251	0.00792925	0.000819531	0.000564635	0.0106465	0.000422427	0.00226741	0.023462	0.0266771	0.0321614	0.845526	0.020008	0.0268886
</S>	0.000418924	0.000152433	0.000159233	0.00127304	0.00106659	0.000918216	0.00214826	0.00166033	0.0051149	0.0162788	0.00790424	0.129268	0.052815	0.0379034	0.742919
