 	le	manioc	que	ma	tante	paternelle	a	préparer	s'	est	refroidi	</S>
i	0.593023	0.316816	0.0393298	0.0128969	0.0265357	0.0036436	0.00640381	0.000153355	0.000561972	0.00029223	0.000275113	6.84386e-05
k	0.0162375	0.973414	0.00189298	0.000384765	0.0010083	0.00151839	0.000710491	0.00204458	0.000347211	0.000322364	0.00159549	0.000524408
ώ	0.00536937	0.984255	0.00411821	0.000479793	0.00167005	0.000501946	0.000267481	0.000818889	0.000118234	9.97502e-05	0.00182596	0.000475456
ώ	0.0117771	0.959785	0.0113073	0.00376863	0.00424818	0.000930249	0.000853101	0.00164408	0.000993875	0.000332834	0.00169589	0.00266342
b	0.59553	0.202986	0.125158	0.00505443	0.00929555	0.00449401	0.0176027	0.00326534	0.00752223	0.00381658	0.000300858	0.0249739
í	0.141888	0.0725819	0.417065	0.0247306	0.0295385	0.00562997	0.0294177	0.0136963	0.0562527	0.03047	0.00197652	0.176753
í	0.177618	0.0304617	0.144471	0.198012	0.161505	0.0763351	0.0480376	0.0121233	0.0428987	0.01736	0.00190459	0.0892739
l	0.099169	0.0190927	0.388576	0.142138	0.128139	0.0423204	0.0583978	0.0265182	0.0373952	0.0250157	0.00377219	0.0294662
á	0.0238722	0.00548222	0.232798	0.121183	0.173118	0.0324184	0.0664812	0.0589875	0.0896231	0.0236044	0.0027126	0.169719
m	0.0665682	0.00406889	0.162706	0.288919	0.32184	0.0351943	0.0222439	0.0163371	0.0252527	0.00682427	0.00222135	0.0478251
b	0.0143634	0.00119798	0.127617	0.388799	0.205239	0.20862	0.0379361	0.00696389	0.00363865	0.00142672	5.11233e-05	0.00414707
í	0.0358461	0.0103603	0.47431	0.254886	0.0711764	0.0151212	0.0624751	0.0174907	0.0383206	0.00421982	0.000570395	0.0152231
n	0.0363455	0.00369028	0.238357	0.372756	0.229653	0.05157	0.0202269	0.00497762	0.0156064	0.00592408	0.000254023	0.0206396
g	0.046215	0.00504375	0.167345	0.456099	0.242516	0.0196892	0.00938796	0.00495429	0.012245	0.00253146	0.00137547	0.0325982
á	0.027111	0.0038672	0.0689228	0.681305	0.199549	0.00398095	0.00108778	0.000714699	0.00223041	0.00014483	0.000304208	0.010782
t	0.0174607	0.00181524	0.0812381	0.228021	0.438541	0.130528	0.0691935	0.0102528	0.00746287	0.00833035	0.00241167	0.00474428
á	0.0104095	0.00489315	0.0276018	0.0874951	0.551162	0.293115	0.00950974	0.00635475	0.00187278	0.00120731	0.00132513	0.00505275
m	0.00175997	0.000245926	0.0195024	0.125072	0.155879	0.624516	0.0274037	0.0167033	0.00328233	0.00320023	0.00195557	0.0204805
á	0.00120249	0.000953275	0.0125477	0.0328846	0.177056	0.619694	0.0917536	0.0440243	0.00577159	0.00356619	0.000327164	0.0102192
l	0.00517873	0.000525751	0.0159808	0.0155842	0.0472304	0.308609	0.290399	0.194289	0.0561179	0.0254005	0.0120005	0.0286846
e	0.00430657	0.0012619	0.0303963	0.0319376	0.0253556	0.176894	0.200259	0.161518	0.0870454	0.0338732	0.00659918	0.240553
í	0.0048517	0.000972058	0.0217671	0.0250353	0.0135328	0.0671942	0.139912	0.51661	0.0838863	0.0264184	0.0447888	0.0550314
b	0.0167853	0.00658446	0.0373584	0.0121082	0.00414506	0.0244419	0.0980909	0.386406	0.149236	0.0909907	0.105037	0.0688158
h	0.00119415	0.0100345	0.0338243	0.0130001	0.00167379	0.0109539	0.0752964	0.481592	0.161176	0.102891	0.0588453	0.049519
í	0.00190902	0.00262804	0.022338	0.00896923	0.00255035	0.0120826	0.0573465	0.562719	0.116566	0.0663036	0.0518493	0.0947381
i	0.00117877	0.000416137	0.00635875	0.0193925	0.00538732	0.0434444	0.0672581	0.240183	0.162596	0.114141	0.0755898	0.264054
k	0.00173524	0.000855275	0.00548478	0.00582404	0.00601631	0.0275819	0.0527146	0.175175	0.223716	0.0775197	0.238541	0.184836
u	0.000133682	0.00154565	0.00435425	0.000833423	0.000671477	0.00277161	0.0102124	0.23518	0.0323462	0.0213338	0.643339	0.0472785
r	0.000804954	0.00085467	0.000676834	0.000826496	0.000346787	0.00124448	0.00274984	0.0638735	0.0160456	0.0166735	0.831413	0.0644906
á	0.00656711	0.000440576	0.0046059	0.0132116	0.00136304	0.00212651	0.00939678	0.0811719	0.0597098	0.0501653	0.546788	0.224454
k	0.00131334	0.000230078	0.00360912	0.00573931	0.00244928	0.00439254	0.0242025	0.0174672	0.147593	0.177408	0.123929	0.491667
u	0.0010701	0.00552522	0.0169223	0.0153241	0.00579013	0.0036253	0.0143929	0.0219224	0.0282002	0.158466	0.617168	0.111594
r	0.000678478	0.000264989	0.0021406	0.00510669	0.000173155	0.000405706	0.001286	0.0132758	0.00475781	0.0102931	0.894384	0.067234
a	0.00231315	0.000107946	0.00280701	0.0161312	0.000467283	0.000563785	0.0039857	0.0275021	0.0235912	0.027957	0.796278	0.0982955
</S>	0.00115441	0.000230911	0.00237227	0.00380572	0.000782471	0.000935005	0.00587996	0.0072378	0.0568561	0.124772	0.11395	0.682024
