 	leur	parcelle	est	divisée	</S>
l	0.302422	0.567556	0.0828656	0.0342224	0.0129344
e	0.0882257	0.509821	0.114364	0.0228642	0.264725
p	0.113033	0.611139	0.0234268	0.0073809	0.24502
á	0.0118642	0.42608	0.100337	0.096654	0.365065
n	0.017528	0.805548	0.0627986	0.0186676	0.0954581
g	0.213648	0.446322	0.0507569	0.213672	0.0756012
e	0.247938	0.545913	0.0288456	0.0435533	0.133751
l	0.086738	0.296456	0.414605	0.0512818	0.150919
á	0.318404	0.258733	0.0811207	0.0138156	0.327926
b	0.859479	0.0474166	0.0276092	0.0539252	0.0115697
á	0.735642	0.0166323	0.0352217	0.210148	0.00235559
a	0.668287	0.0156131	0.0415237	0.267431	0.00714554
i	0.0111947	0.0465422	0.514226	0.0564863	0.371551
b	0.00496089	0.0804683	0.369845	0.0554203	0.489305
h	0.0194481	0.0682897	0.410658	0.177605	0.323999
í	0.00170518	0.0720287	0.386122	0.191644	0.3485
i	0.00355388	0.0355227	0.286934	0.235332	0.438657
k	0.0259928	0.0157821	0.101198	0.159946	0.697081
a	0.00381324	0.0327494	0.211295	0.469556	0.282587
b	0.000502454	0.00438054	0.0397675	0.613791	0.341558
h	0.0654785	0.0293239	0.182631	0.499902	0.222665
á	0.00180079	0.033538	0.0428443	0.554951	0.366866
k	0.00530355	0.039518	0.0929629	0.222615	0.639601
a	0.00970932	0.0371853	0.201556	0.495307	0.256242
b	0.00543078	0.0123046	0.0501399	0.55626	0.375865
h	0.0450147	0.0200714	0.125637	0.703844	0.105433
a	0.00205553	0.032076	0.0236056	0.7931	0.149162
</S>	0.00640174	0.0368822	0.0946927	0.163617	0.698406
