 	la	notabilité	d'	oko	ne	relève	pas	d'	un	trucage	</S>
o	0.895768	0.051199	0.0157845	0.00341029	0.00543552	0.0115238	0.00565615	0.00191325	0.00183855	0.00740045	7.09668e-05
m	0.259427	0.594921	0.0828366	0.0247291	0.00451722	0.00475753	0.00800591	0.00753599	0.00692404	0.00224755	0.00409862
w	0.409216	0.496047	0.0245511	0.0488885	0.00443342	0.00377889	0.00119872	0.00101606	0.000558673	0.000209222	0.0101022
ε	0.020744	0.970198	0.00492944	0.00152123	0.000691779	0.000988931	0.000112286	0.000265708	0.000165822	2.16691e-05	0.000361348
n	0.111733	0.85962	0.0170624	0.00231594	0.00235301	0.000501293	0.000313937	0.00110703	0.00151047	4.69534e-06	0.00347834
έ	0.141115	0.561532	0.0829414	0.0334387	0.0301554	0.0127603	0.0174592	0.0377019	0.0282529	0.00107593	0.053568
b	0.0548027	0.0253175	0.728233	0.0993098	0.0300089	0.00328193	0.00920733	0.0111823	0.00990109	0.000730845	0.0280251
ó	0.653987	0.0419044	0.182635	0.00282532	0.0384641	0.0246406	0.0138319	0.0131098	0.0105584	0.00121484	0.0168281
k	0.303427	0.0104264	0.467703	0.0465134	0.0517091	0.0596458	0.0218437	0.01352	0.0189764	0.000655462	0.00557917
ó	0.0943685	0.000912925	0.166654	0.56138	0.0620336	0.0109926	0.0711857	0.012681	0.00183687	0.00951091	0.00844465
o	0.0166106	0.00371292	0.18305	0.737652	0.0179372	0.00745309	0.0107984	0.00541866	0.00325857	0.00537571	0.00873287
d	0.0434633	0.00112121	0.477349	0.112078	0.239147	0.0343159	0.0542666	0.0121842	0.0155516	0.00227322	0.00825008
í	0.115072	0.00474772	0.0835106	0.364139	0.252751	0.0542481	0.0560451	0.0201121	0.00328545	0.000108557	0.0459802
o	0.0593932	0.00166533	0.0593658	0.0759765	0.313454	0.290251	0.121006	0.0378724	0.0281254	0.000371873	0.0125183
d	0.00540205	0.0031041	0.0220127	0.613976	0.170561	0.0625175	0.0673625	0.0311569	0.0107017	0.00510534	0.0080997
z	0.0024991	0.00369588	0.00485025	0.78253	0.113912	0.0158976	0.0217178	0.020845	0.00709885	0.000364815	0.026589
a	0.0144603	0.0281251	0.0119998	0.843639	0.0754296	0.00491729	0.011922	0.00450691	0.000787357	0.000122805	0.00408982
b	0.00594677	0.00216398	0.0395322	0.253355	0.242684	0.0672919	0.160918	0.0922667	0.0376802	0.00182281	0.0963382
í	0.00552723	0.000256962	0.0380186	0.062458	0.192435	0.236443	0.22145	0.104133	0.0164058	0.0240423	0.0988304
n	0.00231284	0.00014426	0.011333	0.00672436	0.10032	0.482187	0.223543	0.0918623	0.0153472	0.00909957	0.0571263
g	0.00614092	0.00178547	0.00990043	0.00368525	0.142114	0.48473	0.149661	0.0754768	0.00584896	0.000719953	0.119937
ó	0.000943685	0.000908779	0.00335029	0.000850825	0.051893	0.813139	0.0507393	0.0495689	0.00649383	0.000359903	0.021753
r	0.000328727	9.48786e-05	0.0101738	0.00591054	0.0734489	0.347111	0.202506	0.2466	0.0539545	0.00159463	0.0582767
i	0.00103162	0.00282708	0.0157546	0.0109728	0.101772	0.0849515	0.213097	0.296204	0.105526	0.00782044	0.160042
i	0.00246643	0.000250672	0.0165924	0.00218084	0.0657409	0.0681117	0.183754	0.315596	0.19254	0.00541733	0.14735
k	0.00268812	0.000243232	0.00905065	0.00518878	0.0153777	0.00498096	0.0405567	0.142675	0.212225	0.412129	0.154885
a	8.28185e-05	2.29622e-05	0.00114134	0.00247005	0.0031081	0.00258887	0.0151939	0.0404774	0.034131	0.880372	0.0204117
á	0.000219519	1.29544e-05	0.000418634	0.00205709	0.00293113	0.0103346	0.0257938	0.0564074	0.0279236	0.77335	0.100551
</S>	0.00113184	0.000262943	0.00536757	0.00355005	0.015774	0.0106106	0.0166612	0.0936797	0.214681	0.0401415	0.59814
