 	les	notables	et	leurs	assesseurs	sont	dans	le	sanctuaire	</S>
a	0.63639	0.298584	0.0296427	0.0199612	0.00763729	0.00181328	0.00125742	0.00409199	0.000531962	8.98898e-05
m	0.118697	0.779701	0.0335537	0.0143129	0.0156045	0.00219621	0.00867817	0.00650399	0.0198029	0.000949521
w	0.0818685	0.765093	0.0759329	0.0307049	0.0194617	0.0128174	0.00263248	0.000955208	0.000136429	0.0103974
e	0.0164812	0.956562	0.0109477	0.00806378	0.00332214	0.00100391	0.00168914	0.000857826	0.0002551	0.00081748
n	0.22256	0.686581	0.0413153	0.010588	0.0272347	0.00189415	0.00163315	0.000918626	0.000198196	0.0070772
έ	0.145374	0.794031	0.030463	0.00618524	0.0112995	0.00171613	0.00156193	0.000603007	0.000178106	0.00858895
l	0.201395	0.0681406	0.36839	0.154866	0.103787	0.0597985	0.0156328	0.00650477	0.00173902	0.0197459
i	0.109432	0.0325535	0.254735	0.0948936	0.0836332	0.0893128	0.0489173	0.0304238	0.00846293	0.247636
b	0.0727249	0.0289214	0.231837	0.265959	0.241139	0.0684471	0.0273615	0.0110129	0.00175049	0.0508468
é	0.0318705	0.0672528	0.203719	0.390824	0.179602	0.0845986	0.0193409	0.00886794	0.0102641	0.00366055
l	0.0173345	0.0385049	0.139088	0.245244	0.386764	0.0818591	0.0395762	0.00946447	0.00501119	0.0371542
a	0.0070997	0.00578757	0.127499	0.238442	0.38691	0.127665	0.0430648	0.00965709	0.00265387	0.0512202
á	0.00496576	0.00248795	0.135938	0.219868	0.0849639	0.315474	0.180688	0.0355973	0.00313907	0.0168778
d	0.00234007	0.00260941	0.0323718	0.0348688	0.00913349	0.308844	0.496531	0.0787247	0.00438949	0.0301872
i	0.000612357	0.000522346	0.012009	0.0184072	0.00218556	0.177487	0.56377	0.0680065	0.00317747	0.153823
s	0.000979517	0.000429478	0.00588058	0.0141409	0.00134197	0.0874575	0.610646	0.221419	0.0190766	0.0386283
á	0.000945243	0.000667524	0.00536963	0.00907489	0.000381221	0.059389	0.649704	0.146962	0.0148186	0.112688
l	0.0064482	0.00190385	0.00856903	0.0242642	0.00410292	0.0514522	0.203218	0.523765	0.118342	0.0579339
e	0.00320411	0.0025387	0.0184929	0.0153521	0.00264722	0.0582777	0.227068	0.381147	0.171068	0.120204
k	0.000560182	0.000368939	0.00160519	0.00110095	0.00051411	0.0215398	0.049657	0.232866	0.638271	0.0535169
ω	0.00143144	0.00076688	0.00185813	0.00225504	0.00222013	0.020844	0.0509812	0.052137	0.81511	0.0523959
l	2.59674e-05	4.44215e-05	0.000361218	0.00105864	0.000263643	0.00387985	0.0214302	0.0357263	0.911976	0.025234
ώ	0.000405136	0.000929799	0.00261531	0.00213207	0.00405298	0.0212885	0.086285	0.0679496	0.634786	0.179555
l	0.00243274	0.000529871	0.00285089	0.0025323	0.000360118	0.0168267	0.0645503	0.168412	0.312112	0.429392
ó	0.00579196	0.00298482	0.0239284	0.0154721	0.00611104	0.0359388	0.0958687	0.170093	0.316061	0.32775
t	0.00345266	0.000348165	0.00774831	0.00546374	0.000944385	0.00794372	0.0215779	0.113343	0.498003	0.341174
w	0.00209256	0.000736041	0.0111744	0.00907788	0.00518529	0.0213116	0.043923	0.126989	0.640273	0.139237
ε	0.00456767	0.000877276	0.00401171	0.0239973	0.00919922	0.00425578	0.0480775	0.0279425	0.784203	0.0928686
r	0.000485854	0.000242546	0.00128859	0.00261405	0.0015455	0.0054229	0.0266335	0.0455482	0.486289	0.42993
ε	0.00210498	0.00333308	0.00174761	0.000980531	0.000801788	0.00955336	0.0423139	0.0643527	0.406969	0.467843
</S>	0.00768553	0.00131575	0.0115981	0.00475822	0.000814664	0.0243406	0.0379463	0.0939233	0.0435798	0.774038
