 	aujourd'	hui	il	doit	tout	dévoiler	</S>
w	0.594555	0.335143	0.0581263	0.0065873	0.00497258	0.000390511	0.000225931
a	0.6932	0.0859592	0.168123	0.0348923	0.0167051	0.000841705	0.000278952
p	0.588074	0.249548	0.12486	0.00949704	0.0157487	0.00352627	0.00874689
á	0.0422073	0.838979	0.0447007	0.0468172	0.00518039	0.00411211	0.0180037
b	0.0277988	0.824805	0.0676704	0.011	0.0032409	0.0047871	0.0606973
h	0.231793	0.284584	0.300023	0.160023	0.009907	7.10967e-05	0.0135987
a	0.188584	0.453049	0.172476	0.0913907	0.00998098	0.00330566	0.0812148
k	0.0927982	0.0733002	0.596089	0.135091	0.0446251	0.00327628	0.0548204
ω	0.025172	0.0337111	0.356198	0.547937	0.0178276	0.00566202	0.0134926
m	0.0257908	0.0260942	0.262124	0.626801	0.0350171	0.00355165	0.0206217
i	0.21491	0.021103	0.183146	0.169982	0.235085	0.00290264	0.172871
a	0.037243	0.00955041	0.259057	0.211938	0.355352	0.0103691	0.11649
l	0.00813936	0.00737391	0.141568	0.167911	0.439766	0.04947	0.185772
ó	0.00137362	0.000364173	0.030701	0.0290354	0.269282	0.113467	0.555777
í	0.00388104	0.000770467	0.0469109	0.0670512	0.2426	0.545257	0.0935293
p	0.0127196	0.00736454	0.0785285	0.0834633	0.401339	0.253102	0.163483
ώ	0.00952699	0.0831927	0.0883476	0.187696	0.218417	0.346158	0.0666612
ω	0.00177223	0.00369838	0.0251443	0.0651745	0.178816	0.610112	0.115283
y	0.00446156	0.00066158	0.00499301	0.00478256	0.168285	0.310239	0.506577
é	0.00130124	0.00013488	0.00186582	0.00256579	0.148177	0.758666	0.0872891
é	0.00123783	0.000174395	0.00555675	0.00330943	0.0721357	0.62026	0.297326
d	0.00357958	0.00131744	0.0143138	0.0130833	0.104655	0.403894	0.459157
í	0.000680349	4.45622e-05	0.00292139	0.00155639	0.0771284	0.550724	0.366945
l	0.00154212	0.000206641	0.00349616	0.00142657	0.056487	0.446559	0.490282
a	0.00231596	0.00201972	0.0110528	0.0104582	0.0683081	0.200926	0.704919
w	0.00345303	0.000201074	0.00344463	0.00479615	0.0664178	0.650848	0.270839
a	0.0279205	0.20213	0.188233	0.11649	0.151422	0.220615	0.093189
s	0.00364163	0.00106425	0.0112466	0.0148013	0.085148	0.587376	0.296723
o	0.00413199	0.000608205	0.0106776	0.0134823	0.103639	0.472938	0.394522
t	0.0050186	0.000150613	0.00341692	0.00336593	0.0954369	0.404638	0.487973
é	0.0125894	0.00864286	0.0295596	0.0515415	0.13069	0.393949	0.373028
m	0.00101706	0.000410562	0.000939334	0.00401243	0.0249321	0.698099	0.27059
a	0.0219377	0.00296952	0.00992991	0.0115866	0.175254	0.224062	0.55426
</S>	0.0172844	0.00316718	0.020377	0.00979901	0.0669293	0.128009	0.754434
