 	le	ballon	est	rond	</S>
d	0.50289	0.479461	0.0169785	0.000257516	0.000412882
i	0.0900093	0.880666	0.0171077	0.00482458	0.00739253
n	0.128471	0.837515	0.0218259	0.00217882	0.0100093
g	0.160315	0.687336	0.0787726	0.0426043	0.0309716
a	0.216289	0.641718	0.0434505	0.011666	0.0868765
í	0.134625	0.0619778	0.650217	0.00731513	0.145865
d	0.100462	0.0149002	0.745278	0.0601962	0.0791637
i	0.0159609	0.00372477	0.555024	0.174959	0.250331
y	0.0207581	0.0036589	0.280044	0.374845	0.320695
έ	0.00420215	0.0031967	0.0730996	0.841558	0.0779435
r	0.00109225	0.00114238	0.033173	0.795177	0.169415
ε	0.00820026	0.0248048	0.0508106	0.88396	0.0322241
r	0.00605697	0.00365648	0.12693	0.617006	0.24635
ε	0.00585057	0.00994228	0.0625535	0.748231	0.173423
</S>	0.0054156	0.00392479	0.073655	0.466791	0.450214
