 	cette	lampe	éclaire	la	maison	la	nuit	</S>
m	0.398286	0.58424	0.00552154	0.00397002	0.00481781	0.0026772	0.0004112	7.63749e-05
ú	0.0189572	0.97315	0.0037686	0.00177497	0.00029682	0.000576616	2.19331e-05	0.00145402
n	0.0650659	0.929297	0.00199149	0.00278963	5.70742e-05	6.80247e-05	1.52417e-05	0.000716055
d	0.143942	0.105931	0.578385	0.0264608	0.0100571	0.0448484	0.00713784	0.0832384
a	0.720612	0.13734	0.0563317	0.0418838	0.0309485	0.00496032	0.0026194	0.00530442
m	0.312862	0.00845119	0.499176	0.0469398	0.0167801	0.0171267	0.00401543	0.0946488
ú	0.722165	0.103036	0.111034	0.0284657	0.00252881	0.00927303	0.000395916	0.0231017
m	0.0900837	0.0341573	0.619302	0.159198	0.0354237	0.00583899	0.00109491	0.0549014
ó	0.130676	0.48902	0.193514	0.147566	0.00653377	0.00328179	8.09932e-05	0.0293267
o	0.430717	0.0716936	0.224536	0.176687	0.0394717	0.0153228	0.008368	0.033204
y	0.00773479	0.0023784	0.808296	0.119998	0.0407249	0.00426335	0.00496656	0.0116378
í	0.0919824	0.00503078	0.396782	0.234996	0.207028	0.021953	0.00302607	0.0392015
á	0.0566268	0.0027362	0.212772	0.258379	0.208245	0.0332709	0.00597944	0.221991
n	0.00437424	0.000262054	0.247129	0.225428	0.347896	0.142977	0.0032836	0.0286504
d	0.00286404	0.00105464	0.0240865	0.142325	0.793928	0.0253183	0.00194324	0.00848079
é	0.000787816	0.00103381	0.0112451	0.0579966	0.897377	0.017213	0.00235758	0.0119887
e	0.0025688	0.000268518	0.131431	0.177564	0.198053	0.293807	0.093435	0.102872
k	0.00651173	0.000100485	0.168479	0.0633968	0.0326769	0.54975	0.0612297	0.117855
y	0.00265346	0.000679225	0.0549224	0.0625326	0.0133844	0.190119	0.414003	0.261706
έ	0.00114902	0.000150906	0.0184297	0.0490286	0.00902907	0.0951987	0.705985	0.121029
n	0.000545402	0.000181552	0.0564732	0.101212	0.0281968	0.161866	0.566341	0.0851837
έ	0.000962825	0.00057319	0.0274101	0.0730311	0.162078	0.245017	0.376723	0.114204
n	0.00366184	0.000113528	0.0181592	0.0584539	0.041998	0.473856	0.046884	0.356873
έ	0.00567527	0.00259671	0.0132339	0.0606252	0.179534	0.172338	0.166238	0.399759
l	0.000241511	1.32319e-05	0.0242483	0.0195417	0.0101527	0.165575	0.0669769	0.71325
a	0.00352896	5.38353e-05	0.105342	0.0283399	0.00679738	0.116213	0.229883	0.509843
k	0.00178572	6.66437e-05	0.0204999	0.0369227	0.00595991	0.32039	0.197377	0.416998
ó	6.94059e-05	8.59068e-05	0.00806865	0.00316257	0.000968496	0.0509147	0.89797	0.0387597
l	5.09893e-05	1.34749e-05	0.00238103	0.00874818	0.00121888	0.0147436	0.841479	0.131365
i	0.000459033	0.000299466	0.00413538	0.0121978	0.00293346	0.0810591	0.597608	0.301307
</S>	0.00420907	0.000291582	0.0177249	0.0244985	0.00784043	0.14692	0.148977	0.649539
