 	de	nos	jours	les	garçons	et	les	filles	étudient	dans	une	même	école	</S>
p	0.425055	0.487902	0.0260262	0.0192254	0.0145156	0.00913772	0.00578361	0.00730559	0.00144518	0.00142597	0.000667595	0.00127378	0.000194141	4.277e-05
á	0.165529	0.715511	0.0584677	0.00806986	0.00671991	0.00790155	0.00643224	0.00826705	0.00173476	0.0026098	0.00532193	0.0060491	0.00603944	0.00134714
r	0.0545725	0.531895	0.0885904	0.0580483	0.0478833	0.0627556	0.059552	0.0060281	0.0107435	0.0200073	0.0218889	0.00173438	0.00126403	0.0350364
á	0.286453	0.586593	0.0346853	0.012849	0.00748128	0.0152133	0.0180326	0.00686101	0.000568788	0.00588575	0.00333203	0.00102013	0.00279064	0.0182339
a	0.313889	0.351145	0.141789	0.0442725	0.016026	0.0181917	0.013939	0.00486214	0.00768309	0.0267521	0.0103783	0.00813188	0.00147426	0.0414666
d	0.224659	0.177579	0.239521	0.0748657	0.027329	0.0375051	0.0371302	0.0133946	0.00554752	0.0335563	0.0249819	0.0226286	0.0103068	0.0709963
í	0.062293	0.0986088	0.141667	0.127432	0.00655701	0.0426323	0.0648079	0.013488	0.0176698	0.0358929	0.0214811	0.0123206	0.00332217	0.351827
a	0.0329077	0.0546233	0.226642	0.226232	0.0791579	0.0604168	0.0505669	0.0156668	0.00773151	0.0506837	0.03333	0.0266739	0.00813055	0.127237
b	0.0194913	0.0516834	0.379899	0.172681	0.0827826	0.066058	0.0492215	0.0233329	0.0172433	0.0262963	0.0342357	0.0178791	0.0100564	0.0491393
a	0.0024581	0.0220266	0.38258	0.115289	0.233516	0.0778744	0.0466018	0.0331073	0.0209233	0.016762	0.0151037	0.00870446	0.00875121	0.0163017
a	0.00562886	0.0232453	0.236311	0.177912	0.240124	0.0555203	0.0314937	0.0137559	0.0214578	0.0182527	0.0127234	0.00771247	0.0117282	0.144135
l	0.0106152	0.00662807	0.0383645	0.331748	0.26229	0.141676	0.0661405	0.0337654	0.0208342	0.0320928	0.0109362	0.0114582	0.00344765	0.0300036
a	0.00998353	0.011937	0.0522063	0.0831887	0.0433132	0.213156	0.102067	0.0390805	0.0151241	0.08224	0.0494994	0.0325913	0.0166886	0.248924
y	0.00664051	0.00529903	0.0240155	0.181419	0.136013	0.216569	0.0839357	0.135777	0.0727858	0.0372344	0.0131769	0.0138489	0.019803	0.0534835
ú	0.0137744	0.00655321	0.0148117	0.0924366	0.0163668	0.111918	0.0929396	0.256738	0.289708	0.03964	0.0247408	0.00934026	0.00620965	0.0248225
r	0.00742111	0.00154109	0.00714991	0.10573	0.0171858	0.1303	0.26143	0.173104	0.0857331	0.0594501	0.0486278	0.0161133	0.00395967	0.0822543
u	0.00821217	0.00404498	0.0164026	0.166841	0.0527189	0.121655	0.201331	0.189807	0.140479	0.0329055	0.0253778	0.010154	0.00529924	0.0247726
b	0.00241253	0.000938611	0.00752026	0.0802474	0.0253777	0.274356	0.18084	0.125752	0.0483238	0.166028	0.0345394	0.0182531	0.00576827	0.0296432
á	0.00553497	0.0144853	0.0254471	0.0704878	0.374771	0.174112	0.059474	0.0616067	0.0517742	0.0770959	0.0284893	0.0165391	0.0167775	0.0234054
a	0.00243251	0.00510969	0.00552084	0.0605599	0.0924287	0.163475	0.102834	0.0707359	0.0781043	0.162765	0.0729337	0.0375985	0.0329413	0.112562
k	0.00108477	0.00142408	0.00578627	0.0087356	0.00363249	0.0652311	0.11514	0.0710244	0.0377085	0.388436	0.151684	0.102133	0.0166711	0.0313077
y	0.000314944	0.00331148	0.059759	0.00934662	0.014044	0.0848183	0.188149	0.147654	0.0170705	0.0828293	0.207365	0.0919508	0.056845	0.0365422
á	0.000695269	0.00189753	0.0101631	0.0103742	0.0160048	0.0690426	0.140805	0.14866	0.0415161	0.0978858	0.267305	0.0701969	0.0734614	0.0519919
l	0.000540625	0.000944237	0.00522933	0.0110725	0.0239789	0.0826707	0.078009	0.0686891	0.0337336	0.232387	0.215892	0.0784315	0.032155	0.136267
e	0.000482513	0.00109108	0.0112138	0.0126649	0.0124955	0.0575846	0.0828579	0.0556124	0.00579258	0.159113	0.153291	0.0646248	0.144632	0.238544
k	0.000453926	0.000290338	0.00238082	0.00395666	0.0019442	0.0183336	0.0340951	0.0744583	0.0261908	0.166551	0.153693	0.152762	0.282005	0.0828854
ώ	0.000353325	0.00220059	0.0121757	0.00841605	0.0126352	0.0493306	0.0714275	0.0632518	0.00382882	0.13737	0.224123	0.139007	0.19298	0.0829014
ώ	2.89576e-05	7.45213e-05	0.0016791	0.00214801	0.0035716	0.00882361	0.0114456	0.0470449	0.00274595	0.0391125	0.0959335	0.132088	0.604109	0.0511941
l	0.00169867	0.000620512	0.00272719	0.0064232	0.00222012	0.0163299	0.0330703	0.0221865	0.0037644	0.18785	0.131088	0.253002	0.157805	0.181214
i	0.00339082	0.00209764	0.0113722	0.00626394	0.0015692	0.0219325	0.0467748	0.0138502	0.00178922	0.0833925	0.213867	0.164061	0.116373	0.313266
n	0.00218096	0.00163044	0.00210023	0.0147192	0.00337378	0.0172791	0.0490929	0.0612552	0.0042147	0.0684821	0.0742562	0.137881	0.264277	0.299257
d	0.0165701	0.00609348	0.00327187	0.0114103	0.00318951	0.00833625	0.0296027	0.0516589	0.0649191	0.0232376	0.0775007	0.0841895	0.393866	0.226154
é	0.00216614	0.00121212	0.00143666	0.00328195	0.000969301	0.0040464	0.0119594	0.0336048	0.0364081	0.0179943	0.0672408	0.0556565	0.314819	0.449204
e	4.99284e-05	7.22868e-05	0.0006172	0.00105392	0.000243802	0.00451875	0.0198996	0.050762	0.00710297	0.0255475	0.0905335	0.0771378	0.240308	0.482152
e	0.00148962	0.000464826	0.00362439	0.00404817	0.000587951	0.00782751	0.0172704	0.0119028	0.00214583	0.104846	0.120197	0.257678	0.115842	0.352076
p	0.00350252	0.00421728	0.0173413	0.00726492	0.00124742	0.0150486	0.0393544	0.00993272	0.00182373	0.0572163	0.161291	0.287042	0.121954	0.272763
ω	0.000199528	0.00101293	0.0132201	0.00514532	0.00394037	0.0176649	0.0326686	0.0251466	0.000759051	0.0329459	0.24333	0.306246	0.199863	0.117858
ω	0.000179012	0.000129143	0.00240607	0.00106693	0.000993778	0.00410682	0.00866716	0.0259699	0.000720308	0.0341517	0.144644	0.133817	0.438354	0.204795
</S>	0.00498699	0.00103779	0.00495701	0.0116563	0.00291561	0.0104093	0.0265509	0.0100376	0.00172187	0.0676287	0.118448	0.237809	0.256752	0.245088
