 	un	cri	de	malheur	provient	du	fond	du	village	</S>
m	0.872519	0.102231	0.00797798	0.00617223	0.000283546	0.000364887	0.00165148	0.0079559	0.000606342	0.000237402
w	0.208117	0.372806	0.0906443	0.0495878	0.202941	0.00683796	0.0187078	0.00953958	0.000310278	0.0405074
á	0.425002	0.0919819	0.0431612	0.169171	0.264381	0.00208562	0.0025911	0.000367904	0.000344496	0.000913767
á	0.607634	0.0525862	0.167161	0.0404365	0.0179178	0.00277626	0.00300588	0.00577611	0.000282272	0.102424
n	0.130137	0.37815	0.320832	0.0264334	0.0344389	0.00869588	0.00517583	0.0468799	0.000163344	0.0490933
g	0.0481002	0.38739	0.208094	0.0222693	0.0167814	0.00992639	0.0806885	0.0762664	8.69954e-05	0.150397
é	0.0104064	0.938741	0.0153921	0.0213451	0.00663689	0.000575326	0.00498109	0.000603369	7.78792e-06	0.001311
b	0.0383441	0.162614	0.355741	0.170318	0.09006	0.0210887	0.0702291	0.0258477	0.000846867	0.0649108
ó	0.0363759	0.0166243	0.372573	0.229966	0.0460435	0.0377538	0.0301049	0.0311061	0.00111914	0.198333
m	0.0352271	0.0230122	0.457324	0.178394	0.0920396	0.0608113	0.0207065	0.0633075	0.00431433	0.0648637
ó	0.187588	0.0283801	0.178559	0.140564	0.412566	0.0305638	0.00162032	0.0106457	0.000303035	0.00921071
o	0.0854469	0.0069512	0.195902	0.341433	0.252814	0.0701555	0.0106012	0.0152826	0.000585602	0.0208286
w	0.0033299	0.000844436	0.0324031	0.0764142	0.647069	0.215368	0.0146828	0.00235942	0.00138292	0.00614668
u	0.00927277	0.000627628	0.0729832	0.340576	0.14136	0.335068	0.0299071	0.00483406	0.00624625	0.0591251
r	0.016548	0.0018307	0.101849	0.188264	0.0455505	0.322148	0.035648	0.0250924	0.0314409	0.231628
á	0.00683397	0.00250194	0.173714	0.0873584	0.018854	0.245662	0.191383	0.11959	0.0100135	0.14409
i	0.00656814	0.00497862	0.268128	0.0734441	0.0101962	0.127323	0.088566	0.384108	0.0208092	0.0158786
s	0.00179749	0.000606972	0.00957522	0.0271909	0.0114022	0.497869	0.203612	0.069288	0.0598253	0.118834
ú	0.000973321	0.000962375	0.0202119	0.0195321	0.0798841	0.454654	0.314894	0.0403357	0.00712536	0.0614277
u	0.000296821	0.000158392	0.00795763	0.00927912	0.0619776	0.479625	0.243308	0.101623	0.0115056	0.0842694
l	0.00162932	0.000178958	0.0130374	0.00747088	0.00205238	0.115	0.156805	0.529643	0.0304619	0.143722
á	0.00227676	0.000714354	0.012401	0.00388725	0.0031527	0.104826	0.122569	0.126238	0.11351	0.510425
p	0.00655414	0.000842051	0.0317281	0.0219286	0.00130199	0.0150441	0.0582581	0.449247	0.304436	0.11066
o	0.000230252	2.26174e-05	0.000246422	0.00128566	3.1675e-05	0.00182318	0.00121124	0.00429041	0.982395	0.00846348
o	4.99881e-05	2.63403e-05	0.000119194	0.000522645	0.000121294	0.00355663	0.00190571	0.00569784	0.968691	0.0193099
p	0.000873589	0.000121203	0.00483033	0.000710428	0.00132871	0.0124221	0.142371	0.385223	0.0320867	0.420033
é	0.00451102	0.000401678	0.0126237	0.0055879	0.000227318	0.0127448	0.0122952	0.0856524	0.609536	0.25642
</S>	0.000264939	8.04812e-05	0.00128756	0.00186099	0.000172184	0.00656182	0.0180098	0.0915589	0.406069	0.474134
