 	le	forgeron	polit	le	manche	de	la	houe	</S>
o	0.952042	0.0474736	0.000113068	9.60967e-05	7.2692e-05	8.24955e-05	9.88792e-05	1.63583e-05	4.4885e-06
k	0.0165882	0.980393	0.00261938	7.30758e-05	5.00806e-05	4.89782e-05	2.75118e-05	8.13878e-05	0.000118147
u	0.0032875	0.996059	0.000465882	1.32524e-05	1.57268e-05	1.5436e-05	1.93769e-05	0.000100475	2.37035e-05
b	0.00492025	0.991708	0.00200171	0.000284286	0.000177147	0.000156263	8.34507e-05	0.000116896	0.000551552
h	0.640679	0.233968	0.026061	0.018204	0.00555195	0.023582	0.0236465	0.0162359	0.012072
a	0.649028	0.102773	0.118514	0.0523706	0.0163332	0.0118717	0.00318198	0.00172716	0.0441995
l	0.327125	0.010781	0.270091	0.234591	0.0345536	0.0322915	0.0228774	0.00979575	0.0578938
á	0.104339	0.000858544	0.131656	0.107294	0.0850051	0.0698981	0.0280057	0.0188978	0.454045
a	0.439452	0.00112766	0.162069	0.26084	0.0715863	0.0261229	0.0148501	0.00625084	0.0177017
b	0.00764875	0.0114097	0.714169	0.213257	0.0383603	0.00433673	0.00123257	0.00167324	0.00791286
h	0.00185561	0.00798832	0.88293	0.0932113	0.00638489	0.00247366	0.000790329	0.000941628	0.00342402
ε	0.00140426	0.00346183	0.940728	0.0462705	0.00301421	0.00190432	0.000430982	0.000978557	0.00180769
n	0.0144752	0.000279691	0.489753	0.341201	0.0249678	0.0745336	0.0153955	0.00598973	0.0334045
g	0.0656733	0.00163375	0.135322	0.263601	0.28959	0.171562	0.027401	0.00815861	0.0370583
έ	0.374573	0.00174766	0.0698032	0.116586	0.196382	0.114624	0.0465295	0.0210818	0.0586731
p	0.00146651	6.86233e-05	0.00451232	0.146511	0.441141	0.310571	0.0716851	0.01623	0.00781513
á	0.00695163	0.000283459	0.00254534	0.0608817	0.748547	0.132406	0.0227949	0.0126734	0.0129171
n	0.000713786	0.00012477	0.00326835	0.0922033	0.760169	0.0796952	0.0101338	0.00707699	0.0466147
d	0.000809547	0.00265526	0.00614232	0.0683404	0.622509	0.143786	0.0340438	0.0161885	0.105526
e	0.00106974	0.00171255	0.00697635	0.0390019	0.426602	0.225392	0.0700164	0.0360735	0.193155
y	0.000823943	0.000104488	0.00454012	0.0635322	0.148176	0.360638	0.210214	0.130665	0.0813053
é	0.0125326	0.00136428	0.00437588	0.0288237	0.102464	0.167321	0.237831	0.344643	0.100645
s	0.00123519	0.000196675	0.000324132	0.0054882	0.020275	0.0664937	0.185554	0.660352	0.0600803
έ	0.00040022	8.6328e-05	0.000300908	0.00168221	0.00930762	0.0118949	0.0458375	0.893719	0.0367716
έ	0.000875138	2.95108e-05	0.0002944	0.00350115	0.0105875	0.0277791	0.059501	0.725676	0.171756
</S>	0.00193814	8.70236e-05	0.00141424	0.00787451	0.00968158	0.0499123	0.14267	0.394045	0.392378
