 	si	tu	penses	trop	à	ta	mère	tu	vas	maigrir	</S>
w	0.930532	0.0507363	0.00137671	0.00734577	0.00482954	0.00345938	8.65438e-05	0.00109272	0.000355844	0.000142202	4.26576e-05
á	0.665757	0.267494	0.0249282	0.0174421	0.0116885	0.00922278	0.000207794	0.0021277	0.000215157	0.000885082	3.19736e-05
á	0.439042	0.137917	0.014681	0.0616094	0.147808	0.0256985	0.0057205	0.0424689	0.0166883	0.00467823	0.103688
n	0.391285	0.332787	0.0279192	0.0206855	0.0323975	0.0213072	0.0316784	0.0461287	0.0264803	0.00601293	0.0633183
ω	0.144604	0.457688	0.0271092	0.00776397	0.0605598	0.0843643	0.0330691	0.144173	0.0047428	0.000137173	0.0357884
o	0.0752611	0.727658	0.0513562	0.0207679	0.0251751	0.0247273	0.027859	0.0273282	0.00262966	0.000204598	0.0170333
p	0.0494138	0.342742	0.533476	0.0377719	0.00960236	0.000778257	0.000441853	0.00626152	0.00588071	0.00584781	0.00778457
é	0.0247548	0.174423	0.386728	0.232249	0.0420048	0.00205474	0.00184534	0.0178604	0.0255416	0.0180168	0.074521
n	0.151402	0.307319	0.104169	0.147162	0.0643369	0.0193349	0.00223522	0.0464208	0.0392972	0.0160093	0.102315
d	0.17115	0.259701	0.168802	0.0661786	0.050382	0.0242661	0.00113609	0.107571	0.0440153	0.0117022	0.0950962
í	0.242522	0.270532	0.145362	0.0526262	0.0400077	0.0241477	0.0104128	0.0476778	0.0206859	0.00429685	0.141729
o	0.0777293	0.27125	0.180274	0.171627	0.131816	0.0534059	0.0108029	0.0442955	0.0260655	0.00240788	0.0303264
b	0.00666812	0.0486807	0.547991	0.366783	0.0111163	0.000323135	0.00306995	0.00275876	0.00348033	0.00623572	0.00289307
a	0.000101538	0.00124305	0.975567	0.0195141	0.00207179	0.000236663	1.66323e-05	0.000547568	0.000246826	0.000175108	0.000280118
r	0.000680284	0.0156305	0.805481	0.131539	0.00923385	0.000476361	0.00044028	0.00754853	0.00305256	0.00214304	0.023774
á	0.00732836	0.051483	0.330069	0.398265	0.0445438	0.00265677	0.000535302	0.0160207	0.0125361	0.0101571	0.126405
á	0.00407481	0.0475987	0.0688221	0.347484	0.309199	0.0908783	0.0243051	0.0646098	0.0178049	0.00114491	0.0240784
n	0.0150124	0.0259468	0.0720503	0.372756	0.212094	0.0104208	0.125436	0.0544946	0.0833313	0.00822758	0.020231
g	0.00223393	0.0413719	0.00925086	0.0622117	0.0879342	0.0855795	0.616831	0.0575447	0.00809868	0.000785483	0.028158
ó	0.000198819	0.0227159	0.0136757	0.083824	0.0723917	0.0572379	0.687035	0.0524027	0.0060491	0.00131688	0.00315221
o	7.18383e-05	0.0035925	0.00553411	0.0354763	0.0255519	0.0128577	0.877552	0.0210718	0.00496977	0.00305282	0.0102689
n	0.000968488	0.00525798	0.0048335	0.0476323	0.200227	0.381628	0.0748138	0.151283	0.116468	0.00419665	0.0126907
ω	0.00418561	0.019084	0.0209927	0.11061	0.272701	0.186551	0.0413475	0.104513	0.110745	0.0119928	0.117278
l	0.000307126	0.00318407	0.00459671	0.0806376	0.301154	0.158716	0.192556	0.0666154	0.0955589	0.029549	0.0671254
ó	0.00140241	0.00709007	0.0094807	0.0800678	0.1999	0.0276372	0.13941	0.135599	0.215753	0.0192283	0.164432
o	0.00030188	0.00290611	0.00716328	0.0788951	0.210362	0.065308	0.321885	0.066889	0.145212	0.0399507	0.0611267
t	0.00109318	0.00864394	0.0210089	0.0386162	0.0560695	0.0103783	0.02075	0.148306	0.283527	0.289635	0.121972
u	0.000253644	0.000699194	0.0188106	0.0579748	0.0428574	0.00085221	0.00105173	0.0270374	0.221292	0.554876	0.0742952
n	0.000132869	0.000650138	0.00326796	0.0188078	0.0308013	0.00496978	0.000781125	0.0201301	0.107237	0.479942	0.33328
g	5.13151e-05	0.000602357	0.00206502	0.00992924	0.0356253	0.0108877	0.00061002	0.0320155	0.0476291	0.683611	0.176974
a	0.000461264	0.00401052	0.0103261	0.0329709	0.128468	0.186369	0.00855786	0.261474	0.0339151	0.262027	0.07142
</S>	0.000159097	0.0010683	0.000885209	0.00448281	0.0328248	0.0509381	0.00534481	0.139957	0.160045	0.0848175	0.519477
