 	vous	dansez	mal	</S>
b	0.943568	0.0281146	0.0215168	0.00680105
í	0.967714	0.0122215	0.0151261	0.00493873
n	0.995789	0.00178807	0.00114585	0.00127713
í	0.991463	0.000795472	0.00397522	0.00376649
l	0.149718	0.168474	0.17267	0.509138
e	0.0402151	0.0814248	0.0695428	0.808817
d	0.0109938	0.740668	0.0894946	0.158844
í	0.0819678	0.656514	0.0809927	0.180526
o	0.03998	0.334035	0.294911	0.331074
b	0.00253898	0.0804789	0.68447	0.232512
h	0.00106097	0.189786	0.558808	0.250345
e	0.00238595	0.136701	0.630564	0.230349
r	0.0182541	0.0798413	0.244939	0.656966
á	0.0106852	0.0352417	0.312105	0.641968
o	0.0148542	0.06013	0.465482	0.459534
s	0.00699051	0.0247816	0.755403	0.212825
é	0.00154935	0.0251734	0.649407	0.32387
a	0.000980031	0.0154578	0.293954	0.689608
k	0.0056926	0.0185929	0.27059	0.705125
a	0.0290121	0.100628	0.353563	0.516797
á	0.0186157	0.010788	0.218384	0.752212
</S>	0.0150068	0.0317687	0.176432	0.776793
