 	les	résidus	des	noix	de	palmes	sèchent	au	soleil	</S>
m	0.81359	0.118667	0.052215	0.0101069	0.00379559	0.000404566	0.000413725	0.000745877	5.67266e-05	4.47681e-06
á	0.576288	0.23564	0.111434	0.0650359	0.0051815	0.002699	0.000167155	0.000363424	0.000756285	0.00243512
m	0.338166	0.622913	0.0294944	0.00442258	0.00091383	0.000767735	3.87107e-05	0.000124825	0.00260594	0.000552729
b	0.0960757	0.16022	0.34084	0.368335	0.0114912	0.00282144	9.28462e-05	0.00045931	0.0125025	0.00716251
í	0.0890567	0.158103	0.168519	0.528457	0.00775945	0.0036093	0.00036916	0.000478059	0.035886	0.00776279
m	0.283799	0.225654	0.269786	0.18145	0.0116207	0.00111257	0.000693336	0.00200294	0.00214074	0.0217405
á	0.131928	0.0385388	0.324559	0.467391	0.0166672	0.00343909	4.32421e-05	0.0018739	0.011642	0.00391795
m	0.0931286	0.0381124	0.52409	0.201652	0.106574	0.0186891	0.00114239	0.00279467	0.000448979	0.0133676
b	0.100038	0.0117831	0.234234	0.523019	0.058327	0.0501812	2.92395e-05	0.00127251	0.0184241	0.00269104
í	0.010189	0.00404289	0.0254325	0.939205	0.00923035	0.00376182	9.3438e-05	0.000148233	0.00586184	0.00203513
a	0.0190964	0.00491737	0.0326291	0.922454	0.0120072	0.00202623	0.00118925	0.000287186	0.000873414	0.00452009
á	0.00704602	0.00364011	0.188614	0.146742	0.42598	0.187661	0.0136308	0.0124622	0.00123992	0.0129832
d	0.00182901	0.0119023	0.0284567	0.0213419	0.279839	0.500298	0.100055	0.0286867	0.00087995	0.0267119
i	0.00202925	0.00211679	0.0141117	0.0292605	0.281343	0.321103	0.0193287	0.0189877	0.00427064	0.307449
ó	0.00169613	0.000597663	0.0242636	0.0508458	0.216403	0.285937	0.206958	0.130624	0.00402987	0.0786447
m	0.00834309	0.00333015	0.00750787	0.0169657	0.0563377	0.142666	0.257114	0.346238	0.0839447	0.0775524
w	0.00896209	0.00375586	0.00920753	0.0228371	0.0067106	0.0265898	0.00316575	0.0373763	0.817128	0.0642668
é	0.00161903	0.000736926	0.000746546	0.0218315	0.000830569	0.000767615	0.00125039	0.000808258	0.966934	0.00447512
s	0.00691799	0.00106346	0.012019	0.0264159	0.0350552	0.0394513	0.222461	0.482011	0.119056	0.0555489
é	0.000748105	0.00147936	0.00427091	0.0108137	0.0172204	0.0383858	0.00312185	0.0800724	0.734773	0.109114
</S>	0.000837408	0.00169365	0.00666148	0.00389603	0.0375704	0.0248458	0.0566355	0.34709	0.0180102	0.50276
