 	cette	femme	a	fait	un	feu	pour	préparer	le	manioc	</S>
o	0.943175	0.0420381	0.00345785	0.00153	0.00225566	0.00204909	0.00388332	0.00055108	0.000819754	6.93337e-05	0.00017056
y	0.168703	0.798867	0.0201284	0.00841722	0.00144613	0.000261707	0.00051695	0.000324761	0.000462798	0.000208233	0.000664545
ú	0.910278	0.085088	0.00157948	0.00137402	0.00118749	9.45542e-05	7.53036e-05	0.000113407	6.69007e-05	2.76833e-05	0.000114814
r	0.98425	0.00321124	0.000855675	0.00110475	0.0044272	0.000530787	0.00113966	0.000964627	0.0017842	0.000173178	0.00155852
u	0.913315	0.0369174	0.0209294	0.00820941	0.00540294	0.00137066	0.00359989	0.00286122	0.00157871	0.000592733	0.00522311
w	0.200827	0.0834819	0.519825	0.0813716	0.0293597	0.00664333	0.0158879	0.0136625	0.0113362	0.00628734	0.0313178
ó	0.163936	0.0512286	0.399286	0.144805	0.0499424	0.0156327	0.0427342	0.0418888	0.026389	0.00593381	0.0582229
á	0.00573245	0.00225526	0.74869	0.121296	0.0452194	0.00639176	0.0205944	0.014237	0.0126326	0.000652706	0.0222986
m	0.000818811	0.00075942	0.137955	0.681994	0.0672233	0.00992115	0.0137493	0.0300696	0.00616845	0.0182902	0.03305
i	0.00813039	0.00337703	0.292421	0.410664	0.173074	0.0667316	0.0156244	0.0124953	0.00492655	0.000623038	0.0119332
p	0.00362569	0.000526013	0.0275728	0.798547	0.134072	0.0166675	0.00575328	0.00462601	0.00133969	0.00194054	0.00533017
f	0.000534849	2.60001e-05	0.0148843	0.847482	0.110217	0.00212397	0.00566158	0.00532759	0.000658236	0.0032264	0.00985773
u	0.00096448	9.13335e-05	0.0115469	0.720317	0.195151	0.00265763	0.0217099	0.015505	0.00166077	0.00304378	0.0273527
r	0.00293689	8.99768e-05	0.011141	0.149756	0.679633	0.0400889	0.0564681	0.0105789	0.00903331	0.00656899	0.0337051
á	0.00911332	8.14123e-05	0.0208582	0.244617	0.57142	0.0288025	0.0504777	0.0136994	0.0133925	0.000870149	0.0466671
m	0.00685239	0.000789988	0.0304808	0.051305	0.40997	0.272839	0.197518	0.0137461	0.0103895	0.00228863	0.0038207
í	0.000259925	0.000206955	0.000221769	0.000715196	0.0109698	0.959065	0.0140378	0.00616452	0.00224952	5.52342e-05	0.00605397
á	0.000507579	0.000159723	0.00214992	0.00176591	0.0261945	0.752257	0.111312	0.08602	0.00503843	0.0118198	0.00277519
m	0.000595914	0.000319684	0.00942509	0.0120211	0.0338586	0.12456	0.482614	0.231765	0.0557328	0.019784	0.0293245
í	0.00239541	0.00086406	0.0026236	0.00274269	0.0212635	0.557599	0.103473	0.1644	0.050871	0.00479619	0.0889708
l	0.00103283	0.000108576	0.00282074	0.00249551	0.0254782	0.128972	0.150027	0.513963	0.0528147	0.0952742	0.0270124
á	0.000315429	7.49763e-05	0.00194036	0.00690767	0.0107222	0.0120777	0.0813728	0.583217	0.0849567	0.0836483	0.134767
m	0.00241187	9.40678e-05	0.00585661	0.00322516	0.0161936	0.0107382	0.132757	0.404262	0.268185	0.0823763	0.0739
b	0.00510848	0.000438849	0.00144072	0.00177743	0.0293003	0.146361	0.0762277	0.409163	0.182139	0.00906368	0.13898
a	0.000236246	5.79562e-05	0.000418668	0.00227966	0.0289615	0.24197	0.0900789	0.465091	0.0487605	0.0140124	0.108133
l	0.000311652	5.286e-06	0.00035788	0.00231602	0.0127546	0.00456607	0.142999	0.409261	0.097534	0.170944	0.158952
í	0.0012928	4.86068e-05	0.0021471	0.0206259	0.0151885	0.00800727	0.0642676	0.337975	0.10641	0.109516	0.334521
k	0.00119912	6.13046e-05	0.00211756	0.00178209	0.00716511	0.00626283	0.0732066	0.196038	0.311939	0.141013	0.259215
ώ	2.91473e-05	2.21716e-06	0.000171523	0.00199983	0.0013855	6.39043e-05	0.0210637	0.0757102	0.0315239	0.794821	0.0732297
ώ	0.00012925	1.56274e-06	2.9338e-05	0.000167809	0.000346308	0.000112518	0.00574447	0.0130825	0.0169008	0.938848	0.0246374
</S>	0.0006714	1.10761e-05	0.0020901	0.00201226	0.00395481	0.00251466	0.0371888	0.0822164	0.292712	0.191631	0.384997
