 	les	chauves-	souris	ne	sortent	pas	le	jour	</S>
m	0.849362	0.118324	0.0176845	0.0049064	0.00163401	0.00413355	0.00303778	0.000848987	6.91253e-05
b	0.18985	0.44104	0.0985477	0.0542829	0.0323398	0.0275976	0.0598766	0.00286665	0.0935986
a	0.454508	0.25354	0.239965	0.0204274	0.0176887	0.00260961	0.0057129	0.00379693	0.00175109
p	0.160382	0.721924	0.0538918	0.0121123	0.0124817	0.00632506	0.014986	0.0111471	0.00675053
f	0.0333295	0.939828	0.00469389	0.00406643	0.00143572	0.00288925	0.000741569	0.00203421	0.0109816
u	0.0458086	0.940604	0.00419424	0.00152107	0.00127509	0.00200837	0.00121654	0.000976927	0.00239571
n	0.0652168	0.874849	0.0159775	0.0049439	0.00375226	0.00502203	0.00346633	0.00381244	0.0229601
g	0.538921	0.385621	0.0151299	0.0047788	0.00652981	0.00868251	0.003626	0.00238072	0.0343304
ú	0.0806122	0.825261	0.0168956	0.00807241	0.00830488	0.012636	0.00408098	0.00759122	0.0365459
s	0.135607	0.287535	0.322306	0.104815	0.0425797	0.0266452	0.0144403	0.00309241	0.0629796
u	0.340019	0.108342	0.312317	0.100116	0.0578347	0.0165933	0.0111807	0.00395954	0.049638
é	0.304345	0.0188267	0.409571	0.154939	0.0659818	0.0129791	0.018009	0.00370038	0.0116473
d	0.0502308	0.0170998	0.282345	0.389064	0.111647	0.0563296	0.0282834	0.0112813	0.0537194
i	0.00864979	0.00519238	0.205135	0.318862	0.139442	0.119174	0.0502589	0.0136073	0.139679
í	0.0185416	0.00519658	0.29765	0.337603	0.129021	0.106454	0.055043	0.0199962	0.0304947
l	0.00789392	0.00344953	0.0279297	0.165846	0.354409	0.212758	0.127685	0.0458087	0.0542197
a	0.00669812	0.00500057	0.0287782	0.100738	0.170203	0.181078	0.120964	0.0770415	0.309499
m	0.0101448	0.00342662	0.0229507	0.113113	0.317113	0.158691	0.13599	0.131782	0.106788
w	0.0174002	0.00420581	0.160865	0.182511	0.207981	0.0493759	0.117273	0.0707881	0.1896
é	0.0410482	0.0139791	0.0696622	0.11221	0.187185	0.0661589	0.0473578	0.188089	0.27431
s	0.0678796	0.00224647	0.0406963	0.0702361	0.180877	0.151021	0.269097	0.0938184	0.124127
é	0.0274881	0.0183652	0.0152002	0.0434768	0.28603	0.130636	0.108036	0.0772469	0.293521
o	0.00309494	0.00176683	0.00936914	0.0557681	0.158718	0.22333	0.327302	0.0813637	0.139287
p	0.00296062	0.00570432	0.0160171	0.0239277	0.0342811	0.152029	0.214327	0.477484	0.0732693
f	0.000755915	0.0291122	0.00911358	0.0208942	0.0168643	0.21671	0.0957917	0.451431	0.159327
u	0.0117176	0.0768684	0.00679131	0.0154511	0.0254374	0.283188	0.150635	0.232538	0.197373
a	0.0181943	0.00802784	0.0095964	0.0232041	0.0457515	0.165881	0.143277	0.199026	0.387041
k	0.00333232	0.00160342	0.00498636	0.0104267	0.033604	0.161816	0.275016	0.138436	0.370778
a	0.00186904	0.00390059	0.00186762	0.0074066	0.01186	0.183582	0.108024	0.420485	0.261006
á	0.00166899	0.00609074	0.00109361	0.00349269	0.00889733	0.0795282	0.0344121	0.275655	0.589162
</S>	0.00696377	0.0017511	0.00747772	0.0217572	0.0326914	0.0551533	0.141783	0.0897832	0.642639
