 	l'	eau	est	maintenant	chaude	</S>
m	0.544819	0.431712	0.0168887	0.00342669	0.00266906	0.000484278
á	0.0522667	0.82161	0.0789962	0.0168656	0.00237473	0.0278871
a	0.18607	0.792418	0.0126132	0.00164396	0.0035141	0.0037401
á	0.0459725	0.210704	0.548568	0.127528	0.0168173	0.0504109
m	0.005066	0.00721424	0.287523	0.578421	0.0868961	0.0348795
i	0.00636329	0.0168926	0.362396	0.51897	0.0443267	0.0510506
b	0.000962231	0.0018546	0.104713	0.648547	0.208706	0.0352171
h	0.00943493	0.00553607	0.17816	0.596131	0.149401	0.0613367
ώ	0.00230334	0.00530154	0.079234	0.521334	0.347743	0.0440841
r	0.0144263	0.00130987	0.117723	0.260381	0.236087	0.370074
ώ	0.031782	0.00337126	0.132495	0.133021	0.111672	0.587658
m	0.0219557	0.00276012	0.0998311	0.112503	0.361655	0.401296
í	0.0980142	0.0372225	0.0670566	0.194329	0.258324	0.345054
á	0.00525254	0.00569741	0.0218575	0.038095	0.71048	0.218617
</S>	0.0024013	0.00156495	0.0351249	0.103305	0.342853	0.51475
