 	mes	petits	frères	reviennent	de	chercher	les	chénilles	itsetseli	</S>
a	0.264579	0.724467	0.00686938	0.000830999	0.00110505	0.000664986	0.00118953	0.000187466	8.08956e-05	2.62302e-05
d	0.0996841	0.540823	0.355671	0.000730959	0.000502497	0.000627571	0.000426682	0.000759327	0.000666075	0.000108937
i	0.444525	0.256543	0.278608	0.00116814	0.00181298	0.0023552	0.00118792	0.000991227	0.000368815	0.0124403
m	0.0519326	0.207145	0.623393	0.00483539	0.0169352	0.0196951	0.00841134	0.00125666	0.00277056	0.0636249
í	0.0510045	0.344143	0.540559	0.0242028	0.0170642	0.00467314	0.00775937	7.96199e-05	0.000120426	0.0103945
b	0.232098	0.133091	0.468403	0.0755105	0.0350235	0.0129394	0.00658338	0.00365586	0.00100503	0.0316908
á	0.0854847	0.280746	0.16493	0.296586	0.0710994	0.0100738	0.0467347	0.00983316	0.00877574	0.0257358
n	0.627027	0.205778	0.022346	0.0825102	0.0230132	0.00692815	0.0143904	0.00589494	0.0014684	0.0106433
g	0.876517	0.105323	0.000956913	0.00622227	0.00226767	0.000655677	0.00141613	0.00435145	1.91747e-05	0.00227008
á	0.295384	0.293002	0.078833	0.149368	0.0488243	0.0251027	0.0159646	0.0520464	0.000823745	0.0406503
á	0.107151	0.0692464	0.108751	0.143703	0.293615	0.108291	0.0741027	0.0282471	0.0108024	0.0560908
w	0.00188894	0.00190308	0.0730159	0.379776	0.454177	0.0556543	0.00783038	0.0139926	0.00560045	0.00616139
u	0.00280466	0.00210325	0.035521	0.417724	0.400262	0.0883222	0.0163138	0.0236041	0.00705657	0.00628844
r	0.0621171	0.00763677	0.0572916	0.304922	0.400339	0.0701623	0.0254387	0.0237229	0.0154782	0.0328914
u	0.047046	0.00969903	0.0578285	0.273306	0.408183	0.153327	0.030524	0.00579045	0.00603508	0.0082604
o	0.0169363	0.00725612	0.00360525	0.0456926	0.366595	0.355906	0.168245	0.0224825	0.00340681	0.00987532
y	0.00691294	0.00290263	0.0330246	0.0683777	0.318668	0.421198	0.107724	0.0183548	0.0185144	0.004323
é	0.00371798	0.00138159	0.00314761	0.0315254	0.339602	0.467143	0.0492289	0.0342373	0.0412246	0.0287918
n	0.00100817	0.000235297	0.000961453	0.0173144	0.301028	0.487432	0.0713586	0.0105494	0.0261648	0.0839485
g	0.0053375	0.00109492	0.00134095	0.0291469	0.42282	0.328092	0.10417	0.018826	0.0165117	0.07266
á	0.00877031	0.00522997	0.000753849	0.0820027	0.377011	0.356491	0.073765	0.0294757	0.0189337	0.0475666
i	0.00176278	0.000810405	0.000562405	0.00756191	0.0909049	0.37156	0.385396	0.0923416	0.0280033	0.0210967
t	0.00139237	0.000949363	0.00156084	0.00389302	0.0240521	0.267224	0.23789	0.211655	0.217817	0.0335667
s	0.000246975	0.000311842	0.000376095	0.00195698	0.0229865	0.138964	0.281412	0.0523838	0.484651	0.0167118
έ	2.31849e-05	1.12173e-05	6.89621e-05	0.000963516	0.00916949	0.0546944	0.199175	0.0461951	0.669067	0.0206321
t	0.000153339	4.29069e-05	3.45333e-05	0.000463908	0.0168404	0.0764397	0.427822	0.0445806	0.240435	0.193188
s	0.000870301	0.000148974	0.000204	0.00117027	0.00696768	0.035444	0.0728078	0.0646245	0.697044	0.120718
ε	6.81138e-06	4.75904e-06	5.60219e-05	0.000301387	0.00249932	0.0215575	0.0559058	0.0259033	0.863272	0.0304929
l	8.22639e-05	1.4654e-05	8.16576e-06	0.000306319	0.00640435	0.0529819	0.117171	0.0481088	0.548183	0.22674
í	0.00164544	0.000166847	3.95792e-05	0.000480595	0.00346704	0.0312291	0.0614565	0.173425	0.618246	0.109844
</S>	0.000904709	0.000202391	0.000515227	0.000460435	0.00740149	0.0593504	0.153317	0.178	0.110626	0.489223
