 	manger	avec	la	fourchette	est	une	culture	d'	emprunt	chez	les	mbochis	</S>
i	0.589291	0.333452	0.0600627	0.00166875	0.00248996	0.00343295	0.00406228	0.00189545	0.00194473	0.000680465	0.000933749	8.05479e-05	6.25855e-06
d	0.484854	0.42983	0.043417	0.0232111	0.00585667	0.00485302	0.00144813	0.000966757	0.000160493	0.00124795	0.000662457	0.00321187	0.00028097
z	0.819176	0.127604	0.00714656	0.0387395	0.00126111	0.00124551	0.000776288	0.000573342	0.000296025	0.00036999	9.8118e-05	0.00136321	0.0013496
á	0.878193	0.0806883	0.0108666	0.0102832	0.00110224	0.00116102	0.00143067	0.00116985	0.00311436	0.000772565	0.000333968	0.00654704	0.0043375
a	0.160521	0.153003	0.21217	0.0491112	0.022319	0.0167238	0.015806	0.0309049	0.00867792	0.0186795	0.0215987	0.00250806	0.287977
m	0.110872	0.0872785	0.581508	0.102228	0.0509809	0.0166595	0.0077785	0.00714411	0.00371946	0.00530111	0.00849601	0.00135965	0.0166746
ó	0.0562009	0.0285659	0.149497	0.483895	0.10767	0.0108745	0.00549039	0.0232427	0.0834861	0.0143645	0.00503548	0.00259103	0.0290867
s	0.261486	0.0758723	0.160711	0.225931	0.0370272	0.0220463	0.00898541	0.0275281	0.0549104	0.0488041	0.00700972	0.0402763	0.0294127
a	0.0315532	0.0156661	0.0648493	0.634384	0.0453378	0.0679242	0.0454962	0.0232615	0.0213457	0.00744876	0.0053275	0.0178015	0.019604
n	0.0103262	0.00664854	0.0654561	0.210693	0.0949416	0.106035	0.124347	0.0416165	0.0675105	0.0325163	0.019869	0.0133729	0.206667
y	0.0117714	0.0234222	0.117326	0.213264	0.08109	0.147721	0.277692	0.0346496	0.0266958	0.0116897	0.0109257	0.00647205	0.03728
a	0.00311413	0.00526121	0.0453884	0.109633	0.0883792	0.279981	0.294347	0.0466365	0.0181637	0.00844533	0.0067619	0.00687376	0.087015
l	0.00459591	0.0050171	0.0765907	0.0558807	0.187425	0.375487	0.129103	0.0671037	0.0127225	0.0317995	0.0111826	0.00355247	0.0395398
a	0.00490971	0.00691372	0.0546909	0.0356741	0.09494	0.221102	0.313038	0.142512	0.017861	0.0486147	0.017539	0.00394816	0.0382563
m	0.0027966	0.00198693	0.038368	0.0212626	0.0904563	0.103416	0.249829	0.150296	0.205885	0.081287	0.0268468	0.00249652	0.0250734
b	0.00816836	0.0115821	0.00864371	0.00643052	0.0308146	0.0284072	0.0387603	0.350205	0.223418	0.240565	0.0201971	0.0028181	0.0299898
ώ	0.000538392	0.00122334	0.00169828	0.0009056	0.00864053	0.0142	0.00722218	0.194159	0.159302	0.5976	0.00652462	0.00508863	0.00289776
s	9.29834e-05	0.00119544	0.00562799	0.00165058	0.0135455	0.0152323	0.0111094	0.20965	0.0860942	0.638894	0.00681474	0.00173655	0.00835643
í	0.000707493	0.0014844	0.00393527	0.00582468	0.0464951	0.294476	0.184508	0.249074	0.0218824	0.0767027	0.012043	0.00430736	0.0985592
í	0.00137895	0.000587703	0.0106387	0.00499745	0.0428717	0.0518297	0.172693	0.170046	0.170645	0.246344	0.101237	0.00621719	0.0205129
d	0.00305101	0.00283791	0.0177928	0.0187301	0.0285287	0.0242636	0.0715253	0.0823334	0.00827607	0.105626	0.583382	0.035161	0.0184921
í	0.00880757	0.00159572	0.00583465	0.0104597	0.00974488	0.0179046	0.134463	0.0929802	0.028332	0.149914	0.276974	0.0965122	0.166477
o	0.00113882	0.000315847	0.00280654	0.00108746	0.00727344	0.0173406	0.100696	0.0441324	0.0126217	0.155565	0.45994	0.0905554	0.106526
y	0.00198801	0.00301753	0.00260926	0.013196	0.0069428	0.0172997	0.00585882	0.0130937	0.00242551	0.0893379	0.0875582	0.736893	0.0197796
o	0.00134181	0.000870712	0.0030194	0.00981536	0.00341281	0.0217546	0.0547343	0.0206059	0.0393153	0.0332064	0.12667	0.626747	0.0585068
m	0.00154267	0.000371651	0.00117609	0.00208928	0.00184328	0.00988745	0.0139679	0.0165155	0.0180738	0.0632661	0.0520091	0.676484	0.142773
b	0.000712615	0.000183408	0.00111823	0.00144479	0.00662936	0.0304688	0.0211821	0.038139	0.0023253	0.0934632	0.223472	0.331053	0.249808
á	0.000580368	0.00090599	0.00120646	0.000546949	0.00715441	0.0567188	0.0248393	0.0743986	0.0150525	0.306768	0.0276189	0.043338	0.440872
</S>	0.00139087	0.000608843	0.00261766	0.00185283	0.00593637	0.00674627	0.015789	0.00975599	0.00688622	0.0378018	0.120301	0.150286	0.640027
