 	il	joue	auprès	de	sa	maman	</S>
w	0.973005	0.0114571	0.00692796	0.00329382	0.00514943	0.000118946	4.74106e-05
a	0.945993	0.0169496	0.00455649	0.00684195	0.0244175	0.000583685	0.00065771
l	0.510208	0.354329	0.0251114	0.0401455	0.0388133	0.0172374	0.0141557
á	0.179035	0.291632	0.0423679	0.0949578	0.0783618	0.0258627	0.287783
a	0.472837	0.232798	0.0211628	0.0555553	0.078495	0.0161831	0.122969
s	0.0119063	0.942732	0.0282984	0.0063856	0.000593756	0.00103537	0.00904889
a	0.00126244	0.985839	0.00658252	0.00103381	0.000235041	0.000850821	0.00419621
n	0.0973988	0.8457	0.0102195	0.00539422	0.000500216	0.000358485	0.0404293
á	0.0469861	0.728951	0.124387	0.0452883	0.0120739	0.000414275	0.0418999
á	0.113028	0.220039	0.326046	0.218711	0.104768	0.00623562	0.0111722
b	0.0333411	0.146614	0.307229	0.342461	0.154505	0.00971178	0.00613776
ε	0.00967864	0.0117326	0.750955	0.214292	0.00799761	0.00208758	0.00325649
έ	0.00228041	0.0144683	0.531778	0.365605	0.0195094	0.00284895	0.0635104
b	0.00219792	0.0172391	0.392381	0.481406	0.0667413	0.00320933	0.0368256
ε	0.011008	0.00906906	0.514233	0.393563	0.0354134	0.00127722	0.035437
έ	0.00126778	0.00806894	0.25062	0.567781	0.0526611	0.00522287	0.114378
l	0.000740114	0.00666973	0.177422	0.511843	0.137961	0.0101602	0.155204
a	0.00381283	0.0167441	0.0802352	0.506257	0.179037	0.0588017	0.155111
n	0.0025832	0.00279845	0.0153936	0.17282	0.560897	0.187506	0.0580011
g	0.00179161	0.00224771	0.00178372	0.0178402	0.174989	0.767451	0.0338968
ó	3.71109e-05	0.000127219	0.00013408	0.00235311	0.0248657	0.965262	0.00722064
o	3.4646e-05	0.000423679	0.000530737	0.004887	0.0174986	0.915851	0.0607738
</S>	0.00178652	0.00251152	0.00884032	0.0571598	0.267647	0.165881	0.496174
