 	le	prix	du	manioc	a	augmenté	</S>
o	0.498022	0.307211	0.0977176	0.0895419	0.00555431	0.000469211	0.00148364
m	0.170842	0.599984	0.119391	0.0624352	0.0065971	0.0294237	0.0113278
b	0.167535	0.77094	0.0291329	0.00554136	0.0020463	0.00456412	0.0202399
v	0.0454515	0.909588	0.00876223	0.0023856	0.000931731	0.0292306	0.00365075
ú	0.0900175	0.529306	0.110372	0.0640963	0.00388278	0.0708536	0.131471
n	0.105826	0.53853	0.211761	0.114539	0.00208634	0.00343088	0.0238262
u	0.284631	0.499772	0.101477	0.0235447	0.00191844	0.00813048	0.0805267
m	0.161491	0.144824	0.53859	0.101885	0.0424273	0.00150105	0.00928177
á	0.502604	0.0635837	0.18181	0.102256	0.131417	0.00155257	0.0167775
ε	0.402586	0.106984	0.199312	0.182346	0.0805478	0.0170045	0.0112186
k	0.0342339	0.0372149	0.0736244	0.431846	0.217516	0.184339	0.0212263
ώ	0.00901467	0.0180776	0.0315579	0.865877	0.0241187	0.0188691	0.032485
ώ	0.0117757	0.0322389	0.116103	0.768898	0.0238908	0.0086437	0.0384496
ó	0.0305452	0.00802907	0.0989565	0.089291	0.713688	0.0151635	0.0443269
m	0.0298943	0.0160123	0.020752	0.0330045	0.342793	0.463524	0.09402
i	0.0624964	0.0487997	0.0264924	0.00431537	0.245141	0.383226	0.229529
l	0.00671299	0.0147996	0.00449105	0.00918781	0.0272903	0.857692	0.0798258
é	0.00113852	0.00503334	0.00234934	0.00252735	0.00686126	0.918464	0.0636258
a	0.00450642	0.00429438	0.0256269	0.0527273	0.151923	0.444719	0.316203
</S>	0.0150026	0.00813037	0.038365	0.0485811	0.28904	0.282934	0.317947
