 	la	manière	dont	coule	de	l'	huile	la	bouteille	s'	est	certainement	cassée	</S>
e	0.452428	0.36621	0.0690595	0.0323427	0.054571	0.0106005	0.00507804	0.00619133	0.000756204	0.00159272	0.000240589	0.000376297	0.000384815	0.00016901
k	0.0161199	0.0184668	0.020907	0.56558	0.0791422	0.0323535	0.00538356	0.0241332	0.166242	0.00518502	0.0135334	0.00580583	0.0467702	0.000376821
y	0.00324496	0.00276396	0.00162605	0.905559	0.0281573	0.00494564	0.000233604	0.00359988	0.0406299	0.000664718	0.00358637	4.56622e-05	0.00475128	0.000191447
ε	0.0130565	0.0411208	0.0425994	0.678239	0.130513	0.0210924	0.00179394	0.0082994	0.0407219	0.00384464	0.0114808	0.000517976	0.00576937	0.000950876
l	0.051465	0.464521	0.0164017	0.23637	0.140225	0.0426427	0.00205115	0.0133441	0.00494744	0.00381866	0.00540326	0.00132547	0.00413828	0.0133463
í	0.12144	0.371003	0.0211954	0.0441203	0.0866834	0.0588975	0.00625559	0.0205528	0.00584936	0.0125526	0.014711	0.0126816	0.0149633	0.209093
l	0.0475402	0.0252642	0.0636132	0.0355821	0.169427	0.222648	0.0762792	0.11292	0.0226182	0.0442857	0.0416643	0.0331849	0.00694324	0.0980311
í	0.0267331	0.0104019	0.0262411	0.0125564	0.0504602	0.0576881	0.044006	0.0421348	0.0200022	0.0512621	0.0733056	0.058388	0.00997546	0.516845
y	0.260691	0.154425	0.177549	0.0554293	0.0719278	0.0721158	0.0437129	0.0627384	0.0164049	0.0198526	0.0107323	0.010435	0.00121147	0.0427747
é	0.0269726	0.0385279	0.174192	0.0728132	0.127602	0.0667887	0.0294994	0.0483777	0.0244869	0.0292287	0.0643447	0.0284387	0.00802408	0.260704
é	0.0451991	0.0672194	0.298381	0.0271223	0.109358	0.124846	0.0678813	0.100089	0.0461719	0.025765	0.0118971	0.0295204	0.00189482	0.0446547
k	0.00599907	0.00422622	0.045817	0.32172	0.224329	0.0746502	0.0445323	0.0722579	0.0798417	0.0139634	0.0430963	0.00764237	0.00847905	0.0534452
y	0.00291733	0.000638153	0.00365054	0.583297	0.133374	0.0340491	0.00739105	0.0651624	0.11611	0.00835119	0.0257327	0.000283113	0.00803405	0.0110095
ε	0.00840252	0.00289657	0.0127202	0.364205	0.265441	0.146735	0.0213145	0.115777	0.0379255	0.00802671	0.0108702	0.000366204	0.00156724	0.00375259
l	0.00639859	0.00806325	0.0386333	0.277874	0.216328	0.121627	0.0274416	0.206518	0.030387	0.0165512	0.0196177	0.00510275	0.00586773	0.0195899
έ	0.00533011	0.00387022	0.0262486	0.272706	0.230649	0.111575	0.0290287	0.212724	0.0143259	0.0144443	0.0206104	0.00633285	0.00401759	0.0481382
a	0.0063569	0.00223232	0.021894	0.0138364	0.0930548	0.168003	0.413244	0.205174	0.026936	0.0306119	0.00632491	0.00667646	0.000891986	0.00476257
w	0.00400177	0.00131061	0.0228438	0.0132523	0.0538883	0.0529671	0.103955	0.177264	0.380407	0.104998	0.0547502	0.0168947	0.00402587	0.00944167
ú	0.00156551	0.00256845	0.015826	0.00624943	0.0368215	0.0588531	0.0554625	0.155069	0.32852	0.12606	0.0927291	0.0163105	0.0458963	0.058069
r	0.00323109	0.000691083	0.00266796	0.0330226	0.105165	0.168215	0.049401	0.168512	0.338517	0.0474847	0.0422469	0.00700103	0.0119219	0.0219224
a	0.00592124	0.00419881	0.00679155	0.0121449	0.0911463	0.293562	0.0753155	0.32026	0.0899004	0.0431599	0.0146906	0.0220705	0.00341343	0.0174252
y	0.00252219	0.00214061	0.0133344	0.00525373	0.0453378	0.104781	0.141426	0.196818	0.0305245	0.336827	0.0675582	0.0457072	0.00152453	0.00624502
é	0.0159985	0.0155074	0.038203	0.00249446	0.0271982	0.120945	0.0515579	0.117173	0.331572	0.163427	0.0502028	0.0261437	0.0156091	0.0239683
o	0.00847766	0.00455329	0.0102311	0.000367735	0.0100279	0.0801233	0.159539	0.131657	0.157546	0.301633	0.037312	0.0785865	0.00727372	0.0126725
l	0.00115696	0.000478615	0.00393633	0.00550497	0.00936236	0.00825361	0.0106846	0.0143726	0.502022	0.112389	0.244323	0.0285996	0.047566	0.0113508
a	0.000826834	0.00176047	0.0109612	0.00229765	0.0108411	0.00816312	0.00181953	0.0215857	0.474577	0.121337	0.238353	0.0218939	0.0372603	0.0483227
n	0.000229988	0.00104235	0.00239521	0.00823415	0.0296167	0.0266017	0.00575131	0.0419579	0.516864	0.0968198	0.212573	0.00651066	0.0370419	0.0143611
g	0.00174005	0.000954993	0.00419178	0.00388615	0.0139104	0.017114	0.00510607	0.0307811	0.418427	0.139696	0.243617	0.0239148	0.019408	0.0772523
i	0.000462388	0.00522322	0.00712034	0.00145301	0.0136333	0.0301384	0.0102919	0.0415146	0.430538	0.15261	0.0760678	0.0238904	0.0821043	0.124952
ó	0.00287913	0.00216226	0.00576773	0.00213554	0.0101366	0.0155184	0.00511481	0.0436203	0.0122132	0.272378	0.291561	0.161177	0.0379909	0.137345
m	0.00286007	0.00124797	0.0074548	0.00317969	0.0106995	0.00428941	0.0032666	0.00741032	0.0185612	0.0482478	0.277052	0.250749	0.249192	0.11579
i	0.00268715	0.00134667	0.00247248	0.00054308	0.0152668	0.0121287	0.0158015	0.0108364	0.00715396	0.0294944	0.217039	0.0674757	0.523685	0.094069
b	0.000646998	0.000206037	0.000414341	0.00110497	0.00462448	0.0017911	0.000461412	0.00245879	0.0167042	0.0186138	0.305692	0.0355197	0.398047	0.213715
o	0.000166764	0.000103453	0.000379036	0.00493582	0.00483981	0.000755361	0.000246947	0.0027096	0.0106643	0.00887125	0.153509	0.00242517	0.772766	0.0376274
n	0.00110438	0.00127356	0.000759377	0.07422	0.0162876	0.00444054	0.00065488	0.00591255	0.0609014	0.0221438	0.230823	0.00619813	0.461022	0.114259
d	0.00477443	0.000992693	0.000410787	0.0158434	0.00711382	0.00433781	0.000895534	0.00452297	0.0184152	0.00719142	0.0598754	0.00596369	0.733347	0.136315
z	0.0106003	0.0116324	0.0107327	0.00450607	0.0119603	0.00592579	0.00307928	0.0141447	0.01855	0.0191218	0.0285561	0.00794585	0.683655	0.16959
i	0.00102619	0.00519159	0.00153752	0.00534645	0.00329822	0.001775	0.000708328	0.00675064	0.0144029	0.00965345	0.0292143	0.00177098	0.743704	0.175621
m	0.00138037	0.00110053	0.00237934	0.00156891	0.00495307	0.00590723	0.00218707	0.00750041	0.00878219	0.023752	0.0419147	0.037359	0.397976	0.463239
a	0.0109871	0.00323376	0.00285627	0.000831377	0.0191036	0.0108093	0.0230709	0.0131813	0.000376681	0.0198246	0.069541	0.0616888	0.175757	0.588738
</S>	0.00176138	0.00195091	0.00282884	0.00163775	0.015346	0.01004	0.00265141	0.00532082	0.00436758	0.0218738	0.0505012	0.0595668	0.151787	0.670367
