 	si	tu	ne	bouges	pas	je	ne	te	ferai	pas	de	mal	</S>
w	0.873434	0.0869617	0.00581317	0.00106114	0.00345924	0.00563974	0.00866989	0.00611992	0.000874467	0.00143366	0.00477312	0.001648	0.000111795
á	0.748655	0.194278	0.0299313	0.000555509	0.00364135	0.00635683	0.00625089	0.00376235	0.000109405	0.000177408	0.00288513	0.00336033	3.65677e-05
á	0.380551	0.226184	0.0579931	0.014161	0.0153593	0.0294484	0.0320304	0.0300909	0.0100485	0.0135115	0.0133191	0.00558153	0.171722
n	0.23131	0.272979	0.124131	0.0212515	0.0115357	0.0234285	0.0207538	0.026315	0.0240895	0.0279973	0.0361902	0.024553	0.155466
ω	0.208669	0.632961	0.0166347	0.000726772	0.00178909	0.108087	0.0049138	0.00941418	0.000307924	0.000386574	0.00266812	0.00165522	0.0117865
o	0.0564964	0.625597	0.118053	0.0363678	0.00539338	0.0949137	0.00534282	0.0167745	0.000447229	0.000576296	0.00234557	0.00452958	0.0331627
d	0.00535268	0.00469201	0.143681	0.766198	0.0158851	0.00261354	0.00761809	0.00665067	0.0181614	0.0152266	0.00212459	0.00135673	0.0104394
z	0.00531299	0.0101627	0.0746983	0.699807	0.0139595	0.0026694	0.00958388	0.0112793	0.00766068	0.00884768	0.00328088	0.00180068	0.150937
e	0.0322091	0.0450959	0.156289	0.729447	0.0125483	0.00210605	0.00986384	0.0070467	0.00165646	0.000574992	0.000290919	0.000216501	0.0026558
o	0.0099844	0.0238298	0.12215	0.159505	0.131514	0.0213686	0.0430811	0.0306204	0.100617	0.049085	0.0635176	0.0150555	0.229672
t	0.000439671	0.00187114	0.0331995	0.733796	0.10332	0.0292187	0.0249915	0.0151312	0.0204844	0.0174262	0.00290573	0.0022334	0.014983
í	0.000136564	0.00049209	0.0147715	0.706913	0.11942	0.012389	0.0273763	0.00958551	0.0284414	0.026414	0.00460011	0.00633315	0.0431276
n	0.00115908	0.00989354	0.0754726	0.264248	0.153648	0.0175356	0.072216	0.0325082	0.154991	0.0979069	0.014609	0.0098532	0.0959593
a	0.00859718	0.0294278	0.0513132	0.146571	0.265051	0.0607173	0.0667452	0.0315404	0.0304309	0.0456523	0.0310638	0.0357696	0.197121
a	0.0139019	0.0483985	0.0366105	0.0162937	0.301544	0.142258	0.185935	0.0741145	0.0691698	0.0211078	0.0152455	0.00541621	0.0700039
