 	le	ruisseau	vouma	est	devenu	large	et	profond	en	plusieurs	endroits	à	cause	des	barrages	à	nasses	</S>
w	0.485585	0.391266	0.0920014	0.0108518	0.00355944	0.00125606	0.00259635	0.00266058	0.00325375	0.00135649	0.00237534	0.00232493	0.000535143	0.000124672	4.03873e-06	0.000212708	2.8984e-05	6.58719e-06
ó	0.158262	0.673003	0.152309	0.00442811	0.000873016	0.000402375	0.00554492	0.000622544	0.0020945	0.00079734	0.000238798	0.000450088	0.000258243	0.000129748	4.00855e-06	0.000324448	0.000246287	1.09325e-05
m	0.227631	0.246573	0.413259	0.00938659	0.00208172	0.0126706	0.00372679	0.00156349	0.00825431	0.0206696	0.0142946	0.0124412	0.00250914	0.00464617	0.000651898	0.00441183	0.00575463	0.00947324
á	0.0559383	0.0340856	0.654119	0.0973254	0.0238375	0.00389493	0.0213908	0.00424878	0.00865698	0.0107138	0.00813963	0.00860044	0.00990326	0.0142403	0.00852502	0.00565119	0.000206052	0.0305233
á	0.0570181	0.0243997	0.307804	0.239182	0.0514628	0.0203555	0.0407797	0.0169911	0.0174497	0.0249379	0.0257548	0.0272159	0.0292794	0.0368482	0.0298001	0.0180542	0.0058235	0.0268432
b	0.0347422	0.0166925	0.0644647	0.402044	0.327834	0.0757098	0.00750314	0.0139453	0.00412162	0.00317959	0.00245908	0.0034265	0.00564965	0.0078961	0.0026291	0.00909363	0.005833	0.0127759
h	0.00947049	0.0146113	0.00840952	0.45985	0.380138	0.0290873	0.0271751	0.0229547	0.00576977	0.00166859	0.00494161	0.00425261	0.0135593	0.00859084	0.000728062	0.00276025	0.00111822	0.0049139
i	0.0185435	0.0101938	0.0158675	0.445506	0.39962	0.0354233	0.0202665	0.0174034	0.00350155	0.00118633	0.00801751	0.00351301	0.00958575	0.00532104	0.00116469	0.00125326	0.000353833	0.00327905
á	0.0148747	0.00782305	0.0370683	0.219853	0.331685	0.107803	0.07659	0.0440836	0.0323562	0.0144386	0.0189302	0.0139302	0.00924647	0.00989131	0.00610908	0.0105969	0.00468806	0.0400322
a	0.0182699	0.00920679	0.0137705	0.164231	0.344497	0.301864	0.0450044	0.0233897	0.0118231	0.00788022	0.0249635	0.00641735	0.00509554	0.0061354	0.00308788	0.0054272	0.00366606	0.00527008
f	0.00653151	0.00442385	0.000775418	0.0787743	0.141843	0.146864	0.09072	0.197782	0.0403974	0.015512	0.0701363	0.0279254	0.0246038	0.0325278	0.0364298	0.0174189	0.0349233	0.0324112
u	0.0004543	0.000783323	0.000263855	0.0605854	0.164992	0.284758	0.0718075	0.240852	0.0239069	0.00713094	0.0621195	0.0143676	0.0161161	0.0102803	0.0150601	0.00251373	0.0134188	0.0105901
n	0.0016847	0.00167126	0.00049895	0.035085	0.109702	0.261426	0.0810702	0.1456	0.0201062	0.015626	0.118305	0.0108082	0.0190503	0.0173203	0.0234576	0.00445811	0.0231174	0.111012
d	0.0161387	0.00657231	0.000987158	0.0161963	0.0630293	0.420513	0.0612308	0.0608531	0.018132	0.0401549	0.193009	0.00791124	0.0078157	0.00774321	0.0103209	0.0036343	0.0156543	0.0501041
ε	0.00779457	0.00229979	0.00322483	0.0112224	0.022213	0.701967	0.0584532	0.0444681	0.0263423	0.0373638	0.0511995	0.0110626	0.00271914	0.00396224	0.000962243	0.00201976	0.0040987	0.00862679
l	0.00654652	0.00437782	0.00394598	0.00657872	0.0292074	0.252481	0.171383	0.0883478	0.233015	0.111337	0.0339633	0.0298135	0.00402112	0.00363167	0.001022	0.00722502	0.0014823	0.0116205
a	0.0015591	0.000359326	0.000733042	0.00378999	0.016431	0.135511	0.0560812	0.173026	0.130033	0.153645	0.137872	0.0517233	0.0184137	0.018035	0.0164556	0.022113	0.0132602	0.0509587
f	0.00250171	0.00155892	0.000692056	0.00144261	0.00267263	0.0374272	0.0914826	0.069544	0.168575	0.129605	0.333436	0.0834946	0.0160317	0.0119887	0.0145742	0.00959695	0.00932173	0.0160538
u	0.00108879	0.00200426	0.000305486	0.00220685	0.00385628	0.0312395	0.051381	0.295714	0.0514586	0.0352479	0.35512	0.0671503	0.0408469	0.0137736	0.0187215	0.00258157	0.0170153	0.010288
n	0.000212824	0.000108277	1.90041e-05	0.000232038	0.000802955	0.0105303	0.0117893	0.048641	0.0310359	0.0344226	0.793178	0.010814	0.00754297	0.00500742	0.014762	0.00154636	0.00491505	0.0244404
d	0.000302496	0.000366758	2.97639e-05	0.00022003	0.000549387	0.0196383	0.017545	0.0401395	0.047581	0.122297	0.702902	0.01678	0.00540017	0.00517231	0.00449203	0.00270241	0.00346252	0.0104193
ε	8.34131e-05	6.2075e-05	1.6775e-05	0.000119971	0.000542672	0.077067	0.0279211	0.0706118	0.0828483	0.283378	0.39754	0.0211728	0.00451985	0.00440591	0.00224089	0.00294933	0.00796446	0.0165557
e	0.000375991	0.000144892	0.000121053	0.000271359	0.00136245	0.0269885	0.0479767	0.0394108	0.247864	0.410294	0.0354326	0.136249	0.0185452	0.0117669	0.00181165	0.00997968	0.001417	0.00998834
k	0.0026099	0.000677531	0.000737746	0.00455548	0.00868067	0.0136471	0.0469233	0.0407174	0.0696454	0.122232	0.0729998	0.130241	0.199731	0.118045	0.0551482	0.0915587	0.00970926	0.0121403
í	0.000174034	0.000859209	3.66426e-05	0.000968625	0.00600927	0.0132613	0.0268117	0.125925	0.053135	0.0292222	0.0392938	0.097076	0.291497	0.113853	0.0448129	0.0204893	0.0822156	0.0543583
i	0.000442742	0.000594191	0.000116235	0.000594655	0.00374219	0.00576205	0.0234327	0.089982	0.0297578	0.0276486	0.0853355	0.0792357	0.25484	0.0785108	0.0689453	0.0184406	0.0267079	0.205911
d	0.000753412	0.000125919	0.000406142	0.00185766	0.00364215	0.00401	0.00836609	0.00935549	0.0309335	0.0721614	0.0113061	0.157416	0.253284	0.173382	0.0441579	0.192682	0.00881676	0.0273425
z	0.00028454	0.00014352	2.81395e-05	0.000390693	0.00240927	0.0177946	0.00677669	0.0106737	0.0271804	0.121932	0.0665145	0.0280514	0.0413715	0.0791012	0.342887	0.0760503	0.0342569	0.144154
a	0.000231043	0.000197632	0.000139311	0.000184758	0.00026092	0.00963547	0.00216661	0.00404253	0.0082387	0.0707321	0.167893	0.011089	0.0239673	0.0313159	0.610809	0.024826	0.01865	0.0156208
a	0.000363458	0.00017856	0.000117332	0.000133148	0.000330142	0.00341836	0.00343108	0.00866797	0.0154775	0.0464049	0.0873801	0.0277512	0.0653235	0.0786892	0.524098	0.0511011	0.0235536	0.0635811
m	0.000250247	0.000103461	0.000212859	0.00110733	0.003556	0.00236873	0.00467506	0.00417216	0.0171996	0.0310596	0.00305572	0.0496698	0.0945052	0.226697	0.0922447	0.361704	0.0240687	0.0833507
a	0.00117368	0.000788234	0.000571845	0.000922809	0.00106905	0.00109796	0.0092965	0.00582892	0.0291579	0.0447418	0.0047246	0.0247266	0.0570944	0.139325	0.287842	0.256521	0.0263435	0.108775
n	0.000248073	0.00046373	9.47514e-05	0.000351411	0.000986489	0.00238989	0.00718956	0.00531393	0.0230544	0.0320659	0.00330441	0.042119	0.0564656	0.118935	0.277997	0.12897	0.24061	0.0594402
d	0.00223167	0.00206234	9.07805e-05	0.000252505	0.000556586	0.0175035	0.00476472	0.00371746	0.020808	0.146652	0.131338	0.0328759	0.0214752	0.111252	0.113218	0.0900605	0.185547	0.115594
e	0.000694704	0.000814176	9.2575e-05	4.37844e-05	9.35576e-05	0.00710077	0.0011273	0.000767288	0.00476095	0.0930021	0.0874973	0.0106656	0.0116308	0.0510251	0.170782	0.0567977	0.208854	0.294251
</S>	9.61671e-06	3.95509e-05	2.91292e-05	4.03794e-05	5.58076e-05	0.00469093	0.00307792	0.00182924	0.0117567	0.0500399	0.0226192	0.0293564	0.0219809	0.0868885	0.0772181	0.054363	0.314984	0.321021
