 	cette	femme-ci	est	en	train	de	peigner	ses	cheveux	devant	le	miroir	</S>
o	0.986152	0.00980572	0.000884189	0.00138328	0.000524113	0.000177087	1.14174e-05	0.000704615	3.24589e-05	0.000177648	7.79066e-05	4.3622e-07	6.9468e-05
y	0.0135839	0.984948	0.000580916	0.000149876	0.000447596	4.38515e-05	9.13022e-05	2.9234e-05	1.53959e-05	1.41993e-05	2.02817e-05	2.11807e-05	5.37878e-05
ú	0.954515	0.0231386	0.00240193	0.00278047	0.00022833	0.0026591	0.00449843	0.00132268	0.00356124	0.000575668	0.000770986	0.00277144	0.000776284
r	0.969594	0.00843868	0.00176526	0.00111726	6.55592e-05	0.000465649	0.00239752	0.00174429	0.00239223	0.000418086	0.00230076	0.00189249	0.00740801
u	0.758428	0.181576	0.0315166	0.00696158	0.000451064	0.00491774	0.000810787	0.004846	0.00298425	0.00129551	0.00284435	0.000657676	0.00270982
w	0.0669933	0.0603701	0.466243	0.189873	0.0276485	0.0403353	0.0402846	0.0132105	0.00741017	0.00676376	0.0140483	0.025067	0.041752
ó	0.313846	0.00803054	0.194002	0.232841	0.0863188	0.0817879	0.000975056	0.0237589	0.00400678	0.00886578	0.0217221	0.00185512	0.0219908
l	0.0114262	0.00138997	0.278147	0.437517	0.190388	0.0521714	0.00205573	0.00975797	0.000714176	0.00223114	0.00495839	0.000233324	0.00900913
á	0.0612522	0.00202255	0.10133	0.0970059	0.0240083	0.144084	0.014692	0.0946096	0.025002	0.0372385	0.118053	0.00489921	0.275803
a	0.0476173	0.0118713	0.278642	0.168793	0.235229	0.184857	0.0216916	0.0284598	0.00641107	0.00564436	0.00407275	0.000191072	0.00651925
s	0.00697548	0.00838972	0.0115534	0.00835945	0.0100804	0.0263761	0.912127	0.00402253	0.00274768	0.00131095	0.000739785	0.00284734	0.00446987
a	0.000469048	0.000583866	0.00186869	0.00256293	0.000642261	0.00478481	0.981296	0.000526066	0.00522392	0.000843745	0.000131892	3.64204e-05	0.00102993
n	0.0134861	0.00784895	0.0541652	0.0476823	0.0440082	0.0475536	0.745091	0.0129594	0.0129507	0.00910008	0.000454007	0.000862954	0.00383752
d	0.0132188	0.000353317	0.117996	0.0477449	0.00393743	0.098757	0.38011	0.191983	0.0837205	0.0180935	0.00931786	0.0028499	0.031919
z	0.00408697	5.73464e-05	0.0716979	0.0220242	0.00232177	0.133778	0.135056	0.259816	0.0158408	0.0311948	0.0330645	0.00640094	0.28466
á	0.0105527	0.000105523	0.129374	0.0960838	0.0275089	0.26887	0.0167884	0.23502	0.00288166	0.0110505	0.0210484	0.00933128	0.171385
l	0.00612669	0.000211941	0.0280474	0.032491	0.00413642	0.0549014	0.0408421	0.57379	0.205231	0.0359001	0.00798441	0.00521919	0.00511751
á	0.00242988	0.000120472	0.00511161	0.0047135	0.00444951	0.0332421	0.0240929	0.25239	0.438901	0.0409907	0.0427845	0.0180123	0.132761
s	0.0130378	0.000651533	0.0152865	0.010349	0.0269503	0.0469384	0.0149307	0.379313	0.302955	0.146859	0.0243904	0.00893487	0.00940377
u	0.00946728	0.000310647	0.009796	0.00829452	0.0214204	0.0224435	0.00432481	0.469517	0.128717	0.270998	0.0267552	0.0195607	0.00839482
é	0.00365712	0.000111618	0.00401917	0.0017619	0.000297558	0.016432	0.16232	0.267869	0.248524	0.181601	0.0183059	0.0181756	0.0769258
ó	0.00180494	3.6354e-05	0.00940155	0.000734342	8.98872e-05	0.0201013	0.00229373	0.114646	0.200326	0.2938	0.219136	0.0212244	0.116406
b	0.00201373	7.22832e-05	0.00391123	0.00139975	8.72205e-05	0.0095374	0.00195309	0.0356778	0.0842179	0.514957	0.236952	0.0354303	0.0737897
o	0.000986756	0.000157884	0.00650038	0.00465848	0.00196849	0.00914978	0.000250523	0.0840184	0.00723387	0.66558	0.0925498	0.037546	0.0893991
s	0.000650101	0.000267134	0.00404786	0.00357905	0.00217498	0.00290491	0.00328412	0.0339305	0.0115595	0.516671	0.0324127	0.176493	0.212025
ó	0.00136091	6.08348e-05	0.00109286	0.000544603	0.000220208	0.00421841	0.0293468	0.0482584	0.317214	0.173759	0.140102	0.051721	0.232101
b	0.00419887	2.19247e-05	0.00414389	0.00226128	0.000134763	0.00489793	0.000290851	0.0265259	0.00969801	0.0854918	0.308706	0.224863	0.328765
é	0.00104244	3.19437e-05	0.0102932	0.0108829	0.00394345	0.0153566	0.000377132	0.103747	0.00412258	0.0717866	0.242925	0.193875	0.341616
t	0.00248738	2.54892e-05	0.00262364	0.00344842	0.00161636	0.00251613	0.000288264	0.00924796	0.00164868	0.0246068	0.0967248	0.682479	0.172287
á	0.0014889	1.38877e-05	0.0012512	0.000473234	0.000835931	0.00272577	0.000165858	0.00627071	0.000596144	0.0071774	0.0644558	0.862694	0.0518512
l	0.00021975	9.47155e-06	0.000693208	0.000413025	0.000417334	0.000768779	0.000357357	0.00138934	0.000713675	0.00445529	0.0160917	0.954344	0.0201268
a	5.84491e-05	8.62125e-05	0.00174789	0.00150796	0.00503525	0.00396769	0.00227978	0.0182418	0.00610371	0.0396785	0.260414	0.567355	0.093523
</S>	0.00102022	2.56374e-05	0.0018893	0.00109447	0.000185965	0.00267698	0.000350607	0.00794698	0.0021906	0.0224341	0.191561	0.201208	0.567416
