 	ce	paquet	est	dégonflé	</S>
i	0.271669	0.717754	0.00662828	0.00330087	0.000648123
b	0.241358	0.668343	0.0442226	0.0389124	0.00716429
v	0.018882	0.942277	0.00952402	0.02863	0.000687213
é	0.0511697	0.887807	0.0262926	0.0237151	0.011016
é	0.389493	0.541149	0.0498365	0.00946102	0.0100598
d	0.328316	0.0862802	0.284353	0.0333308	0.26772
í	0.0794958	0.00620294	0.0939032	0.00360422	0.816794
í	0.142016	0.0644166	0.326676	0.0786783	0.388213
b	0.0575219	0.0280913	0.605184	0.107903	0.201299
h	0.00898251	0.105363	0.256113	0.551976	0.0775659
í	0.0252754	0.0962589	0.351477	0.363171	0.163817
e	0.0226338	0.0221246	0.290838	0.201734	0.46267
f	0.0285893	0.024202	0.228547	0.40615	0.312512
a	0.00667168	0.0195546	0.0762874	0.76562	0.131867
a	0.00277117	0.00901342	0.0375016	0.45238	0.498334
s	0.0201087	0.0209746	0.168064	0.222984	0.567869
í	0.0932156	0.00804536	0.12014	0.222473	0.556126
</S>	0.030089	0.020919	0.101401	0.267996	0.579595
