 	l'	ombrette	a	un	long	bec	</S>
k	0.243504	0.691572	0.0487479	0.0119006	0.00260236	0.00130015	0.000372276
ú	0.0354649	0.933008	0.0192396	0.00579421	0.00288562	0.00277704	0.000830443
n	0.0416104	0.704188	0.164051	0.0580532	0.00602935	0.0131235	0.0129453
y	0.158004	0.18396	0.35626	0.204442	0.00614957	0.0543504	0.0368338
ε	0.165126	0.784591	0.0163541	0.0107745	0.000180398	0.015046	0.0079279
a	0.19516	0.080768	0.431136	0.217682	0.0491068	0.00174042	0.0244065
d	0.0509118	0.0100787	0.286869	0.444112	0.153043	0.00661192	0.0483737
í	0.00887146	0.000287201	0.174106	0.409754	0.179341	0.00083026	0.226811
l	0.0211298	0.00251362	0.0968833	0.203113	0.499518	0.0497585	0.127084
o	0.0165291	0.00293283	0.153434	0.295717	0.173132	0.0154603	0.342795
t	0.0342337	0.00892052	0.0546649	0.0758514	0.145596	0.588904	0.0918296
o	0.00165428	0.002952	0.00879414	0.0389433	0.07136	0.841812	0.0344842
b	0.000244012	0.00530088	0.0018643	0.0133009	0.0348741	0.906542	0.0378735
h	0.00173143	0.00297491	0.00318089	0.00988165	0.049661	0.780069	0.152501
i	0.000254643	0.00187739	0.000170382	0.00300963	0.00380906	0.944159	0.0467199
l	0.00212039	0.000971945	0.00123948	0.00713519	0.00808943	0.0814561	0.898987
a	0.0284571	0.00326904	0.0140981	0.0240896	0.0234754	0.05686	0.849751
o	0.0237729	0.00553245	0.0148271	0.0122687	0.0134998	0.0178479	0.912251
l	0.0175078	0.00921487	0.0268577	0.0478806	0.180908	0.301618	0.416013
a	0.0262893	0.007351	0.0304667	0.155622	0.184209	0.13833	0.457732
á	0.00531534	0.00169998	0.00816695	0.0524383	0.0148431	0.0804145	0.837122
</S>	0.0184454	0.00299967	0.0477615	0.035277	0.0225701	0.00292302	0.870023
