 	ta	qualité	de	fils	de	mon	arrière-petit-fils	est	vaine	pour	moi	car	tu	ne	me	respectes	pas	</S>
o	0.28117	0.399492	0.118553	0.0320433	0.0438688	0.028729	0.0423826	0.0177617	0.00695466	0.0143973	0.00468704	0.00397324	0.00312064	0.00130455	0.000452766	0.000488056	0.000446199	0.000174091
k	0.0801628	0.51633	0.0883804	0.0179884	0.0126797	0.0176227	0.0298315	0.0237309	0.0585364	0.0139836	0.0671895	0.00747078	0.0246178	0.00504312	0.0175124	0.00469189	0.00649288	0.00773566
w	0.00295257	0.200503	0.0190479	0.0013944	0.0223936	0.0085262	0.0931287	0.0668906	0.29525	0.0918273	0.0558687	0.0457156	0.0133512	0.0123381	0.00932148	0.00893002	0.0407684	0.0117915
ω	0.013758	0.417867	0.0944298	0.00980823	0.0339381	0.0540634	0.0552954	0.0283028	0.0310547	0.0259668	0.129879	0.0329239	0.036517	0.00736257	0.0123681	0.00954779	0.00457955	0.00233822
ω	0.134081	0.380305	0.200551	0.0580316	0.0383301	0.0290521	0.0197242	0.00942185	0.00629476	0.0159306	0.0194452	0.0110347	0.0124353	0.00944207	0.0137853	0.0115572	0.00713503	0.0234428
r	0.197449	0.156747	0.404599	0.0823736	0.0528078	0.0112695	0.0154294	0.0156217	0.00518783	0.0172529	0.00274489	0.00651413	0.0027541	0.0073416	0.00273509	0.00168098	0.00161329	0.0158785
ω	0.225354	0.123919	0.0977537	0.0289277	0.0339304	0.0626234	0.033968	0.0272916	0.0236467	0.0195393	0.0511702	0.016186	0.0583849	0.0158643	0.0744139	0.0297668	0.00507638	0.0721838
m	0.0711837	0.0750917	0.320621	0.0881576	0.137544	0.068223	0.046741	0.0377572	0.0160373	0.0181888	0.0283147	0.0145197	0.0242587	0.0111154	0.0205744	0.00842994	0.00193111	0.0113107
á	0.0502577	0.00802328	0.0637477	0.738685	0.0508357	0.0438253	0.0107333	0.0112598	0.00163754	0.00986678	0.00199685	0.00158461	0.0002948	0.000273814	0.000223035	3.37111e-05	0.000136427	0.00658511
n	0.244755	0.0410172	0.158783	0.218035	0.073814	0.0868754	0.0343159	0.023908	0.00869294	0.0199151	0.0249608	0.0254619	0.00648508	0.00802705	0.00535921	0.00270495	0.00710888	0.00978079
g	0.251539	0.0050853	0.107155	0.0328316	0.027101	0.185368	0.00746641	0.00814623	0.00282309	0.00359867	0.225131	0.00235878	0.0633281	0.00348512	0.0575134	0.0102675	0.00178404	0.00501783
á	0.0366938	0.0100625	0.122474	0.0420636	0.0814114	0.127819	0.0328296	0.0160713	0.0302383	0.0057397	0.267517	0.0053372	0.0474802	0.00564765	0.0923775	0.0614656	0.00520785	0.009563
l	0.0131068	0.00962115	0.13374	0.100974	0.32476	0.133002	0.124424	0.0773313	0.0151539	0.0231624	0.00781767	0.00789454	0.00528466	0.00589383	0.00360308	0.00222923	0.00297352	0.00902836
a	0.0306199	0.00980946	0.0633588	0.0293762	0.1202	0.169225	0.11205	0.0967442	0.0428267	0.0320558	0.046028	0.0209367	0.0449371	0.0180798	0.046657	0.0207461	0.00650044	0.0898481
n	0.0201286	0.00687521	0.0457867	0.0513763	0.14993	0.180317	0.219806	0.146421	0.0504537	0.0340898	0.0208052	0.0297763	0.00962304	0.00688754	0.00538544	0.00523154	0.00264028	0.0144661
ω	0.0392236	0.00533063	0.0428009	0.0212438	0.0858863	0.233214	0.0668993	0.0509109	0.0411372	0.0121746	0.225647	0.00595835	0.0537293	0.00568993	0.0707625	0.0219766	0.00353414	0.0138808
o	0.00213541	0.00306749	0.0338536	0.0161754	0.119317	0.114416	0.209452	0.232623	0.115367	0.0417574	0.0310549	0.0184444	0.0114019	0.00546608	0.0153386	0.0126837	0.00260164	0.0148439
d	0.00324597	0.00981711	0.0304631	0.0158667	0.0930555	0.0305706	0.0542804	0.24735	0.378433	0.115277	0.00387212	0.00550124	0.000172546	0.0021881	0.000829353	0.000489522	0.00200292	0.00658503
í	0.00183116	0.0033281	0.0241307	0.0125805	0.0846736	0.0626469	0.0379446	0.251448	0.310078	0.134742	0.00564964	0.00969031	0.00049972	0.00218753	0.0017407	0.000717561	0.00233367	0.0537779
p	0.00120088	0.00150024	0.0161546	0.0118307	0.0738373	0.171822	0.0709203	0.25052	0.162667	0.159005	0.0236011	0.0246102	0.00386441	0.00678819	0.00306445	0.00161277	0.00263183	0.0143702
y	0.000626423	0.0047601	0.00171638	0.00131737	0.024358	0.0235074	0.235826	0.143016	0.306512	0.132267	0.0146292	0.0676826	0.00196429	0.00973046	0.00167525	0.00477119	0.010069	0.0155719
e	0.000410979	0.00436089	0.00200968	0.00160647	0.022784	0.0187066	0.248851	0.076442	0.207944	0.122637	0.030855	0.147437	0.0150958	0.020292	0.0131608	0.0194634	0.0137459	0.0341978
l	0.000181848	0.00132225	0.00102975	0.0010571	0.0172453	0.0213092	0.13349	0.102688	0.237446	0.179197	0.0199201	0.0867578	0.00810358	0.0177019	0.00972331	0.0069041	0.00961544	0.146307
í	0.00152465	0.00365022	0.00366448	0.0025312	0.0323103	0.0873628	0.294376	0.0929538	0.132463	0.0702906	0.0343797	0.077873	0.0232358	0.0124591	0.0160837	0.0272588	0.0202825	0.0673006
k	0.00150821	0.00163654	0.0047672	0.00298696	0.0160904	0.0535861	0.0836561	0.166075	0.121869	0.213603	0.0837797	0.128122	0.0499714	0.0316146	0.0177083	0.00607638	0.00309092	0.0138585
a	0.000997995	0.0119088	0.00204667	0.00030012	0.0139097	0.0222953	0.160565	0.122724	0.177898	0.234925	0.0246713	0.163867	0.00352187	0.0192554	0.00200478	0.00639293	0.0186749	0.0140403
á	0.000128011	0.000900645	0.000653233	0.000452095	0.00761836	0.0207173	0.0511347	0.101755	0.102929	0.297469	0.105148	0.19219	0.0235586	0.0354528	0.011272	0.00733368	0.00807058	0.0332175
t	0.00124099	0.00081127	0.00194868	0.00134303	0.00513919	0.0173256	0.00702332	0.0539196	0.0238753	0.184447	0.103892	0.282644	0.119984	0.079013	0.0531434	0.00770724	0.0031254	0.0534174
s	0.000291899	0.00522366	0.00221265	0.000207443	0.0115591	0.00903891	0.046328	0.0713406	0.0920977	0.14298	0.0293995	0.243672	0.0263007	0.169315	0.0219776	0.0517004	0.041193	0.0351622
í	0.000339784	0.00176843	0.000849579	0.000189982	0.00677601	0.0116183	0.0515138	0.0684121	0.066169	0.138571	0.0357826	0.307628	0.0477408	0.152574	0.0262866	0.0411917	0.0220589	0.0205297
n	0.000612917	0.000470212	0.000720195	0.000320174	0.0031949	0.0135718	0.0208522	0.0298509	0.0850066	0.101439	0.102189	0.276883	0.100044	0.129564	0.0418457	0.0231557	0.00816646	0.0621131
a	0.00197661	0.00116059	0.00128531	0.00054348	0.00291536	0.0266883	0.014866	0.022513	0.0552885	0.0317317	0.361753	0.0852114	0.163609	0.0178523	0.1313	0.0529784	0.00321091	0.0251163
n	5.17191e-05	0.000126317	0.000398234	0.000104609	0.00196326	0.00705051	0.0129545	0.0367848	0.0406054	0.109837	0.127764	0.259208	0.153041	0.135221	0.0564309	0.0410099	0.0042362	0.0132114
ω	0.000592488	0.000200733	0.000685617	0.00013835	0.00117152	0.0133771	0.00376164	0.00756385	0.0233671	0.0134748	0.537685	0.0505009	0.183737	0.0107205	0.0889333	0.0526618	0.00168333	0.00974467
l	0.000132368	9.27457e-05	0.000585777	0.000319821	0.00228837	0.0158902	0.0124634	0.0395141	0.0367291	0.102389	0.157844	0.197675	0.146792	0.0779223	0.0581104	0.116766	0.00796803	0.0265168
ó	0.00108287	0.00103512	0.00293779	0.000679526	0.00553184	0.0169856	0.00970214	0.0269372	0.0389797	0.0811438	0.0596872	0.21699	0.0640774	0.0973809	0.0458746	0.0750747	0.0364858	0.219414
o	0.000220938	0.0004375	0.00132743	0.000350462	0.00363745	0.0139775	0.00986454	0.0216504	0.021955	0.0635498	0.0435103	0.255449	0.077093	0.14629	0.0558718	0.149675	0.0447931	0.0903455
t	0.000737611	0.0114991	0.0140178	0.00298055	0.02143	0.00907765	0.00560855	0.0180291	0.0222115	0.0319159	0.0245648	0.0255572	0.0290718	0.290498	0.256518	0.0748737	0.0649685	0.0964399
á	1.61881e-05	0.00140708	0.00102032	0.000492568	0.0064537	0.00199543	0.0102497	0.0272201	0.0890623	0.0751115	0.0206575	0.0624626	0.0175861	0.265328	0.140175	0.0764339	0.0529856	0.151344
á	3.62937e-05	0.000835977	0.00111297	0.000187935	0.0049132	0.00775882	0.0119317	0.0259054	0.0954586	0.0649589	0.0306723	0.110611	0.0545784	0.203109	0.115884	0.111309	0.0393018	0.121436
n	0.000585275	0.000457565	0.00226264	0.00205311	0.0042022	0.0068598	0.00797834	0.014359	0.0132121	0.0244644	0.0451872	0.0743963	0.118512	0.13839	0.202046	0.196027	0.0737779	0.0752296
g	0.00183514	0.000235339	0.000680363	0.000430224	0.00069296	0.00764528	0.00177277	0.001742	0.00531954	0.00218997	0.0813841	0.00840348	0.071326	0.0190518	0.366873	0.375712	0.0199399	0.0347654
á	0.000414239	0.000109049	0.000224237	0.000113963	0.000252772	0.00648447	0.000767503	0.00153353	0.00445701	0.00226407	0.36811	0.00839461	0.157753	0.0106924	0.206923	0.221056	0.00369047	0.00676012
n	0.000204427	0.000171851	0.000989206	0.000344515	0.00167602	0.00241673	0.00522001	0.00972607	0.013167	0.0194799	0.0284146	0.0335229	0.0506793	0.116821	0.117196	0.3274	0.161586	0.110985
g	0.00070534	0.000238464	0.00055402	0.000272906	0.000838037	0.00464508	0.002058	0.00242193	0.00540926	0.0033355	0.0621446	0.0101745	0.0735295	0.0206614	0.310187	0.438907	0.0233534	0.0405644
u	0.000198961	0.000140422	0.000207376	8.96812e-05	0.000287589	0.00266999	0.00087749	0.00152545	0.00745677	0.00255161	0.143916	0.00832993	0.100586	0.012577	0.157869	0.494877	0.0204921	0.0453469
a	0.000145008	0.000121183	0.000500773	0.00020135	0.000945207	0.0042167	0.00344932	0.01156	0.26911	0.0206603	0.0260991	0.0071849	0.00926808	0.0164466	0.0436941	0.396218	0.0718215	0.118358
</S>	0.000149013	0.000158706	0.000583172	0.000186558	0.00106058	0.00168168	0.00354255	0.00700822	0.0134567	0.0154065	0.0168181	0.0165618	0.0247229	0.0519799	0.0788145	0.302443	0.178306	0.28712
