 	cet	homme	ensorcele	les	autres	dans	ce	quartier	</S>
m	0.911774	0.0382328	0.000269581	0.0166459	0.0168197	0.00880189	0.00704455	0.00031324	9.87311e-05
o	0.964028	0.020499	0.00259407	0.000986875	0.00369149	0.00282513	0.00160016	0.000226802	0.00354824
r	0.856783	0.12489	0.00662363	0.00194233	0.00412511	0.00083166	0.00032658	9.20735e-05	0.00438506
o	0.932258	0.0311632	0.00212423	0.00380289	0.00392706	0.00333431	0.00353973	0.00260196	0.0172491
w	0.958434	0.0215601	0.0121073	0.00099642	0.000542127	0.000808886	0.00045044	0.000195036	0.00490559
ó	0.424373	0.0297167	0.212918	0.0874788	0.0434901	0.043568	0.0377341	0.010888	0.109833
l	0.0497671	0.0531981	0.43559	0.026336	0.0140325	0.0239327	0.0270911	0.0216155	0.348437
á	0.0875025	0.0161542	0.183432	0.0487499	0.0532049	0.0728748	0.0504089	0.0206259	0.467047
a	0.485015	0.0199276	0.179671	0.0819857	0.0683783	0.0493814	0.0271199	0.00877237	0.0797484
l	0.0368322	0.0274398	0.869487	0.0222912	0.00914381	0.00518502	0.00409998	0.00335157	0.0221697
ω	0.00477868	0.0284931	0.915804	0.0157725	0.00578262	0.00493959	0.00319153	0.00273409	0.0185037
ώ	0.00812898	0.00260568	0.926083	0.0255769	0.00539203	0.00420692	0.00380233	0.00795328	0.0162509
a	0.0173059	0.00113721	0.288863	0.500642	0.063658	0.0759289	0.0284327	0.00857463	0.0154572
b	0.00277889	0.0014485	0.0293836	0.493676	0.247613	0.181829	0.0290216	0.0114992	0.00275067
i	0.000459315	0.00769732	0.00466507	0.0876449	0.729395	0.144324	0.0170191	0.00330354	0.00549113
a	0.000739811	0.00614209	0.0117673	0.112828	0.62328	0.194229	0.0224104	0.000619461	0.0279832
s	0.00173679	0.000567376	0.00910361	0.271617	0.224934	0.348845	0.115171	0.00683808	0.0211874
é	0.0063152	0.000506288	0.0156784	0.121387	0.0996509	0.225631	0.212749	0.0794756	0.238606
k	0.00297309	0.000315405	0.00478294	0.0841296	0.18741	0.300686	0.142768	0.209166	0.0677686
y	0.000411507	0.000591843	0.00611975	0.0741599	0.230146	0.123323	0.088387	0.426612	0.0502478
é	0.00033037	0.000489002	0.00891354	0.0463916	0.0565228	0.0677893	0.138084	0.628795	0.0526841
n	0.000923235	0.000924756	0.0096793	0.0457508	0.0637991	0.128076	0.368785	0.189488	0.192574
á	0.000372816	0.000880535	0.00189539	0.0240553	0.0811363	0.142425	0.27473	0.15589	0.318615
á	0.00750417	0.00174282	0.0045678	0.062441	0.0830477	0.177463	0.266958	0.065915	0.33036
y	0.00251222	0.00107607	0.0137288	0.0236097	0.0197587	0.104139	0.245616	0.218815	0.370745
é	0.00545587	0.00012328	0.0194204	0.0190642	0.0074359	0.071856	0.222899	0.383683	0.270063
</S>	0.000977637	1.48897e-05	0.000550469	0.00595284	0.00587558	0.0393131	0.120807	0.1987	0.627808
