 	il	est	bien	mort	</S>
w	0.841475	0.117648	0.0343614	0.00519777	0.0013171
a	0.961182	0.0166059	0.0106793	0.0102834	0.00124948
á	0.259288	0.459789	0.141485	0.0328301	0.106609
w	0.0935226	0.423591	0.271987	0.125784	0.0851155
é	0.0406952	0.198479	0.127058	0.312384	0.321383
e	0.0479367	0.0993281	0.353847	0.248136	0.250753
m	0.0646113	0.0731662	0.217026	0.406279	0.238918
b	0.0325181	0.241447	0.0465574	0.272694	0.406783
v	0.0111398	0.0965842	0.107447	0.45073	0.334099
a	0.025791	0.198606	0.118331	0.294805	0.362468
m	0.00967186	0.063656	0.0569276	0.078862	0.790883
b	0.0390623	0.0920282	0.130643	0.284445	0.453822
v	0.00808784	0.0490472	0.0812172	0.200709	0.660939
a	0.00587548	0.0133175	0.0208597	0.289292	0.670655
</S>	0.00046497	0.00661515	0.0103163	0.0592113	0.923392
