 	il	y	a	autant	de	couteaux	que	des	fourchettes	</S>
a	0.27841	0.292292	0.132592	0.0314072	0.0798369	0.172609	0.00548624	0.00447565	0.00182393	0.00106739
b	0.106504	0.192355	0.0756183	0.127649	0.119114	0.215012	0.0372657	0.0312191	0.072276	0.0229869
á	0.0205433	0.0157262	0.014929	0.0222009	0.0352448	0.878208	0.00639975	0.00261039	0.00212162	0.00201602
á	0.0265133	0.0646228	0.153025	0.156378	0.0464169	0.0782097	0.0387175	0.0178551	0.025051	0.393211
á	0.0784325	0.0544966	0.429625	0.157954	0.0988822	0.0457398	0.0226036	0.0236685	0.00579972	0.0827981
d	0.00859731	0.0171468	0.087493	0.303676	0.0661417	0.196737	0.0916874	0.0681196	0.0381024	0.122299
í	0.0030012	0.00555452	0.0378388	0.400092	0.0484423	0.00455859	0.0507632	0.0768219	0.0646076	0.30832
i	0.0177292	0.0189882	0.133701	0.199717	0.13779	0.013562	0.10361	0.166878	0.0548793	0.153145
m	0.00786256	0.0101895	0.0408902	0.14718	0.0856901	0.0680034	0.271313	0.121187	0.140535	0.107149
b	0.00416578	0.00570453	0.0245997	0.0279629	0.0171494	0.00321041	0.109554	0.177326	0.345171	0.285156
v	0.00218461	0.00811038	0.0208946	0.0556121	0.0335273	0.0306764	0.264041	0.209341	0.155226	0.220386
a	0.0036932	0.00771142	0.0298651	0.085719	0.0413201	0.0134615	0.136616	0.120529	0.100976	0.460109
l	0.00122364	0.00251596	0.00669047	0.0112456	0.0145236	0.00170194	0.0368426	0.0583752	0.0923111	0.77457
a	0.0101059	0.0124621	0.0431689	0.201704	0.209152	0.00174453	0.163256	0.0771049	0.12159	0.159713
a	0.00341734	0.00630515	0.0236054	0.0256654	0.0624659	0.00362536	0.144797	0.201279	0.216112	0.312728
s	0.0103209	0.016098	0.0393602	0.0687655	0.0577914	0.0155131	0.0949634	0.26052	0.320125	0.116543
a	0.00227265	0.00193255	0.0091158	0.0474167	0.0178699	0.000101478	0.014531	0.152228	0.615914	0.138618
n	0.00118526	0.00102522	0.00661111	0.0167049	0.044363	4.31464e-05	0.0203983	0.242725	0.382892	0.284052
y	0.000739874	0.00241498	0.00588313	0.0328462	0.0152157	3.74299e-05	0.0197019	0.0919581	0.631026	0.200177
a	0.000139453	0.00077035	0.00127472	0.0162995	0.00433933	4.75475e-05	0.00877261	0.024173	0.788266	0.155918
</S>	0.00011542	0.000456729	0.00122954	0.00781033	0.0133106	5.7061e-05	0.0286704	0.078136	0.233137	0.637077
