 	cette	machette-ci	est	émoussée	</S>
b	0.61975	0.338753	0.0343764	0.00332129	0.00379884
v	0.0224535	0.943583	0.0305253	0.00284525	0.000592499
u	0.00670154	0.988296	0.000613849	0.00411604	0.000272196
n	0.162579	0.732255	0.0339943	0.0588157	0.0123568
u	0.264263	0.690751	0.0036393	0.0213599	0.019987
b	0.469397	0.0353937	0.417666	0.00864871	0.0688951
v	0.455012	0.0281793	0.298957	0.00754056	0.210312
ú	0.725412	0.045415	0.0526603	0.0940046	0.0825079
ó	0.299015	0.0216896	0.513586	0.0958686	0.0698406
d	0.125528	0.00976131	0.580538	0.0784659	0.205707
i	0.0344851	0.00145437	0.103607	0.0594223	0.801031
l	0.144081	0.00559861	0.18384	0.212649	0.453831
o	0.00516342	0.000696209	0.104994	0.2118	0.677346
t	0.0169872	0.000474193	0.0215151	0.732425	0.228598
ú	0.0052079	0.00185521	0.0475743	0.807259	0.138104
n	0.0112124	0.000951178	0.00564911	0.786044	0.196144
ú	0.0202822	0.00307294	0.0152871	0.8174	0.143958
</S>	0.0553282	0.000627177	0.0392881	0.105888	0.798868
