 	les	abeilles	font	beaucoup	de	miel	</S>
a	0.558835	0.414172	0.0121914	0.00542728	0.00825349	0.00092678	0.000193931
n	0.0512356	0.928315	0.00823562	0.00647371	0.00221417	0.00246374	0.00106199
d	0.0177131	0.942805	0.00443705	0.016863	0.0034733	0.0038577	0.0108509
z	0.00562258	0.986489	0.000485432	0.000689087	0.000265529	0.00310233	0.0033457
ú	0.00239839	0.991357	0.000155075	0.000337385	0.000145003	0.00489174	0.000715087
e	0.20877	0.747642	0.00239419	0.00429017	0.0026807	0.0221299	0.0120933
b	0.258374	0.054161	0.447866	0.110549	0.0332364	0.00338307	0.0924308
á	0.184393	0.0445202	0.276034	0.238519	0.101596	0.0157737	0.139164
b	0.283749	0.0222455	0.461356	0.0966248	0.05733	0.0165985	0.0620959
á	0.254878	0.0292959	0.473575	0.110931	0.0863519	0.0124275	0.032541
a	0.703222	0.0359506	0.187546	0.0192454	0.0263188	0.0116877	0.01603
b	0.0283688	0.0160544	0.36516	0.350241	0.063593	0.00871928	0.167863
ω	0.150338	0.0101049	0.720886	0.068481	0.0258514	0.0100574	0.0142813
n	0.0185815	0.00679543	0.583452	0.243396	0.055845	0.0482129	0.0437176
g	0.0954064	0.0699473	0.190854	0.385356	0.110078	0.0684803	0.0798782
ώ	0.173392	0.0158137	0.354845	0.143962	0.134457	0.0514702	0.12606
a	0.0342947	0.00646531	0.139716	0.295963	0.382483	0.0955627	0.0455158
w	0.00837608	0.00236272	0.061828	0.379069	0.303795	0.163444	0.081125
ú	0.00709959	0.00216033	0.119606	0.165391	0.220452	0.320035	0.165257
r	0.00187897	0.000500274	0.00715147	0.16179	0.249326	0.439283	0.14007
a	0.0361411	0.00955159	0.0462347	0.191597	0.159526	0.345446	0.211503
a	0.00580645	0.000244306	0.0375719	0.228525	0.201046	0.0597532	0.467053
y	0.0178588	0.00162482	0.02724	0.331892	0.241974	0.11831	0.261101
í	0.00698898	0.00181487	0.00234575	0.275574	0.25749	0.122891	0.332895
í	0.00167796	0.000138463	0.00254848	0.0765825	0.106322	0.0358549	0.776876
</S>	0.00719765	0.000832264	0.00863963	0.110797	0.167132	0.0307621	0.674639
