 	maman	a	caché	le	pannier	sous	le	lit	</S>
m	0.650305	0.183953	0.0530919	0.0470704	0.0464331	0.00895449	0.00900073	0.000951409	0.000240233
a	0.690007	0.285834	0.00275228	0.00786832	0.00151053	0.0021983	0.00687238	0.000103162	0.00285409
á	0.0812989	0.388564	0.433405	0.0538344	0.0306328	0.00306279	0.0029127	0.00276386	0.00352505
á	0.00538511	0.349354	0.0900921	0.043611	0.00517864	0.0130576	0.00914531	0.0131746	0.471001
b	0.000644095	0.0816058	0.772372	0.0755165	0.0519147	0.00717529	0.00163531	0.00366192	0.0054744
h	0.000125145	0.033841	0.719462	0.116283	0.09629	0.0108153	0.00581335	0.00550674	0.0118639
í	0.00173944	0.0130532	0.890745	0.0378777	0.0477429	0.00539072	0.000797899	0.000756277	0.00189669
s	0.00012615	0.0637227	0.585334	0.166925	0.0658072	0.0310844	0.00869771	0.0165304	0.0617727
i	0.000106861	0.130154	0.336039	0.45436	0.0126826	0.0230025	0.0247512	0.00350066	0.0154034
o	0.000238476	0.403387	0.0942758	0.264199	0.118619	0.0450008	0.0291733	0.0148218	0.0302855
b	0.00061653	0.0201906	0.0611699	0.243597	0.496871	0.151204	0.00880707	0.0100412	0.00750247
v	0.000195204	0.038852	0.207224	0.171243	0.36833	0.106673	0.0198477	0.0644683	0.0231673
á	9.08493e-06	0.00644677	0.464283	0.0794661	0.377031	0.0488032	0.00624707	0.0138648	0.00384886
á	3.22249e-06	0.03919	0.0607949	0.18464	0.0749789	0.248208	0.037018	0.0307143	0.324453
l	9.09024e-05	0.0398347	0.0438031	0.146028	0.155281	0.341631	0.169842	0.0416341	0.0618543
é	0.000173917	0.00869491	0.00772324	0.0596968	0.103622	0.276313	0.107727	0.016165	0.419883
ó	0.000191797	0.0144052	0.00668309	0.0722348	0.0686327	0.348125	0.330957	0.058824	0.0999465
t	0.000215026	0.00469535	0.0167875	0.0304301	0.0350917	0.602595	0.164196	0.132811	0.0131783
s	9.52685e-05	0.00298017	0.0228202	0.0316763	0.0331697	0.712707	0.0541826	0.0851635	0.0572056
é	1.45351e-06	0.000438443	0.0289406	0.0228582	0.0869075	0.59411	0.0742308	0.156284	0.0362287
y	2.73244e-06	0.00162198	0.0266809	0.0229412	0.00991383	0.424791	0.155898	0.117907	0.240244
á	1.11341e-05	0.00765792	0.00560881	0.0491589	0.00786037	0.375172	0.328016	0.104253	0.122262
o	7.41619e-05	0.00360498	0.00225709	0.0175731	0.00847616	0.0912059	0.482474	0.237876	0.156458
b	1.30753e-05	0.00357009	0.00565049	0.0107329	0.00478557	0.162606	0.099429	0.600241	0.112972
é	4.72549e-05	0.0145387	0.0494607	0.0324567	0.0146758	0.163858	0.133973	0.564511	0.0264797
é	1.54991e-05	0.000356612	0.0139242	0.00433407	0.0039048	0.18561	0.0403844	0.351321	0.40015
</S>	5.08671e-06	0.00424411	0.00952409	0.020618	0.00710258	0.0409757	0.219292	0.238821	0.459417
