 	il	a	trop	bu	il	est	ivre	</S>
w	0.930624	0.0465249	0.00333645	0.0108316	0.00590043	0.00243495	0.000247694	9.97073e-05
a	0.904091	0.0554764	0.00293849	0.0171077	0.0124188	0.00721283	0.000715205	3.96272e-05
á	0.0653688	0.671132	0.169594	0.0155026	0.0245919	0.0449261	0.0043921	0.00449244
p	0.0153955	0.311647	0.530914	0.027163	0.0212154	0.0596424	0.0118746	0.0221475
é	0.00240358	0.0663323	0.662079	0.156268	0.036471	0.0157926	0.0286365	0.0320173
n	0.00467953	0.0674354	0.738024	0.132565	0.0296794	0.0141921	0.00702864	0.00639633
d	0.0238552	0.0728074	0.421117	0.371026	0.059363	0.0161569	0.00963705	0.0260372
i	0.0185917	0.216113	0.342049	0.36696	0.0258775	0.019699	0.00341443	0.00729597
o	0.0629306	0.112632	0.0809244	0.299943	0.297287	0.0869805	0.029363	0.0299394
n	0.000546652	0.00306321	0.0314212	0.544197	0.0855867	0.0711467	0.257752	0.00628625
y	0.000295331	0.00756634	0.0270322	0.671104	0.0958199	0.0898273	0.0701946	0.03816
w	0.000134796	0.0038561	0.0378667	0.701427	0.0588306	0.0349869	0.113211	0.0496872
á	0.00065688	0.0204116	0.063512	0.644525	0.0406233	0.0219802	0.109834	0.0984566
a	0.00107111	0.0258859	0.0697774	0.178518	0.302339	0.130079	0.0691641	0.223165
á	0.00250562	0.0129594	0.0147455	0.0245132	0.230702	0.612396	0.0496479	0.0525303
m	0.000494691	0.00613112	0.0192365	0.0109364	0.0321364	0.451813	0.427556	0.0516956
i	0.000473253	0.00594248	0.00422326	0.00824038	0.020767	0.490196	0.194333	0.275825
l	3.3207e-05	0.000373014	0.00333358	0.0065738	0.00994371	0.309888	0.545751	0.124104
á	7.27032e-06	0.000366344	0.00351268	0.00381112	0.00217416	0.0478256	0.909516	0.0327868
n	0.0001061	0.00179258	0.0277868	0.0106856	0.021774	0.11984	0.762515	0.0554995
g	0.000220405	0.000662677	0.00342176	0.0289145	0.0395414	0.0523571	0.811642	0.0632404
a	0.0037256	0.00111631	0.000766019	0.020488	0.0184569	0.00905753	0.708471	0.237919
</S>	5.99172e-05	0.000118915	0.000430459	0.00294801	0.00380347	0.0171609	0.228301	0.747177
