 	cet	homme	a	cueilli	des	fruits	sauvages	</S>
i	0.650061	0.306536	0.031508	0.000236448	0.00523717	0.00543179	0.000426956	0.000562454
b	0.0674468	0.920734	0.00678502	0.00221294	0.000971844	0.000429189	0.00118142	0.00023855
a	0.00218415	0.997626	6.58944e-05	1.24288e-05	1.89592e-05	4.93023e-05	3.17414e-05	1.09845e-05
a	0.0252378	0.955695	0.00214873	0.000717583	0.00121353	0.00205967	0.00134908	0.0115784
d	0.457225	0.0805477	0.348644	0.0463286	0.0124943	0.00524099	0.00115459	0.0483645
í	0.262763	0.0315302	0.149013	0.0295045	0.0181673	0.00243008	0.00616558	0.500426
í	0.0450529	0.0192228	0.616937	0.187368	0.0174069	0.00381227	0.00282852	0.107371
m	0.00535337	0.00207441	0.237314	0.618392	0.0921435	0.0194673	0.00741619	0.0178394
i	0.0155189	0.0101949	0.125716	0.502558	0.198133	0.074487	0.0176216	0.0557713
t	0.00242504	0.00308143	0.0110644	0.694744	0.150335	0.0858564	0.0350061	0.0174875
ώ	0.000676839	0.00302287	0.0117073	0.624817	0.176899	0.079191	0.0566703	0.0470163
ώ	0.0154687	0.00530965	0.232335	0.113394	0.218952	0.0830306	0.102243	0.229267
a	0.00709584	0.00110583	0.0962064	0.0102829	0.477016	0.244203	0.116097	0.0479929
p	0.00243658	0.00413811	0.0159235	0.0123352	0.223457	0.274309	0.377828	0.089573
f	0.000477294	0.00112125	0.00207752	0.0116239	0.152695	0.230801	0.44447	0.156733
ú	0.00439245	0.00116491	0.000642388	0.00175136	0.150467	0.185279	0.322903	0.333401
r	0.0177557	0.000551638	0.00258882	0.00114118	0.106602	0.112464	0.468305	0.290592
ú	0.00210588	7.43984e-05	0.000267697	0.00107643	0.183877	0.0755042	0.434854	0.30224
ú	0.00746617	0.000376442	0.00488943	0.0020387	0.12478	0.106428	0.321502	0.432519
</S>	0.00240945	0.000278879	0.00283162	0.000396883	0.0571505	0.0674715	0.407256	0.462205
