 	celui	qui	a	exigé	ta	présence	en	ce	lieu	c'	est	ngakosso	</S>
o	0.442142	0.163549	0.0879036	0.054902	0.050292	0.00912481	0.0291214	0.0372083	0.0717525	0.0187132	0.0212293	0.00412977	0.00993279
l	0.0111976	0.0119024	0.0175855	0.0881773	0.00204013	0.0324169	0.0367244	0.018237	0.0175575	0.0247789	0.024174	0.696184	0.0190242
y	0.00230846	0.0211711	0.0423246	0.633436	0.00168723	0.00967616	0.013317	0.00982181	0.015106	0.00853037	0.0108633	0.20976	0.0219979
e	0.00158278	0.0158864	0.0453461	0.814179	0.000610558	0.00875175	0.0260057	0.0109045	0.0148862	0.00790356	0.0135156	0.0219776	0.0184498
e	0.031261	0.133748	0.376164	0.369337	0.00955935	0.00745821	0.0160937	0.0168257	0.0139738	0.00341741	0.00560921	0.00546534	0.0110863
m	0.0373317	0.0606412	0.122853	0.204503	0.116466	0.0595258	0.117611	0.0867041	0.0768729	0.0532845	0.0248772	0.00166511	0.0376642
i	0.0074	0.00247008	0.0104692	0.01996	0.11552	0.369679	0.126086	0.213323	0.0854568	0.0316064	0.00968731	8.05784e-05	0.00826195
n	0.00171175	0.00207785	0.0143923	0.0297803	0.0617061	0.379132	0.165349	0.16184	0.106039	0.0540045	0.0118337	0.000813812	0.0113199
ω	0.00077595	0.000733565	0.000694686	0.0039668	0.432549	0.127354	0.0758172	0.183686	0.141853	0.0150439	0.00374799	0.000938557	0.0128392
e	0.000564013	0.0016331	0.00623463	0.00674783	0.121685	0.0802481	0.188909	0.198866	0.169421	0.142633	0.0730287	0.0015393	0.00848992
b	0.00340248	0.00308669	0.00732926	0.0135043	0.0339701	0.0406598	0.221689	0.21689	0.193119	0.145932	0.0835917	0.0166462	0.0201788
é	0.0044796	0.00665303	0.0110054	0.016648	0.0381198	0.0619233	0.195998	0.211118	0.175184	0.136542	0.107678	0.00648185	0.0281693
e	0.00312217	0.00270294	0.0137535	0.0165093	0.0635536	0.0430727	0.130711	0.13204	0.115235	0.233216	0.135811	0.00976456	0.100508
y	0.00203415	0.00170306	0.0067323	0.00827037	0.0163663	0.0532044	0.121495	0.109111	0.0781025	0.244401	0.239196	0.0230982	0.0962853
é	0.00280451	0.00845543	0.0133239	0.0199941	0.117634	0.0252388	0.0503611	0.104278	0.145216	0.204762	0.135555	0.10307	0.0693073
é	0.00492585	0.00600621	0.0110216	0.00391779	0.132933	0.0160304	0.0376264	0.0869771	0.112856	0.179628	0.187651	0.118875	0.101551
d	0.00102428	0.00182779	0.00496068	0.00740058	0.0101934	0.0114573	0.0452874	0.0368347	0.0317678	0.131569	0.3701	0.105366	0.242211
z	0.00269755	0.00211071	0.00533287	0.0146295	0.0140983	0.0389714	0.0362013	0.0374037	0.0235136	0.134865	0.28151	0.060413	0.348253
a	0.00831007	0.00296224	0.00730559	0.00458903	0.0748818	0.0854481	0.0556772	0.0962925	0.082071	0.22913	0.236156	0.0641858	0.0529908
n	0.0026964	0.00158548	0.00374677	0.00512785	0.0790183	0.0138449	0.037582	0.0707433	0.105268	0.130826	0.224932	0.190395	0.134233
g	0.000344437	0.00131806	0.00192601	0.00326203	0.0267858	0.00305746	0.0211273	0.0608471	0.0568042	0.0729594	0.0915632	0.345947	0.314058
a	9.56085e-05	0.000608047	0.000304941	0.000368388	0.0335636	0.00351593	0.0120596	0.0325898	0.0324632	0.0265213	0.0496435	0.358989	0.449277
k	9.71204e-05	0.000505798	0.000874582	0.000675609	0.016138	0.0021289	0.0168506	0.0343467	0.0344376	0.0777124	0.135661	0.10439	0.576181
o	0.000555216	0.00126136	0.00114932	0.00567002	0.00346872	5.52507e-05	0.0037599	0.00621494	0.0123471	0.0187467	0.0525079	0.674849	0.219414
s	0.000288571	0.00104107	0.00303496	0.0135023	0.00999529	0.00119265	0.0203244	0.0332368	0.0484783	0.0380444	0.057248	0.502127	0.271486
s	0.000754897	0.000545062	0.000918974	0.00300667	0.0035993	0.000522994	0.00440391	0.0127115	0.0165236	0.00864835	0.015342	0.892159	0.040864
o	0.000131906	0.000102232	0.000243593	0.00116001	0.00147632	0.000248276	0.0027167	0.0093297	0.0161315	0.011509	0.0109659	0.85397	0.0920151
</S>	0.0012448	0.0014702	0.00192427	0.00286459	0.00669146	0.00160923	0.016965	0.0319746	0.0468469	0.0455572	0.0871154	0.0593635	0.696373
