 	c'	est	un	bon	remède	pour	les	maux	de	ventre	</S>
é	0.478964	0.102059	0.0477729	0.0893152	0.0510649	0.0634269	0.106591	0.023261	0.0335003	0.00117035	0.00287534
d	0.337485	0.2542	0.115853	0.0285333	0.0537364	0.0617937	0.0715309	0.0203343	0.0250052	0.0194842	0.0120442
í	0.167213	0.304873	0.218505	0.0123467	0.0276565	0.0516405	0.0294725	0.00256578	0.00871331	0.0312587	0.145756
b	0.0105208	0.0549546	0.1206	0.0527248	0.0796806	0.0542265	0.0834312	0.0473367	0.0375587	0.0547581	0.404208
v	0.00810087	0.0426119	0.118059	0.14457	0.195486	0.127854	0.11603	0.123042	0.0256169	0.0167495	0.0818799
e	0.0128939	0.0588452	0.153954	0.0498616	0.102446	0.185613	0.149909	0.12303	0.0230779	0.0147429	0.125626
r	0.0106547	0.0305838	0.121116	0.146926	0.172795	0.218656	0.135054	0.0273478	0.0136162	0.0247657	0.0984847
é	0.0651165	0.0542702	0.142605	0.0321874	0.0789376	0.170557	0.0832512	0.0169281	0.0332523	0.0343603	0.288534
b	0.0614317	0.0612312	0.0801233	0.128027	0.139357	0.158461	0.145552	0.0753	0.0614889	0.0175698	0.0714583
á	0.0244041	0.0248636	0.0493082	0.107207	0.136152	0.124464	0.132883	0.204184	0.0975893	0.0340771	0.0648675
ω	0.00333618	0.00604076	0.0316975	0.115857	0.16625	0.21163	0.210215	0.119614	0.0555202	0.034191	0.0456483
b	0.00137566	0.00388806	0.0113938	0.0206338	0.0528805	0.0593129	0.0764935	0.115193	0.195737	0.366493	0.0965988
v	0.00141657	0.0115349	0.0369729	0.0366942	0.0984294	0.0442243	0.0351825	0.0444337	0.0440355	0.616978	0.0300975
έ	0.00124761	0.007594	0.0360689	0.0823018	0.172941	0.0712164	0.119387	0.128438	0.0633206	0.280112	0.0373725
m	0.000340278	0.0028521	0.01535	0.0580142	0.0627504	0.0924209	0.0968276	0.130353	0.137447	0.117289	0.286356
ó	0.00881577	0.0117474	0.0327128	0.0514664	0.0906255	0.219346	0.103313	0.0310982	0.171273	0.0806537	0.198947
i	0.00442176	0.0026414	0.0082543	0.00878816	0.0477299	0.0691994	0.0823314	0.11668	0.271675	0.229277	0.159001
f	0.00419582	0.00648355	0.0117983	0.00951599	0.0199525	0.0211016	0.0236797	0.0497858	0.107476	0.494622	0.251388
ú	0.0036438	0.00764105	0.0214355	0.0175708	0.0448705	0.0367637	0.0852385	0.0736599	0.108185	0.542195	0.058797
n	7.96474e-05	0.000198855	0.002772	0.00254741	0.0198331	0.019769	0.0264449	0.0182539	0.0256246	0.71607	0.168406
d	0.000137925	0.000698466	0.00697251	0.00797913	0.0299058	0.0635954	0.0494529	0.0216226	0.0429563	0.679473	0.097206
ú	0.000398228	0.000649077	0.00400088	0.012403	0.041892	0.0771675	0.0998191	0.102997	0.147692	0.202901	0.310081
b	0.00349442	0.00179455	0.00643837	0.0187598	0.048963	0.0490133	0.0477082	0.083418	0.178343	0.2618	0.300267
v	0.000712846	0.0011738	0.00457137	0.0217312	0.0412017	0.0766867	0.217136	0.397893	0.144493	0.0213569	0.0730432
ú	0.00130761	0.000697766	0.00724162	0.00699513	0.0472656	0.0312612	0.0521645	0.125349	0.0768694	0.484432	0.166415
a	0.000259012	0.000857942	0.00771144	0.00407042	0.0216317	0.0213341	0.0255076	0.0274912	0.0952022	0.389289	0.406645
</S>	0.00305902	0.00706711	0.0208577	0.0344586	0.0362558	0.0443993	0.0446662	0.0947599	0.291461	0.0392458	0.383769
