 	l'	eau	du	fleuve	est	basse	</S>
m	0.602039	0.308412	0.0786958	0.00938352	0.00122419	7.92458e-05	0.000166212
á	0.103753	0.600115	0.0512244	0.172274	0.0304789	0.0134941	0.0286603
a	0.292188	0.463979	0.144819	0.0922584	0.00236898	0.00364694	0.000739593
m	0.07923	0.269278	0.512595	0.0612424	0.0415876	0.0062029	0.0298639
á	0.0362555	0.333333	0.0463653	0.469675	0.0462139	0.052977	0.0151806
n	0.0862835	0.0784596	0.359669	0.382755	0.0393347	0.0077908	0.0457067
d	0.475733	0.228381	0.143394	0.102629	0.0229338	0.000832348	0.0260967
z	0.111573	0.134808	0.358079	0.339007	0.0213068	0.00239707	0.0328294
á	0.122592	0.153205	0.268266	0.306291	0.0559635	0.0258199	0.067862
l	0.0173784	0.0313356	0.303914	0.166055	0.0716917	0.0200048	0.38962
é	0.240115	0.12286	0.227592	0.273026	0.024962	0.00355149	0.107894
á	0.0264188	0.03719	0.148556	0.141026	0.488246	0.0336027	0.12496
m	0.00503187	0.0166684	0.0408896	0.0495462	0.592324	0.136248	0.159293
i	0.00340238	0.00415974	0.0112064	0.0382545	0.506	0.247931	0.189047
s	0.00064507	0.00108129	0.00335207	0.00791	0.124238	0.758809	0.103965
u	0.000150139	0.000387128	0.000384881	0.000543926	0.0423668	0.944654	0.0115128
n	0.000473489	0.000196474	0.00321557	0.00470817	0.140578	0.0986459	0.752182
d	0.0101628	0.00973659	0.0149623	0.0404328	0.185203	0.0693583	0.670144
a	0.0250473	0.019991	0.0381767	0.0815544	0.0843137	0.12051	0.630407
</S>	0.0054855	0.00349187	0.0336069	0.0250196	0.204542	0.00462976	0.723225
