 	ce	safoutier	a	donné	des	nouvelles	feuilles	</S>
o	0.767723	0.185727	0.0281381	0.00869699	0.00518673	0.0027918	0.00136796	0.000368363
s	0.00261191	0.991372	0.00349196	0.000777964	0.000726926	0.000819619	8.61617e-05	0.00011389
á	0.0747709	0.90578	0.00732006	0.00292778	0.00140996	0.00604295	0.00034649	0.00140187
á	0.0490946	0.935065	0.00214196	0.00141677	0.00240917	0.0015225	0.00149505	0.00685475
m	0.450623	0.0351922	0.337347	0.0455047	0.0195506	0.0124582	0.0186555	0.0806687
ú	0.348934	0.0296036	0.285801	0.0281892	0.0641508	0.0218578	0.0476302	0.173834
ó	0.0537961	0.00221315	0.367774	0.0891484	0.171797	0.0785324	0.0486017	0.188137
m	0.0239253	0.00359979	0.111489	0.165485	0.123768	0.264753	0.238286	0.0686942
i	0.0207647	0.00186234	0.075829	0.023359	0.111849	0.056534	0.138425	0.571377
m	0.00893774	0.00160673	0.0488407	0.0426534	0.155941	0.250925	0.169544	0.321552
έ	0.00926452	0.00206774	0.0214724	0.00627686	0.0690269	0.105493	0.17138	0.615018
n	0.00178361	0.000326954	0.0395723	0.0274526	0.117036	0.103005	0.178186	0.532637
g	0.00729265	0.000913354	0.0165123	0.0349518	0.190323	0.292963	0.216422	0.240622
ε	0.0488621	0.00137422	0.00572391	0.00610883	0.0821044	0.442409	0.130366	0.283052
</S>	0.00978766	0.000151462	0.0159579	0.0185187	0.0614434	0.043085	0.325113	0.525943
