 	trois	mille	personnes	ont	péri	pendant	la	guerre	</S>
b	0.856796	0.0882356	0.0505468	0.00179081	0.000340926	0.000315163	0.00131611	0.00062182	3.64e-05
a	0.331094	0.242478	0.408985	0.00913993	0.00115772	0.000259652	0.000814692	0.00526676	0.000804932
r	0.292935	0.121677	0.528986	0.0452791	0.000110536	0.000555444	0.000732784	0.00940819	0.000316348
e	0.837018	0.126489	0.0153133	0.0152046	0.000130308	0.000888117	0.000323531	0.000276106	0.00435679
a	0.65106	0.183621	0.121286	0.0252073	0.00464153	0.00453409	0.00347173	0.00075096	0.00542833
k	0.202026	0.0577206	0.17433	0.191994	0.283236	0.0349773	0.0133925	0.000750942	0.0415724
ó	0.125191	0.0743545	0.263718	0.139399	0.300582	0.0427012	0.0219701	0.00495766	0.0271254
r	0.127611	0.0738442	0.0805142	0.119967	0.502471	0.0630102	0.00926018	0.000607719	0.022714
o	0.223018	0.195509	0.121857	0.318626	0.0444372	0.040531	0.00525786	0.00113759	0.0496267
á	0.108655	0.00371633	0.338871	0.401948	0.0689213	0.0444422	0.0219188	0.00253942	0.00898724
s	0.0130442	0.00525932	0.0135462	0.222394	0.499599	0.2015	0.0260482	0.00232689	0.016282
á	0.0320446	0.000867778	0.00578851	0.0930716	0.117657	0.482338	0.132002	0.00343659	0.132794
r	0.143592	0.00136293	0.027868	0.100819	0.0306468	0.367716	0.208142	0.0216992	0.0981533
e	0.251882	0.00887526	0.0581086	0.217146	0.007818	0.165332	0.241254	0.0123709	0.0372125
á	0.0122189	0.00192978	0.0380115	0.128632	0.0355948	0.452839	0.231234	0.0121487	0.0873918
w	0.00385349	0.00329066	0.0016896	0.0187798	0.0649663	0.576289	0.291011	0.019221	0.020899
á	0.00314419	0.0152585	0.00558196	0.0252413	0.0405286	0.480029	0.318975	0.0281725	0.083069
s	0.00598484	0.00116004	0.00351378	0.0450052	0.00543286	0.410648	0.149672	0.118466	0.260116
á	0.0116355	0.0042847	0.00212783	0.0117682	0.00823864	0.505179	0.287788	0.0247796	0.144199
b	0.0152507	0.00165062	0.00607306	0.0104178	0.00248545	0.132739	0.334039	0.276432	0.220912
i	0.0133603	0.0033317	0.0119129	0.00690593	0.000208556	0.0114635	0.041646	0.903531	0.00764052
r	0.0179473	0.00809838	0.00612554	0.00409439	0.000929342	0.0350359	0.0837715	0.728713	0.115285
á	0.0128219	0.00378062	0.000666574	0.00284806	0.000981503	0.242516	0.294077	0.127764	0.314544
</S>	0.00945016	0.000940301	0.00169249	0.00395894	0.000677199	0.0457513	0.0927705	0.10862	0.736139
