 	sa	compréhension	des	choses	est	toujours	mauvaise	</S>
e	0.400609	0.464297	0.0726175	0.0427362	0.011855	0.0029359	0.00234935	0.00260077
b	0.0527188	0.735916	0.025041	0.0310342	0.0328672	0.0322632	0.0822574	0.00790219
o	0.0263475	0.848648	0.0150194	0.0704714	0.00645627	0.0025997	0.0264103	0.00404739
n	0.0233553	0.874563	0.025801	0.0292867	0.00386292	0.00186083	0.0176235	0.0236467
d	0.267175	0.120389	0.0882023	0.100524	0.0755455	0.0201824	0.0687397	0.259241
í	0.657418	0.234055	0.00813893	0.0275752	0.00910251	0.00141217	0.00779616	0.0545017
l	0.407616	0.236403	0.188434	0.0593276	0.0659984	0.012493	0.00388175	0.0258455
í	0.307834	0.063294	0.0656782	0.0843498	0.0827562	0.0245009	0.00834821	0.363238
y	0.549046	0.131921	0.0952599	0.131437	0.0321045	0.0102777	0.00202854	0.0479263
á	0.827395	0.0261152	0.0363331	0.0635758	0.012541	0.00693136	0.00210198	0.0250068
w	0.498014	0.0107595	0.0820333	0.367488	0.0138178	0.00399576	0.00222711	0.0216642
a	0.093265	0.0215157	0.0977947	0.712851	0.0382048	0.00622517	0.00701032	0.0231334
y	0.0382311	0.0179386	0.175746	0.638168	0.0741341	0.0204098	0.00462871	0.0307443
á	0.582567	0.022426	0.135266	0.180904	0.0562227	0.00553578	0.00376984	0.0133094
p	0.125662	0.00904774	0.206875	0.443427	0.133519	0.0365746	0.0243065	0.0205879
ω	0.0456553	0.0204517	0.0721996	0.798678	0.0448521	0.00318683	0.00301986	0.0119564
ω	0.00741334	0.0109308	0.0372979	0.546923	0.233785	0.057884	0.0253126	0.0804532
e	0.0119677	0.00264609	0.0446536	0.0158484	0.460603	0.290514	0.0563185	0.117448
d	0.0179161	0.00472814	0.0267599	0.00473667	0.193084	0.402876	0.221344	0.128555
i	0.00330004	0.000457485	0.00259785	0.000122927	0.0474991	0.338351	0.166951	0.440721
í	0.00625549	0.00123151	0.015605	0.00062972	0.0678424	0.466609	0.341354	0.100473
e	0.0175613	0.0100938	0.0254456	0.00371744	0.0344586	0.338067	0.348157	0.222498
b	0.00434376	0.0295353	0.0136554	0.000841513	0.0158727	0.167064	0.628702	0.139985
é	0.00168832	0.0380034	0.00782675	0.00130178	0.0120332	0.0766496	0.788357	0.0741397
</S>	0.000939157	0.00312849	0.00213751	0.00101893	0.0154673	0.0824784	0.48975	0.40508
