 	l'	arbre	ipopoo	a	de	larges	feuilles	</S>
i	0.38384	0.542186	0.0125431	0.0506439	0.00619675	0.00445827	9.2988e-05	3.9087e-05
p	0.0428971	0.699069	0.235912	0.0122209	0.00485661	0.00243083	0.00120437	0.00140856
o	0.00164892	0.015581	0.97807	0.00261205	0.000840621	0.00028013	0.000803158	0.000163708
p	0.00572728	0.0772448	0.900357	0.0101025	0.0045743	0.00124476	0.000626939	0.000122221
o	0.0241082	0.0500067	0.913088	0.00441808	0.000805971	0.000258773	0.000593147	0.00672093
o	0.356332	0.102627	0.367196	0.125708	0.0191676	0.00977253	0.0020155	0.0171811
í	0.0804252	0.030775	0.209958	0.458631	0.114929	0.046423	0.00910098	0.0497576
d	0.0256232	0.0073351	0.0395683	0.335406	0.323534	0.16991	0.0527377	0.0458859
i	0.00382412	0.00069997	0.0134124	0.225907	0.38853	0.180013	0.0418008	0.145812
k	0.02379	0.00213345	0.0338635	0.267891	0.392904	0.176502	0.0402382	0.0626776
á	0.00482574	0.0173452	0.16248	0.141263	0.376058	0.0820206	0.156696	0.0593114
s	0.0041568	0.00587234	0.359708	0.0754832	0.262275	0.0927733	0.106858	0.0928734
i	0.0149227	0.00933346	0.115937	0.105695	0.525019	0.147703	0.0566876	0.0247018
p	0.00436574	0.00296837	0.0221235	0.133719	0.323092	0.207664	0.178618	0.127448
o	0.00310661	0.00352728	0.0595161	0.113902	0.263623	0.138513	0.354102	0.0637094
b	0.00298939	0.00442002	0.332597	0.0549096	0.09568	0.0272512	0.335436	0.146717
h	0.0315364	0.0258314	0.0955753	0.0996164	0.144241	0.0487427	0.111863	0.442594
ó	0.0650141	0.0303358	0.099761	0.0878203	0.216679	0.132007	0.0618682	0.306515
l	0.00559374	0.00701213	0.00624378	0.0743525	0.141869	0.0815071	0.305277	0.378145
a	0.019895	0.00639108	0.00389609	0.0370281	0.124404	0.129962	0.257151	0.421273
p	0.00981557	0.00607956	0.00662589	0.0353208	0.168335	0.320891	0.162593	0.29034
o	0.00262216	0.0111763	0.0710816	0.0704562	0.118029	0.111604	0.459087	0.155944
b	0.0101263	0.0051884	0.290897	0.0262142	0.107231	0.0854237	0.174352	0.300567
h	0.004631	0.00563692	0.0193538	0.0433965	0.0999677	0.0772546	0.275511	0.474249
ó	0.0239229	0.010558	0.0634219	0.0314124	0.131058	0.138707	0.0578746	0.543045
l	0.0139915	0.0157673	0.016466	0.0379733	0.0766247	0.0762113	0.121449	0.641517
a	0.0159969	0.00783248	0.010283	0.0377017	0.0680749	0.0477837	0.126297	0.68603
</S>	0.032188	0.0177739	0.0275636	0.062355	0.122413	0.177243	0.153451	0.407012
