 	pendant	la	grande	saison	des	pluies	les	forêts	marécageuses	deviennent	inondées	</S>
l	0.177313	0.401072	0.241493	0.0575102	0.0768811	0.0308837	0.0140575	0.000716791	6.54531e-05	1.72774e-06	9.9996e-08	6.58167e-06
a	0.25009	0.398004	0.141044	0.102234	0.0759804	0.0304113	0.00106687	0.000600521	1.29582e-05	4.02272e-06	1.67184e-05	0.000535473
l	0.252816	0.396731	0.0928592	0.108233	0.105015	0.034049	0.0061059	0.000774667	0.000544275	0.000492591	0.000250816	0.00212904
ε	0.182102	0.13689	0.0622963	0.1249	0.12552	0.179203	0.0451836	0.00483221	0.0036307	0.00688802	0.00839366	0.120162
k	0.050135	0.0526335	0.040645	0.129269	0.295583	0.209967	0.136623	0.00238324	0.00109368	0.00541195	0.00205603	0.0742003
á	0.00916736	0.0420921	0.0313021	0.074332	0.0936925	0.481416	0.159689	0.0808846	0.00640153	0.00155701	0.00128962	0.018176
a	0.0097919	0.042711	0.0401647	0.134801	0.132611	0.214884	0.327159	0.0243683	0.0551457	0.0110623	0.00157895	0.00572228
a	0.0146346	0.0154125	0.0519601	0.0910674	0.142525	0.102618	0.425092	0.0754219	0.0525308	0.0245627	0.000628897	0.00354663
k	0.0277593	0.0327514	0.0622832	0.0679154	0.043075	0.0739292	0.120508	0.0889779	0.0804034	0.3879	0.00951804	0.00497899
ώ	0.00379571	0.0083445	0.0133163	0.0276911	0.0105606	0.0420025	0.071053	0.325888	0.0657777	0.395416	0.0178735	0.0182813
m	0.0194752	0.0292253	0.0938691	0.121776	0.082028	0.0447404	0.102678	0.0694994	0.0922519	0.268916	0.0451759	0.0303653
á	0.00210219	0.00548178	0.0353333	0.080647	0.13714	0.0619046	0.104847	0.0138031	0.0556166	0.439755	0.0054401	0.0579282
a	0.150292	0.0791423	0.143571	0.20013	0.216363	0.0246066	0.0230138	0.0037879	0.0312386	0.063028	0.0431543	0.0216717
y	0.0225523	0.0192241	0.0246075	0.0291616	0.0230685	0.012785	0.00665394	0.0112369	0.0651604	0.443709	0.324641	0.0171995
í	0.000911494	0.00178054	0.00205334	0.0051269	0.00198968	0.000338529	8.65982e-05	0.000110103	0.00111078	0.451289	0.500938	0.0342643
n	0.00329966	0.00544552	0.0113398	0.0367452	0.0260053	0.00290777	0.00190536	0.000249352	0.0111972	0.297539	0.533538	0.0698275
a	0.0207326	0.0278573	0.0758659	0.128935	0.123931	0.0136216	0.00608121	0.000141553	0.000653193	0.0470352	0.472974	0.0821714
</S>	0.00366689	0.0074606	0.0327426	0.0570119	0.0295434	0.0122675	0.00727511	0.00108948	0.00460881	0.116335	0.135099	0.592899
