 	le	chemin	est	bouché	</S>
k	0.489092	0.488895	0.0189569	0.00151086	0.00154447
ó	0.0946463	0.892773	0.00782211	0.00260151	0.00215737
ó	0.0732949	0.751129	0.0620731	0.0182742	0.0952291
a	0.209973	0.170665	0.599942	0.00291104	0.0165093
d	0.0761479	0.0864501	0.754868	0.0253279	0.0572061
í	0.017682	0.00435757	0.150667	0.0220589	0.805234
o	0.0559731	0.0140869	0.376515	0.192416	0.361009
k	0.00149265	0.00245838	0.0197972	0.920867	0.0553848
í	6.39849e-05	0.000162942	0.000315875	0.979985	0.0194719
n	0.00150839	0.00643168	0.00834546	0.94367	0.0400442
d	0.00863932	0.00858626	0.0167934	0.839813	0.126168
á	0.0793002	0.0535504	0.0365995	0.472867	0.357683
k	0.0311312	0.00695732	0.0781461	0.435557	0.448208
i	0.00419772	0.03162	0.0250404	0.803753	0.135389
n	0.000975471	0.00175982	0.00248462	0.716766	0.278014
d	0.0016185	0.00479122	0.00236554	0.611876	0.379349
a	0.00932828	0.00796719	0.00413163	0.198554	0.780019
</S>	0.0116736	0.00464263	0.0342815	0.0806245	0.868778
