 	maman	a	étalé	un	pagne	sur	le	lit	</S>
n	0.911129	0.0146347	0.00171606	0.0117856	0.00924621	0.0214027	0.0188381	0.010351	0.000896193
g	0.933399	0.00433798	0.00094685	0.0270594	0.000665266	0.0141407	0.0184217	0.000300331	0.000729309
ó	0.98451	0.00181637	0.000523416	0.00598708	8.6642e-05	0.00155722	0.00489621	0.000111816	0.000510822
o	0.916555	0.0184653	0.021626	0.00441372	0.00190663	0.00133814	0.000606777	0.000292862	0.0347952
á	0.0505774	0.494213	0.295418	0.0482634	0.0316825	0.0265439	0.0101391	0.00499	0.0381731
y	0.0421226	0.206112	0.685226	0.0303179	0.0151509	0.00981975	0.00298188	0.00195269	0.00631589
a	0.000356052	0.0488639	0.943571	0.00455645	0.000983751	0.000595422	0.000181663	7.58642e-05	0.000815762
l	0.000197028	0.0585724	0.77408	0.0869231	0.0246034	0.0215491	0.00531796	0.000844806	0.0279122
i	9.49835e-05	0.0886406	0.495265	0.152273	0.097586	0.039796	0.0321879	0.0290101	0.0651466
i	0.000611167	0.15499	0.220739	0.351881	0.106966	0.0842136	0.0238735	0.00626852	0.0504573
p	0.00043322	0.0316107	0.0416636	0.306956	0.440894	0.111481	0.0278636	0.0280403	0.0110575
f	5.88941e-06	0.00436798	0.00674629	0.05723	0.891809	0.0256526	0.00375092	0.00655396	0.00388315
u	3.5435e-06	0.00460645	0.00782986	0.0809765	0.846502	0.0463342	0.00530301	0.00409073	0.00435361
t	1.31123e-05	0.00147129	0.00283778	0.0532294	0.753572	0.106449	0.0342989	0.01739	0.030739
a	1.35619e-06	0.000704542	0.000738994	0.00718699	0.874617	0.0345577	0.0134077	0.0357907	0.0329949
m	1.57244e-05	0.005265	0.0086135	0.0718816	0.0917787	0.483509	0.145208	0.0431426	0.150586
o	6.15642e-05	0.000854148	0.000992843	0.0269798	0.073674	0.188593	0.123371	0.172737	0.412737
b	0.000104858	0.000355876	0.000429131	0.00874685	0.00859729	0.182034	0.272667	0.44699	0.0800747
é	8.25676e-05	0.000269041	0.000144073	0.00253371	0.00525911	0.0235085	0.037541	0.915208	0.0154542
e	2.643e-06	0.00017104	0.000857158	0.00147365	0.0382241	0.0311237	0.0455685	0.740096	0.142484
</S>	4.76481e-06	0.00114305	0.00167954	0.0102559	0.00423478	0.119092	0.245009	0.135254	0.483328
