 	je	pense	à	ma	mère	</S>
n	0.871734	0.0523662	0.0548253	0.0168201	0.00317203	0.00108245
g	0.984397	0.00167823	0.00465485	0.00804377	0.00109991	0.000126472
á	0.88291	0.0201709	0.00932205	0.0113044	0.0760307	0.000262314
l	0.200583	0.212823	0.222684	0.118957	0.144637	0.100317
í	0.439551	0.331171	0.0921917	0.0145035	0.0195064	0.103076
i	0.0249704	0.317789	0.484512	0.0625076	0.026429	0.0837922
s	0.00433101	0.810394	0.126846	0.00475264	0.0205908	0.0330852
á	0.00388054	0.940998	0.0420361	0.00463598	0.00427541	0.00417375
m	0.0105573	0.362441	0.394294	0.0683537	0.0108983	0.153456
b	0.00303542	0.116104	0.407887	0.213305	0.0217542	0.237914
á	0.00910769	0.00890775	0.288863	0.282071	0.00522205	0.405829
n	0.0135985	0.00622562	0.128763	0.690743	0.0976765	0.062994
g	0.0106983	0.00149126	0.155655	0.613595	0.0449059	0.173654
ó	0.0286664	0.00348305	0.0567529	0.0783584	0.771914	0.0608247
o	0.00382919	0.0229641	0.0907765	0.0225241	0.63744	0.222466
</S>	0.00126481	0.00741564	0.0883511	0.108648	0.0409528	0.753368
